name,pubchem_cid,TSNE1,TSNE2
astragaloside-a,13943299.0,-79.523315,4.6565948
chir-98014,53396311.0,-24.11575,-24.544134
dizocilpine-(+),180081.0,-5.275177,-23.421776
amineptine,38988248.0,34.369778,27.379852
lb42708,10099206.0,9.821933,-44.44161
p-dimethylinamyl-benzoate,26890.0,16.6168,29.562952
tc2559,9823180.0,-29.057676,-35.341167
anisindione,2197.0,-22.71266,-60.83275
dmh1,50997747.0,-13.3545685,-48.508945
butabindide,9817923.0,33.882248,28.285357
way-100635,5684.0,15.450627,-59.45973
pivmecillinam,,-10.988212,38.05003
lercanidipine,9809926.0,56.12713,45.05494
asp-9521,25210792.0,3.2213838,14.335016
sb-452533,9842609.0,30.760279,2.683127
resibufogenin,6917974.0,-57.700115,30.26036
vinburnine,71203.0,-6.8689218,-3.3448353
kl-001,1367681.0,-4.070241,-3.999754
fenspiride,3344.0,10.892476,-30.542051
rimcazole,53389.0,-2.2047563,-25.893559
cgp-78608,6604872.0,-37.41329,1.9420522
mn-64,2802462.0,16.101566,7.799401
liraglutide,16153050.0,25.915443,64.5369
inarigivir,,-66.276985,-36.278263
bexagliflozin,25195624.0,-69.767746,-2.067652
cinobufotalin,259776.0,-65.20943,28.274748
alisertib,24771867.0,39.286896,-53.94717
butibufen,71314316.0,21.175571,46.699787
miridesap,125516.0,-7.81543,38.148743
efaroxan,11957548.0,-6.9901648,-26.282698
am-580,2126.0,5.096904,24.384537
l-152804,969478.0,-11.563203,-8.068892
a61603,6604803.0,-28.860104,9.51025
tangeritin,68077.0,-14.689303,-63.95974
kaempferol,5280863.0,-55.540012,-6.627425
nialamide,4472.0,39.388405,17.408665
efatutazone,76962475.0,-1.7680238,16.990229
doxercalciferol,46931009.0,-51.56506,43.058884
pf-06273340,66571548.0,28.309706,-16.739676
cintirorgon,124126348.0,41.03906,-33.426247
neridronic-acid,71237.0,-37.0487,36.762962
tyrphostin-ag-99,5328768.0,-13.95464,13.944599
nampt-in-1,92044379.0,46.60944,-43.416782
vanillylacetone,31211.0,-3.396325,-64.0763
nsc-663284,379077.0,11.615045,-40.315014
sitaxentan,216235.0,32.92741,-28.76629
osemozotan,198747.0,-25.816734,1.5235997
drofenine,38988270.0,32.004574,30.953394
semapimod,492132.0,9.07614,30.57567
erteberel,10286159.0,-53.39583,-1.9563046
inc-280,25145656.0,50.10675,-11.42535
acoziborole,44178354.0,58.39261,-42.46567
merimepodib,153241.0,24.433275,-53.6723
bqu57,,-7.5402265,-39.88755
cnx-2006,56968072.0,38.584293,-59.328793
s63845,122197581.0,59.277336,-10.471951
estrone,5870.0,-74.369545,35.609364
fk-3311,164009.0,38.947224,-9.428758
tubocurarine,6000.0,-5.798987,-73.66793
clinofibrate,,23.932755,-2.8319967
indirubin,,-15.290464,-8.13567
droxidopa,92974.0,11.991246,49.332176
amphotericin-b,91827561.0,-74.45563,20.885468
s18986,637863.0,-1.2489742,-21.822939
luzindole,122162.0,35.87613,55.349735
posaconazole,468595.0,0.69202834,-49.68786
diphemanil,6127.0,-1.475521,-14.999802
methoxyamine,4113.0,-36.768612,30.774567
perphenazine,4748.0,11.651132,-25.76796
ap-18,9584673.0,-23.74755,-16.071781
isoleucine,76551.0,-3.6165407,57.940033
vlx600,6806409.0,-16.907343,-38.803288
lamivudine,60825.0,-62.45268,-25.079746
hemomex-s,11468733.0,-52.232204,32.32337
baloxavir-marboxil,124081896.0,60.26307,-29.08459
allylestrenol,235905.0,-66.58334,36.16457
fulvestrant,57300161.0,-75.90682,35.71811
rwj-21757,135410906.0,-65.37436,-25.854328
ttp-22,1536915.0,21.515057,20.969524
jnj-26990990,11687376.0,-3.2548573,-4.4811773
taurocholate,6675.0,-52.272583,37.83967
acy-1215,53340666.0,36.484264,17.15097
aniracetam,2196.0,-22.60637,-58.0625
nocodazole,4122.0,47.803577,5.370821
tenofovir,464205.0,-60.049435,-34.33993
opicapone,135565903.0,-19.498625,21.912935
trans-2-undecenoic-acid,5282728.0,-24.0011,56.707092
brefeldin-a,5287620.0,-57.26894,22.518066
xibenolol,12179892.0,76.859505,1.596096
plx647,11545419.0,-12.753954,-28.356625
ak-7,1328033.0,33.70301,-2.4678938
bi-2536,11364421.0,36.438118,-67.32021
d-delta-tocopherol,92094.0,-51.901688,16.526758
yk-4-279,93948843.0,22.300783,-15.688417
ha-130,46911532.0,23.800398,-10.082704
pd-407824,4369491.0,-17.404963,-5.4626694
