canonical_smiles,compound_name,original_smiles,source_existing_registry,source_drugseq,source_tahoe
C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1cccc(OCCOC)n1,1-[[6-(2-methoxyethoxy)pyridin-2-yl]methyl]-4-(4-propan-2-ylphenyl)-6-prop-2-ynoxyquinazolin-2-one,C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1cccc(OCCOC)n1,False,True,False
C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=S)n2Cc1cccc(OCCO)c1,1-[[3-(2-hydroxyethoxy)phenyl]methyl]-4-(4-propan-2-ylphenyl)-6-prop-2-ynoxyquinazoline-2-thione,C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=S)n2Cc1cccc(OCCO)c1,False,True,False
C#CCOc1ccc2nc(C(=O)c3ccc(C(C)C)cc3)nc(-c3ccc(C(C)C)cc3)c2c1,(4-propan-2-ylphenyl)-[4-(4-propan-2-ylphenyl)-6-prop-2-ynoxyquinazolin-2-yl]methanone,C#CCOc1ccc2nc(C(=O)c3ccc(C(C)C)cc3)nc(-c3ccc(C(C)C)cc3)c2c1,False,True,False
C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cc(OC)c(OC)c(OC)c2)n1,"[[5-cyano-2-prop-2-ynylsulfanyl-6-(3,4,5-trimethoxyphenyl)pyrimidin-4-yl]amino]thiourea",C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cc(OC)c(OC)c(OC)c2)n1,False,True,False
C#CC[C@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,pralatrexate,"Nc1nc(N)c2nc(C[C@@H](CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)cnc2n1 |a:22,&1:9|",True,False,False
C#CC[C@H](c1nc2cc(Cl)ccc2c(=O)n1Nc1ccccc1)N(CCCN)C(=O)c1cccc(Cl)c1F,arq-621,NCCCN([C@H](CC#C)c1nc2cc(Cl)ccc2c(=O)n1Nc1ccccc1)C(=O)c1cccc(Cl)c1F,True,False,False
C#C[C@@]1(O)[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@@H]1O,ethynylcytidine,Nc1ccn([C@@H]2O[C@H](CO)[C@](O)(C#C)[C@H]2O)c(=O)n1,True,False,False
C#C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc2c(N)ncnc21,"(2R,3R,4R,5R)-2-(4-aminopyrrolo[2,3-d]pyrimidin-7-yl)-3-ethynyl-5-(hydroxymethyl)oxolane-3,4-diol",C#C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc2c(N)ncnc21,False,True,False
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,gestodene,"CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1C=C[C@@]2(O)C#C |c:20,t:9|",True,False,False
C#C[C@]1(O)CC[C@@H]2[C@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,tibolone,"C[C@@H]1CC2=C(CCC(=O)C2)[C@H]2CC[C@@]3(C)[C@H](CC[C@@]3(O)C#C)[C@@H]12 |a:1,10,13,15,18,&1:22,t:3|",True,False,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,noretynodrel,"C[C@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@@H]1CC[C@@]2(O)C#C |a:1,18,&1:4,&2:5,&3:15,c:8|",True,False,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,norelgestromin,CC[C@]12CC[C@H]3[C@@H](CCC4=C\C(CC[C@H]34)=N\O)[C@@H]1CC[C@@]2(O)C#C |t:9|,True,False,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,gestrinone,"CC[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C |c:3,5,11|",True,False,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,etonogestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H] |c:23|,True,False,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,norethindrone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C |t:8|,True,False,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,levonorgestrel,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C |t:9|,True,False,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,ethisterone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@]2(O)C#C |t:8|,True,False,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,desogestrel,CC[C@]12CC(=C)[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C |t:10|,True,False,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,lynestrenol,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C |t:8|,True,False,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,danazol,C[C@]12CC[C@H]3[C@@H](CCC4=Cc5oncc5C[C@]34C)[C@@H]1CC[C@@]2(O)C#C |t:8|,True,False,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,ethinyl-estradiol,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,True,True,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,mestranol,COc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3CCc2c1,True,False,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,quinestrol,C[C@]12CC[C@H]3[C@@H](CCc4cc(OC5CCCC5)ccc34)[C@@H]1CC[C@@]2(O)C#C,True,False,False
C#C[C@]1(OC(=O)CCCCCC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,norethisterone-enanthate,CCCCCCC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C |t:16|,True,False,False
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,norgestimate,CC[C@]12CC[C@H]3[C@@H](CCC4=C\C(CC[C@H]34)=N\O)[C@@H]1CC[C@@]2(OC(C)=O)C#C |t:9|,True,False,False
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,norethindrone-acetate,CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C |t:11|,True,False,False
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,ethynodiol-diacetate,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(C)=O)C#C)[C@@H]3CCC2=C1 |c:29|,True,False,False
C#Cc1c[nH]c(=O)[nH]c1=O,eniluracil,O=c1[nH]cc(C#C)c(=O)[nH]1,True,False,False
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,cudc-101,COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCCCC(=O)NO,True,False,False
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCO)cc23)c1,osi-420,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCO,True,False,False
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,erlotinib,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC,True,True,True
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,icotinib,C#Cc1cccc(Nc2ncnc3cc4OCCOCCOCCOc4cc23)c1,True,False,False
C#Cc1cccc2c1c(C(=O)c1ccc(Cn3c(C)nc4cnccc43)c(F)c1)cn2C(=O)N(C)C,abt-491,CN(C)C(=O)n1cc(C(=O)c2ccc(Cn3c(C)nc4cnccc34)c(F)c2)c2c(cccc12)C#C,True,False,False
C#Cc1cnc2[nH]c(=O)n(C(CC)CC)c2n1,tirasemtiv,CCC(CC)n1c2nc(cnc2[nH]c1=O)C#C,True,False,False
C#Cc1cnc2nc(O)n(C(CC)CC)c2n1,"5-ethynyl-3-pentan-3-yl-1H-imidazo[4,5-b]pyrazin-2-one",C#Cc1cnc2nc(O)n(C(CC)CC)c2n1,True,True,False
C#Cc1cncc([C@@H]2CCCN2C)c1,altinicline,CN1CCC[C@H]1c1cncc(c1)C#C,True,False,False
C(#CCN1CCCC1)CN1CCCC1,tremorine,C(C#CCN1CCCC1)N1CCCC1,True,False,False
C(#Cc1nc2ncccc2nc1OCCN1CCCC1)c1ccccc1,gk921,C(CN1CCCC1)Oc1nc2cccnc2nc1C#Cc1ccccc1,True,False,False
C(=C\c1ccccc1)/CN1CCN(C(c2ccccc2)c2ccccc2)CC1,cinnarazine,C(\C=C\c1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1,True,False,False
C(=C\c1ccccc1)/CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,gbr-12783,C(CN1CCN(C\C=C\c2ccccc2)CC1)OC(c1ccccc1)c1ccccc1,True,False,False
C(=N\N(Cc1ccccc1)Cc1ccccc1)/c1ccccc1,N-benzyl-N-[(E)-benzylideneamino]-1-phenylmethanamine,C(=N/N(Cc1ccccc1)Cc1ccccc1)\\c1ccccc1,False,True,False
C(=N\NC1=NCCN1)/c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,bisantrene,"C1CN=C(N\N=C\c2c3ccccc3c(\C=N\NC3=NCCN3)c3ccccc23)N1 |t:2,19|",True,False,False
C(=N\NC1=NCCN1)/c1ccc(/C=N/NC2=NCCN2)cc1,"N-[(E)-[4-[(E)-(4,5-dihydro-1H-imidazol-2-ylhydrazinylidene)methyl]phenyl]methylideneamino]-4,5-dihydro-1H-imidazol-2-amine",C(=N/NC1=NCCN1)\\c1ccc(/C=N/NC2=NCCN2)cc1,False,True,False
