name,pubchem_cid,UMAP1,UMAP2
kl-001,1367681,7.9361506,6.430654
fenspiride,3344,7.020911,2.1952174
rimcazole,53389,6.1649313,6.348618
cgp-78608,6604872,6.955074,3.6623602
mn-64,2802462,10.164856,2.2040098
liraglutide,16153050,7.283881,7.1787357
bexagliflozin,25195624,9.864588,1.797032
cinobufotalin,259776,-3.34814,5.3183465
alisertib,24771867,8.32015,7.3693547
butibufen,71314316,7.619558,1.4906391
miridesap,125516,-1.8321437,7.1055245
efaroxan,11957548,9.549593,2.53238
am-580,2126,7.977323,3.4021158
l-152804,969478,10.187397,2.0469265
a61603,6604803,8.81901,2.5261571
tangeritin,68077,10.677984,1.8599143
kaempferol,5280863,10.646245,1.9092686
nialamide,4472,6.469934,6.8975134
efatutazone,76962475,8.115766,7.660129
doxercalciferol,46931009,-2.902842,5.3760123
pf-06273340,66571548,6.619452,7.9515643
cintirorgon,124126348,9.053873,3.3446128
neridronic-acid,71237,-1.2779145,6.4733214
tyrphostin-ag-99,5328768,9.379476,2.012335
nampt-in-1,92044379,7.9282165,6.8097053
vanillylacetone,31211,9.947527,1.9007305
nsc-663284,379077,6.4723873,6.8815193
sitaxentan,216235,8.104652,4.2485533
osemozotan,198747,9.468226,2.4580271
drofenine,38988270,7.7145925,1.6251143
semapimod,492132,7.0042324,3.5444744
erteberel,10286159,10.007025,1.6859924
inc-280,25145656,6.483284,7.9231544
acoziborole,44178354,7.89863,3.4048018
merimepodib,153241,8.028868,6.563708
cnx-2006,56968072,8.492894,7.543428
s63845,122197581,8.241435,7.527697
estrone,5870,10.119431,1.1920974
fk-3311,164009,8.982281,3.3763409
tubocurarine,6000,10.132608,3.038337
droxidopa,92974,8.874695,1.9608687
amphotericin-b,91827561,-2.7210622,6.309815
s18986,637863,6.309731,3.2587266
luzindole,122162,6.3490705,6.3001676
posaconazole,468595,8.1151285,7.692503
diphemanil,6127,6.628572,2.0781415
methoxyamine,4113,-1.1356995,6.1710205
perphenazine,4748,6.135798,3.4491756
ap-18,9584673,6.6405177,2.0183632
isoleucine,76551,-1.68051,7.017
vlx600,6806409,6.0605097,8.323499
lamivudine,60825,-2.595918,8.076317
hemomex-s,11468733,-3.0599582,5.1685677
baloxavir-marboxil,124081896,6.9912624,2.3271518
allylestrenol,235905,-3.032228,5.096271
fulvestrant,57300161,10.141673,1.1650827
rwj-21757,135410906,-2.4999428,7.953312
ttp-22,1536915,6.28301,7.7611284
jnj-26990990,11687376,6.7525444,1.9345316
taurocholate,6675,-2.693438,5.067187
acy-1215,53340666,6.401749,7.706554
aniracetam,2196,9.645486,2.9541795
nocodazole,4122,6.8136272,8.45177
tenofovir,464205,5.3672214,9.1440735
opicapone,135565903,7.8178678,7.0733523
trans-2-undecenoic-acid,5282728,-2.1102185,6.1124296
brefeldin-a,5287620,-2.69812,5.949414
xibenolol,12179892,9.456449,2.498269
plx647,11545419,6.3067584,8.219188
ak-7,1328033,7.074069,3.284236
bi-2536,11364421,8.409407,7.47646
d-delta-tocopherol,92094,9.834785,1.6361879
yk-4-279,93948843,9.023486,3.5540757
ha-130,46911532,9.531517,2.7006025
pd-407824,4369491,7.526463,6.310259
bx-912,11754511,6.350711,8.182666
itopride,3792,9.773376,3.040097
azm-475271,5330175,8.778311,7.294538
cilazapril,56330,7.5166407,2.299304
methylprednisolone-sodium-succinate,16923,-3.5779703,5.006601
benfluralin,2319,6.783539,3.5805376
"cp-105,696",9867257,10.406182,1.9233675
nedocromil,50294,9.141006,3.6287975
l-ergothioneine,3037043,-1.6773063,7.0636497
ikk-2-inhibitor,2807869,7.0861077,3.1230485
modaline,17860,4.9719863,8.875515
ite,4668801,6.7757077,6.3840327
istaroxime,9841834,-2.6090739,5.027293
ro-90-7501,824226,6.644412,8.429042
edelfosine,6610230,-1.8066235,6.2240973
t-5601640,9438169,7.999665,4.283095
3-mppi,4013695,8.012171,6.640313
asunaprevir,16076883,7.856502,6.731091
geniposide,107848,-2.7601933,6.1293297
jnj-38877605,46911863,6.037948,8.357168
treprostinil,6918140,10.112723,1.3578627
morphothiadin,129387808,6.698255,7.080727
shp099,118238298,6.046356,7.721624
fimasartan,9870652,6.821215,2.5135024
amfenac,2136,7.828063,3.2285097
mirin,137319711,9.5298195,1.6675465
urb597,1383884,9.544384,2.946635
