,morgan_tanimoto,maccs_tanimoto,cactvs_pubchem_tanimoto
count,127260.0,127260.0,127260.0
mean,0.09874786550229968,0.32591665469828274,0.3737404728018758
std,0.04426609383968466,0.13051184621765127,0.14909217612833325
min,0.0,0.0,0.0446927374301676
25%,0.06976744186046512,0.22972972972972974,0.2556818181818182
50%,0.09523809523809523,0.3181818181818182,0.3805970149253731
75%,0.12280701754385964,0.4153846153846154,0.4827586206896552
max,1.0,1.0,1.0
