latent_dim,best_val_loss,epochs_trained,bitwise_accuracy,mean_roc_auc,mean_f1
2,0.07179652820382498,20,0.9817650719026548,0.7018936405966989,0.05003658873466151
5,0.06580538091670095,20,0.9835271094518191,0.765603463334393,0.11561204924466364
10,0.06216464156510204,23,0.9844921490904621,0.7917830711409639,0.15542121719926474
15,0.060905593613138825,25,0.9849631460484267,0.802896224488413,0.18377239386675284
25,0.05968297471456237,24,0.9853923726339725,0.8075809320296492,0.1982929787449743
50,0.06077441366548735,27,0.9850073170169616,0.805301915215593,0.17684223235569216
100,0.06168025053649291,29,0.9850308428588987,0.8005947878666014,0.19198283739014874
