name,pubchem_cid,PC1,PC2
be-2254,86308637,-2.0646325802716214,3.037883188504202
tasimelteon,10220503,-1.9496891525196216,3.3110548032367952
esaxerenone,25052023,3.4183642088228523,-0.8593671146488795
ixazomib-citrate,69040311,-1.6439066454962332,0.6593978632905353
alendronate,44400013,-5.388214940563734,-4.115974452053832
dazmegrel,53555,4.482928755109918,-2.4042640936050717
nobiletin,72344,-3.2475622089811544,5.203173628549714
azd7986,118253852,0.7201899508776002,3.296954943565307
bebt-908,59474330,5.358111338117522,-2.6122820460414746
nitromide,4511,-1.0809395095885728,-0.451982144620297
saroglitazar,60151560,2.0704600231177586,3.1315577686085665
l-368899,9872389,0.5706444596086898,-0.8005180201288623
betamethasone-valerate,16533,-5.426940808901974,0.11364917956904531
2-methylimidazole,12749,-0.39343894906629273,-6.168160846305637
pnu-282987,9795278,-0.7198414866626469,-0.337902049233929
kx2-391,23635314,3.473554935624191,2.75802604869813
asivatrep,56649347,2.667557445977832,-1.418768230650577
diclofenac,3033,-0.39872061995051084,0.6770396054357055
emeramide,21133161,-1.4392682539250696,-0.3197127884328681
hemado,10981286,1.6941229242118412,-4.876171667016894
proadifen,4910,-2.8151446428192997,1.1036725002786134
simvastatin,54454,-5.233008271497362,-0.20282484414329036
gabexate,3447,-2.1590900216711297,3.6744986756213724
cis-aconitic-acid,643757,-5.56015760014079,-2.172146608420174
thioperamide,6604452,-2.6499309385431635,-4.78834041566961
methicillin,6087,-1.1408228972679062,3.5653766930320447
capadenoson,9936489,3.510035469459524,2.1378041168314548
fluvoxamine,5324346,-2.0090284306374575,-0.3741496467335155
cp-316819,10273347,3.2967736574391875,-0.05222709932156204
bay-11-7085,5353432,-3.0369814680959513,-0.921674189101631
capsazepine,2733484,-1.1069089672577328,2.4939793221599156
montelukast,5281040,2.1815022107660673,1.0605408514528243
cgp-52411,1697,0.7805887586725504,-0.1513392789401438
sym-2206,92209239,1.1415951035253642,3.198163101036501
pac-1,9675990,-0.12285975686448761,1.504032509046566
tenofovir-disoproxil,5481350,1.5230950938607974,-5.483703360006938
relebactam,44129647,-3.209275622178236,-4.373224848545587
cerulenin,5282054,-4.712473275510733,-1.8334957669916527
gr-135531,4284525,3.4998870843485435,-1.6945562258065658
pipotiazine-palmitate,37767,0.017154420927039577,0.2778949720352457
erlotinib,176870,4.68847428387727,2.1558719922315572
farnesyl-thiosalicylic-acid-amide,25187973,-2.1158934378291923,-0.2513448539226149
losmapimod,11552706,3.2409221200298832,-0.9543998251643371
ru-42173,3086576,0.8124383207281021,0.37573374547119576
(r)-baclofen,6918881,-2.7254634415395373,0.18515455242982962
raloxifene,5035,-1.3197678104115367,4.416382955117557
butaprost,5311035,-5.556862199460603,-0.864684684711134
aee788,10297043,5.1295994112322285,-2.844285460862722
thiamet-g,24808478,-4.0973750952921915,-3.4739069000872873
mek1-2-inhibitor,54483521,-0.3727179802211731,-0.968408337804241
abamectin,6858005,-5.153337489249071,0.5428824773557651
gsk356278,10252640,5.399151136571596,-1.297107426907964
salinomycin,3085092,-5.37346847076053,0.3308280959894967
riodoxol,152256,-4.005474952491881,1.0268983257252915
umeclidinium,11519070,-2.1213150579832845,1.96186557340585
a922500,24768273,-0.07942837276542127,0.8241507041335039
dextran,5460037,-6.1860284076926355,-2.099724822873684
pf-4191834,24986635,2.6314991950328683,-0.41499868528172446
ursodeoxycholyltaurine,9848818,-4.6390320647762024,-1.635302781139139
ethynodiol-diacetate,9270,-5.165007467819805,-0.3660239714418384
oxyclozanide,16779,-0.24495447997534442,2.6421500163583675
cb-5083,73051434,5.039638155791281,0.35719661777556877
pindolol-(-),688095,3.493113473430883,2.229296405747456
ambrisentan,6918493,2.1555292979278033,0.939547842719279
sevoflurane,5206,-5.738370464414475,-3.9018127187278613
sulfacarbamide,11033,-1.3083064633381103,-1.77851750839093
r306465,10309899,3.321168647026738,-2.083078488419456
dimethyl-fumarate,637568,-5.5457986060715205,-2.736979118518652
relugolix,10348973,4.018895686795279,1.611795192003588
mirabegron,9865528,2.7660541214451064,-0.11079994391546517
sasapyrine,5161,-3.3704627266133063,4.2587608365117795
gdc-0927,87055263,-2.505728659831024,4.270470315967092
gnf-2,5311510,4.629776481845445,1.6693594790284667
mln0128,45375953,5.44203282916325,1.5584069592782712
buclizine,3246096,-0.9958921850857891,-0.56251037625982
mofegiline,6437850,-2.5750505387550984,-1.1201193600223622
cefditoren-pivoxil,6437877,1.941355298372201,-3.1376526675225453
ly344864,5311097,3.4428003852294093,-0.8022397239691906
fenebrutinib,86567195,4.98216846900229,-0.3596920713852221
shikimic-acid,11332752,-5.7432695972232475,-0.8216971349470354
tegaserod,135409453,4.127288754341207,1.6001306534830584
apramycin,3081545,-4.524733357458517,-2.1445171202949846
alizarin,6293,-3.4799672294596955,4.0037545105359476
azd3965,10369242,2.4237442795851925,-1.4656160325016905
roflumilast,449193,2.893299962447319,3.2782830062721176
ssr128129e,11347895,3.6967926564977702,2.785089446251924
ombrabulin,6918405,-0.04777545144457984,3.700918921947603
deferiprone,2972,-4.387352918574587,-2.8920484680255525
cevimeline,18642481,-4.179406430621795,-3.3122899682463585
tc-f-2,25198728,5.521385871550773,2.079696379724031
gsk269962,16095342,6.0284595926808695,1.8398209789456657
cgp-54626,197584,-1.6656889878236154,-0.300234650095405
ticlopidine,5472,-0.968212382634843,-1.1958156954774068
dofequidar,9960287,3.4925998460720415,3.541243376679304
tgx-221,51601993,1.4798297794076192,-1.63837270474231
rs-100329,3567002,0.9941751470773295,2.084352796041455
sa-47,9840648,3.0541412262900693,-2.418229139010203
olopatadine,5281071,-2.7518845592072583,4.269125603538823
khellin,3828,-2.8401991913834346,5.153695231247826
osi-930,9868037,4.423475159338547,2.0586310325886905
ammonium-lactate,10313098,-6.03867608319635,-3.63772704681303
azd4573,124155204,4.684417294222435,-2.4089019147916315
cefoselis,9830520,0.6472338847586216,-4.106651446285853
isoflurane,4369440,-5.655857176689743,-4.034239520105209
cp-775146,10410059,-2.113106740813023,4.276727841803597
n-methylpyrrolidone,13387,-4.650023834457464,-4.313903723512288
clomifene,1548955,-2.1570007401177604,3.4504103566246047
minerval,11066464,-5.612075842268916,-1.5764118492152275
pifithrin-alpha,4817,-1.020652317276504,-0.4309949381520623
way-161503,6604916,0.37787296771041434,-1.8575659040928112
palonosetron,6337614,-0.9713040410898365,0.19210060264792994
quinethazone,6604207,1.0375953225623693,-0.8268459929587535
xe-991,656732,2.489014751655141,-0.47677196950442163
megestrol,19090,-5.021783250240856,-0.6813435353107654
ac-7954-(+/-),10937426,-2.184431252594068,2.692604331007545
edonerpic-maleate,9901946,-2.120938314355823,0.5051817966668972
norcyclobenzaprine,9918,-2.3475495099259747,-0.7605363432555191
tucatinib,51039094,5.891375760969788,1.2571112143956873
ldn-209929,46871867,3.258229789630633,2.3511979066826263
fosfructose,84951,-6.342918680075595,-2.768484123493285
liothyronine,7048703,-2.5949378200285853,3.7452801542937393
deoxycorticosterone-acetate,5952,-5.17456317271295,-0.4598787854662585
ganetespib,135564985,4.15284749248587,1.2241824023101584
epirizole,3242,1.7226841866291422,-2.316954867488939
opc-21268,114904,0.9389465055947898,3.9305295134068983
acrivastine,5284514,2.029078924058814,-0.8035430575348025
gsk1070916,46885626,5.59474374356165,-2.767329509511971
zolmitriptan,60857,3.549295759642401,-1.0654446634370829
"2,4-dinitrochlorobenzene",6,-1.4340805558447713,-1.611590144410175
astragaloside-a,13943299,-5.875379092761785,-1.2145611873134152
chir-98014,53396311,5.374380471697968,-3.0035222027712645
dizocilpine-(+),180081,-0.8811437704232357,-0.751298280002079
amineptine,38988248,-1.7578305255473816,0.37937036241981137
lb42708,10099206,4.888659799469108,-1.3760287538790363
p-dimethylinamyl-benzoate,26890,-0.6113886934317229,1.9484462018784292
tc2559,9823180,2.112186825633551,1.1393282658157673
anisindione,2197,-2.961647480203592,4.050907134035211
dmh1,50997747,5.49053877582248,1.3212680553652838
butabindide,9817923,0.5296626590237775,-0.8718278081125518
way-100635,5684,4.0246179876013475,1.2464544022742423
lercanidipine,9809926,-0.5749558268736211,1.6083690593325999
asp-9521,25210792,3.5846627908661715,2.860970798288276
sb-452533,9842609,0.6714429971618289,-1.3345486697933924
resibufogenin,6917974,-4.999954650836162,0.6846915008330603
vinburnine,71203,3.29408562981872,-1.163624499063618
kl-001,1367681,3.3283467392567796,2.625383611600289
fenspiride,3344,-1.716296753845756,-0.6575476915254912
rimcazole,53389,3.5826728864556605,-1.8400967343445829
cgp-78608,6604872,0.34413780568357033,-1.19016693984764
mn-64,2802462,-2.924971760545821,4.3971988663670745
liraglutide,16153050,5.004178638993459,1.078138226330365
bexagliflozin,25195624,-3.1497909510369104,4.086589017741328
cinobufotalin,259776,-5.156707353525958,1.0885115309768159
alisertib,24771867,4.37035301580211,2.8835006720929295
butibufen,71314316,-3.7367253293005422,0.8064496539991198
miridesap,125516,-4.467212562210529,-3.436122805640276
efaroxan,11957548,-0.7271454602342464,2.298172771700918
am-580,2126,-0.3283612821014388,2.108248171622825
l-152804,969478,-3.1405551724991785,4.10149549837441
a61603,6604803,0.3027775926497817,1.8673696840386682
tangeritin,68077,-3.236838878020475,5.193670798346908
kaempferol,5280863,-3.4067341720833473,4.766320930870357
nialamide,4472,2.784761618477868,-1.4908898557143166
efatutazone,76962475,4.9267402492801695,2.3007817206494616
doxercalciferol,46931009,-5.057808640923952,-0.7965805781200732
pf-06273340,66571548,5.610385219835224,-1.81755304677536
cintirorgon,124126348,0.0835142108283011,4.3303533973519475
neridronic-acid,71237,-5.30560013321222,-3.7246821920922732
tyrphostin-ag-99,5328768,-2.9912534334122856,2.3501860691386427
nampt-in-1,92044379,3.262033325472625,2.0693954478505714
vanillylacetone,31211,-3.555476507872222,3.922415971307831
nsc-663284,379077,3.201307659580204,-1.0758553928135273
sitaxentan,216235,0.8868513378766387,3.565335568452547
osemozotan,198747,-2.3221719365581244,2.989699121545191
drofenine,38988270,-2.8943139141585457,1.0541560348471157
semapimod,492132,0.814025552285784,-0.7175468907798939
erteberel,10286159,-3.142340859122865,4.2692446187408635
inc-280,25145656,5.7287485292743945,-1.9029364060182081
acoziborole,44178354,0.12012007533075923,1.703446439767907
merimepodib,153241,3.1578452093946545,3.0982343385740707
cnx-2006,56968072,4.803768102410772,0.8373251913944887
s63845,122197581,5.245128000678016,3.239063780082221
estrone,5870,-3.471749676113727,3.2087944005479345
fk-3311,164009,-0.734167603966728,4.007989855378339
tubocurarine,6000,-1.2811450104124356,4.82100687756874
droxidopa,92974,-3.142031481425394,3.1147083071780712
amphotericin-b,91827561,-4.717662447577822,0.1549382957945002
s18986,637863,0.5204736728771661,-2.1639377363095638
luzindole,122162,3.151189806593609,-1.525986553262983
posaconazole,468595,2.8471495173048886,2.4106694790946412
diphemanil,6127,-2.081491958467053,-0.7269976900400298
methoxyamine,4113,-5.624393940467737,-4.2829134432109255
perphenazine,4748,0.31279816760367646,-1.2974810821848932
ap-18,9584673,-2.328559523511955,-1.1382747784055782
isoleucine,76551,-5.323750041988617,-3.447079075410206
vlx600,6806409,5.777106798818002,-3.1753234274033866
lamivudine,60825,-3.241450138316396,-4.3190324840350875
hemomex-s,11468733,-5.29227666065469,-0.8577384789508312
baloxavir-marboxil,124081896,-0.07023487091246648,0.3763107986599914
allylestrenol,235905,-5.036232362118943,-1.1117274907437475
fulvestrant,57300161,-3.372130696679903,2.88200143641265
rwj-21757,135410906,-2.835811075668648,-3.4651470976775243
ttp-22,1536915,2.995517299095904,-2.096528633916032
jnj-26990990,11687376,-1.4172220052024649,-1.1120164518544315
taurocholate,6675,-4.6390320647762024,-1.635302781139139
acy-1215,53340666,4.152823262551888,-2.2473413747593782
aniracetam,2196,-1.3932866761630163,3.318315333142203
nocodazole,4122,4.058342812753176,-1.6850872248500375
tenofovir,464205,1.543274298532634,-5.67231482317124
opicapone,135565903,3.4765428077700187,2.02638986004383
trans-2-undecenoic-acid,5282728,-5.252235188427644,-2.2809244773633095
brefeldin-a,5287620,-5.444679263920739,-0.5714413069020773
xibenolol,12179892,-2.5107624965758606,3.4372622803787465
plx647,11545419,4.678699768143413,-2.7819885037630585
ak-7,1328033,0.28262060795133964,-0.2944244531515269
bi-2536,11364421,4.932218814373807,1.6815912041901262
d-delta-tocopherol,92094,-3.3357704895859412,3.7396469130710606
yk-4-279,93948843,0.13744058002778398,4.185865298995739
ha-130,46911532,-1.1055551466224796,3.457589734211398
pd-407824,4369491,3.18904237877908,2.4041081800333175
bx-912,11754511,4.882369267171456,-3.7764105537169295
itopride,3792,-1.1478782461983859,4.425748694938631
azm-475271,5330175,5.100448674652245,2.1255194876756494
cilazapril,56330,-1.9700127970869392,0.5339233918399134
methylprednisolone-sodium-succinate,16923,-5.497739589988844,0.1438282174119717
benfluralin,2319,-0.041110195383707866,-1.3300551452010192
"cp-105,696",9867257,-3.332483723410144,4.807147826508393
nedocromil,50294,-0.40663199584980836,4.52547218043118
l-ergothioneine,3037043,-3.6590061951271347,-3.8684788958809477
ikk-2-inhibitor,2807869,-0.40053707177422065,-0.7169241561023119
modaline,17860,0.7779454525306683,-5.756437933273147
ite,4668801,3.9306474521872548,-0.4405639383248729
istaroxime,9841834,-4.21457315639865,-2.7019265708993916
ro-90-7501,824226,4.520616142261914,-2.81370617902231
edelfosine,6610230,-5.418884039380631,-2.824597136166269
t-5601640,9438169,1.8872202055704532,1.14734632670904
3-mppi,4013695,4.777900761985278,1.947392586272369
asunaprevir,16076883,3.3223740322700817,2.5538492183648915
geniposide,107848,-5.37894005860402,0.07272745714830378
jnj-38877605,46911863,5.436650869702472,-2.7750559985848726
treprostinil,6918140,-3.704666682936084,4.304929951546055
morphothiadin,129387808,2.2296683642465616,-0.2741534447132006
shp099,118238298,4.301956383259919,-2.771973495027955
fimasartan,9870652,1.1985695113190202,-1.2172484368892418
amfenac,2136,-1.56942267368661,1.3507967195244837
mirin,137319711,-2.0952635307629723,1.4604230562028995
urb597,1383884,-1.2531896639151971,3.8337977820855995
atiprimod,129869,-4.200167738892213,-3.7257058343749545
cyacetacide,8820,-5.158530284084839,-4.355879356047285
(r)-(-)-apomorphine,6005,-1.533969647243949,3.2793633970176215
sodium-nitrite,129009887,-5.634588840387416,-4.374387185871073
iododexetimide,14479849,-1.1166637048899917,-0.14317857670171727
ly404187,66857735,-2.213362502066619,-0.7012941775871642
fgin-1-27,132496,3.2841457001562318,-1.1302488883247157
apy0201,56927660,5.213611796084818,-2.5435321553826458
ethoxzolamide,3295,2.2827673255616774,1.1836617586794154
methyl-aminolevulinate,157922,-5.324564914281584,-3.3787605382186894
inx-08189,49862762,3.9182873065716963,1.976826820042661
nhi-2,51355147,2.582504891413174,1.786763385369227
letrozole,3902,0.7122190171292375,-1.9293663795944975
nadifloxacin,9850038,-0.1868855581902717,1.2680932402447869
skf-81297,11957706,-2.0956829560462213,2.8441174976687336
tolonium,91311512,0.5370398152417092,-1.9463189770498404
corticosterone,5753,-5.311154498921935,-0.3356973699204189
kpt-276,71496742,2.107717839513642,-2.2365427339959942
mozavaptan,11441742,0.579069937441081,0.04710040449563899
ac-186,71245042,-3.1967233449074386,2.5456914253209915
dspc,5313335,-5.579406983375271,-2.376492812154129
kifunensine,130611,-3.7569614374266496,-3.6883758689395605
gdc-0941,17755052,5.673792879364938,-2.538529279967605
oxyphenbutazone,448033,-0.263247536745747,1.6792424692835668
ec-144,11517212,4.743870966147513,-0.40168454986960783
phenacaine,7588,0.5937725587292271,1.8505650798084365
ravuconazole,467825,3.1988788357486686,-0.6549452721822088
bms-ccr2-22,24801690,1.2607200503670581,-0.5064705168302301
act-132577,25099191,3.3987419219723276,0.5841134381364159
kme-4,6438990,-3.591412137507105,3.1388993450819562
ostarine,11326715,-0.027466960267389224,3.5618523323603206
cu-t12-9,91826088,4.703325247616232,-2.8414095478775523
sulbutiamine,3002120,1.6556866480949821,-4.281100710168189
ilaprazole,76968095,5.704599399714466,-0.46773647293938386
tacedinaline,2746,0.1233783424818736,-0.3198529215538679
nbi-98782,14580381,-1.5952487634393784,3.867689242493942
clenbuterol,688428,-1.036317671699039,0.8718953661644722
galidesivir,10445549,4.322378429697752,-2.026032382428774
tg-003,1893668,-0.004483531999209945,1.8508856041464157
valrocemide,6918293,-4.179755096278756,-3.7621326403904245
bosutinib,5328940,4.260189579234274,2.811826790611265
parachlorophenol,4684,-3.609597333063571,1.1155753055793018
pyridoxamine,11205997,1.8858152588499195,0.30690003539880006
plurisin-1,225362,2.6899996262789236,-1.7080059674158339
fenbufen,3335,-3.50780353983707,1.207368568631631
propranolol-(s),91536,-2.160210518279933,3.7573505871775374
itx3,1362865,4.085831079877691,-2.4671381848265117
sodium-danshensu,179536,-3.9718682281468523,3.1262749445036246
lupanine,91471,-3.817899281133635,-3.215909088007843
isodibut,145949,-1.4686233357353045,0.7539880187202863
eliprodil,9798372,-2.0839478701328766,1.318061096299233
gw-542573x,24885053,0.0617901024064977,2.263668671056026
ttnpb,5289501,-3.3933181035735083,2.2887376198738814
riociguat,11304743,5.540094753480882,-2.8871563385564842
ko143,10322450,3.642189503164129,2.899006965649561
e7449,135565981,2.1887821959478426,-0.8457534466366331
benzoylpas,10718,-0.4038023325839322,3.060570273843115
sj-733,89508529,3.58102654752008,-0.8029551692232662
fosfluconazole,214356,0.15650825921478426,-0.44853550435414286
istradefylline,5311037,3.254194672733469,1.3517343276341143
amcasertib,122412734,3.8387288342573553,-1.1540504671350431
moxidectin,9832912,-4.358440136109514,0.2555055065163885
ono-ae3-208,92978378,-0.11157450716151178,0.8638719758171094
sb-415286,4210951,0.26699942661306714,2.3313055970222947
tboa-(dl),90479771,-3.018336640170947,2.061473172332299
cc-115,58298318,5.261505350626576,-3.2367074821605035
azd5069,56645576,2.330555935447555,0.08996896736997964
blonanserin,125564,3.2196628168708674,-2.2521220848006767
bp-554,134117,-0.05091268558327036,2.70580418479514
diethylcarbamazine,3052,-4.284968825027521,-4.6478094959933545
glesatinib,25181472,4.825486364291399,2.085901012978027
ursolic-acid,64945,-5.370472655029048,-0.42636711815918965
vesamicol,659840,-2.435839992861435,0.132205878521306
alovudine,33039,-3.811843436829037,-3.0445216534850577
pilocarpine,5910,1.0466382371536413,-3.591942912106186
purvalanol-a,456214,4.636296923950803,-3.0319259525110267
benzethonium,2335,-1.6932269747702342,3.676138789241888
mefloquine,40692,2.6583750699135162,0.530834540842789
deoxyarbutin,11521237,-3.679381850875866,2.6521205351715027
ly3214996,121408882,5.393850572183299,-2.164951209793063
ns-11021,24825677,2.1124773111797484,-1.8766849647870634
monocrotaline,9415,-4.341564990251749,-0.603891373878801
masoprocol,688035,-3.427125163509498,2.8874766794154643
squalamine,72495,-4.396041630151125,-1.9453913007442871
mc1568,71311876,2.3523972354811646,-0.9346341422217587
targinine,46906075,-3.8583277444799204,-4.270293129833435
xanthone,7020,-2.8627497889065654,4.123037872830769
alantolactone,72724,-5.023499101406709,-0.3176392756884209
mibampator,9889366,-2.2656067756667935,-0.6703899587963436
karenitecin,148202,2.8247866143463907,0.48145985193929425
sbe-13,4719406,2.830256517476765,2.9375266307446153
ozolinone,76959758,-3.8604628634075016,-3.847494698624428
abt-491,154087,5.623817683378571,-1.7778394394614232
nonivamide,2998,-1.6871557458022397,3.7851965765219635
chiniofon,1550821,3.19955851522813,0.9540170378899088
carbendazim,25429,3.2962558721072495,-3.1126474072422354
mercaptopurine,667490,0.3939727491551016,-6.397747527592349
6-aminopenicillanic-acid,7057887,-4.1848857486097515,-4.226879619263011
acriflavine,452192,3.377007255251153,-1.5894014659746143
linezolid,441401,0.08875852196481561,-1.1218332006946092
trichlormethiazide,12444480,0.2310957896016995,-2.104269100409176
2-thiouracil,1269845,-3.8090038439459444,-4.385489392826348
methantheline,4097,-2.43992981044085,4.030650379727345
3-indolebutyric-acid,8617,2.8784384622153936,-0.8815235307399497
dehydrocorydaline,34781,2.8596572604771895,3.0820870218626406
nu-2058,4564,2.1307786949242744,-2.8913578496423087
tmn-355,44249042,-0.6513928913124749,-0.0839845727843706
dixyrazine,9932302,0.0809741897363537,-0.9076624761477099
isosorbide-mononitrate,27661,-5.997589384395302,-3.0260855813622207
alosetron,2099,5.441143906496705,-2.2040566654876783
editol,7014872,-5.0549925758273915,-3.9743856348774194
s-38093,70941112,-1.3700730312973861,3.608805837716506
gsk2816126,68210102,5.434647798075771,-1.7470825468536135
thiorphan,4369380,-2.4327920850209974,-0.5366386573419794
antalarmin,177990,4.037358907332319,-2.61123900182891
hydroxychloroquine,12947,3.552512834626221,-1.5276332487195057
hematoxylin,442514,-3.3526108174618865,4.689821311237359
tetramisole,26879,-0.8824643184776126,-1.7434723998943586
slv-319-(+/-),9826744,0.016777082981278897,-1.3412993520267702
sapacitabine,153970,-2.622085963105354,-2.791026996466057
ataluren,11219835,0.8026115806641025,0.6078936944811115
l-glutamine,6992086,-4.958933007259829,-3.765629382111361
prima1,322968,-4.613620169030898,-2.7779479138632737
filanesib,44224257,-0.18846671291406367,-1.2280929083557592
ml133,781301,-1.16263965553943,3.252020084935548
ouabain,11527152,-5.4772175539141985,0.43072513480631575
tazobactam,123630,-1.570913456236723,-4.550288020490855
tradipitant,9916461,4.110625848157329,-1.0508639496315377
dpi-201106,10389826,3.561177542041222,2.6698827019037585
m-chlorophenylbiguanide,1354,-0.7771391199346476,-2.014750958106913
metacresol,342,-3.528109928897056,1.8519098746539908
lobenzarit,3946,-0.24904021236951476,1.5627660233361258
butalbital,2481,-3.7235747849932763,-3.273448959074616
cgp-74514,2794188,4.908477808378241,-3.5609616640387887
lanifibranor,68677842,3.1916009727216297,-0.5838796850474985
cs-110266,123692,-0.7351819555949853,-0.8879367959491778
vu0155069,25105713,1.8735663895371661,-0.29351781897879525
lapatinib,208908,5.542002597549984,2.558620997539991
fidaxomicin,10034073,-3.7960190679511787,4.608955848686851
beta-glycerophosphoric-acid,2526,-6.1247594653266155,-3.7525480827809297
l-arginine,6322,-4.5731511531237095,-4.013259583498341
dipivefrine,969492,-2.6597164628408274,4.109968368783355
phthalylsulfacetamide,8574,-0.25757555012659167,1.6384799795399094
flumethasone,16490,-5.268782280128563,-0.15647954592026886
n-salicoylaminophenol,4602,-0.33478805207813883,2.7554786373947344
ch5132799,49784945,3.9766972468610207,-3.0254927982011126
ckd-712,9861304,-1.1859662951046444,3.055829197999448
md-920,6466,-5.491437563848524,0.4371657840086835
ns-3623,9954236,2.0688421165799515,-1.8881129158171028
clobenpropit,2790,3.7130527131985924,-3.218962519228159
omtriptolide,6918522,-5.522626850434588,0.4688855345939104
bms-649,127019,-3.3854841669968425,3.158446380451708
norfloxacin,6919051,0.4890640825621721,0.5712284241154281
carsalam,16258,-1.642335080897873,3.552452733050672
ncs-382,6604757,-3.8016504595811713,1.4000415035866476
ggti-298,9811606,0.5371689314823379,0.6281307561514444
siponimod,44599207,-1.0805568329602815,1.3913391003074327
bms-817378,44137813,4.178084767507627,2.197172462258929
diftalone,30717,-1.121919289316004,0.19786754185879538
doconexent-ethyl-ester,9831416,-5.323164509944879,-2.559090761060626
hycanthone,3634,0.44342143763559644,1.8493141994381719
molindone,6604347,2.0417850389299104,-0.9937988409098869
cedrol-(+),65575,-5.792323848443368,-2.2922515673708967
dexchlorpheniramine,33036,2.791966674212497,-1.7689163735900688
cb-03-01,11750009,-5.414844693368004,-0.3137641634323784
bilobalide,73581,-6.326993661988527,-1.4320006362413105
latrepirdine,197033,3.8038437963107246,-1.8865774514361608
