name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
a922500,24768273.0,9.327115,1.1510509,24768273,a922500,True,4.0,3.0,1.0,True,4+ rings
dextran,5460037.0,7.4247465,2.2597501,5460037,dextran,True,2.0,0.0,2.0,True,2 rings
pf-4191834,24986635.0,10.804814,-0.9854986,24986635,pf-4191834,True,4.0,3.0,1.0,True,4+ rings
ursodeoxycholyltaurine,9848818.0,4.802342,1.8006862,9848818,ursodeoxycholyltaurine,True,4.0,0.0,4.0,True,4+ rings
ethynodiol-diacetate,9270.0,7.816507,3.9665022,9270,ethynodiol-diacetate,True,4.0,0.0,4.0,True,4+ rings
oxyclozanide,16779.0,9.174623,0.853474,16779,oxyclozanide,True,2.0,2.0,0.0,True,2 rings
cb-5083,73051434.0,10.923099,-0.89034,73051434,cb-5083,True,5.0,4.0,1.0,True,4+ rings
pindolol-(-),688095.0,10.625171,1.8781135,688095,pindolol-(-),True,2.0,2.0,0.0,True,2 rings
ambrisentan,6918493.0,8.693863,0.50123674,6918493,ambrisentan,True,3.0,3.0,0.0,True,3 rings
sevoflurane,5206.0,8.605617,1.8366563,5206,sevoflurane,True,0.0,0.0,0.0,False,0 rings
sulfacarbamide,11033.0,4.3791647,2.2340393,11033,sulfacarbamide,True,1.0,1.0,0.0,True,1 ring
r306465,10309899.0,3.8806467,1.6873684,10309899,r306465,True,4.0,3.0,1.0,True,4+ rings
dimethyl-fumarate,637568.0,8.434643,2.0198507,637568,dimethyl-fumarate,True,0.0,0.0,0.0,False,0 rings
relugolix,10348973.0,9.84271,-1.3819226,10348973,relugolix,True,5.0,5.0,0.0,True,4+ rings
mirabegron,9865528.0,10.1916275,-0.3995673,9865528,mirabegron,True,3.0,3.0,0.0,True,3 rings
sasapyrine,5161.0,7.8753004,1.6205391,5161,sasapyrine,True,2.0,2.0,0.0,True,2 rings
gdc-0927,87055263.0,11.671864,0.13009253,87055263,gdc-0927,True,5.0,3.0,2.0,True,4+ rings
gnf-2,5311510.0,9.338829,-0.21771437,5311510,gnf-2,True,3.0,3.0,0.0,True,3 rings
mln0128,45375953.0,9.244082,-0.9380102,45375953,mln0128,True,4.0,4.0,0.0,True,4+ rings
atropine-oxide,,11.895284,0.5239001,,atropine-oxide,True,3.0,1.0,2.0,True,3 rings
buclizine,3246096.0,10.962287,0.28724417,3246096,buclizine,True,4.0,3.0,1.0,True,4+ rings
bremelanotide,,12.545633,-0.8146422,,bremelanotide,True,5.0,4.0,1.0,True,4+ rings
decamethoxine,,11.490507,0.9909947,,decamethoxine,True,2.0,0.0,2.0,True,2 rings
mofegiline,6437850.0,9.785214,1.3021803,6437850,mofegiline,True,1.0,1.0,0.0,True,1 ring
cefditoren-pivoxil,6437877.0,4.72535,-0.112504154,6437877,cefditoren-pivoxil,True,4.0,2.0,2.0,True,4+ rings
bix-02189,,10.018573,-0.7449704,,bix-02189,True,4.0,3.0,1.0,True,4+ rings
ly344864,5311097.0,10.727457,-0.47218361,5311097,ly344864,True,4.0,3.0,1.0,True,4+ rings
fenebrutinib,86567195.0,11.456254,-1.2905742,86567195,fenebrutinib,True,8.0,4.0,4.0,True,4+ rings
shikimic-acid,11332752.0,7.9496818,1.9427804,11332752,shikimic-acid,True,1.0,0.0,1.0,True,1 ring
tegaserod,135409453.0,9.977176,0.43901995,135409453,tegaserod,True,2.0,2.0,0.0,True,2 rings
apramycin,3081545.0,10.476427,2.5501375,3081545,apramycin,True,4.0,0.0,4.0,True,4+ rings
alizarin,6293.0,7.615173,1.5513105,6293,alizarin,True,3.0,2.0,1.0,True,3 rings
azd3965,10369242.0,10.959827,-2.0126147,10369242,azd3965,True,4.0,3.0,1.0,True,4+ rings
cid-5458317,,9.942526,1.217274,,cid-5458317,True,4.0,2.0,2.0,True,4+ rings
roflumilast,449193.0,9.355586,-0.06415408,449193,roflumilast,True,3.0,2.0,1.0,True,3 rings
ssr128129e,11347895.0,9.658773,-0.5510966,11347895,ssr128129e,True,3.0,3.0,0.0,True,3 rings
ombrabulin,6918405.0,10.037026,1.555126,6918405,ombrabulin,True,2.0,2.0,0.0,True,2 rings
deferiprone,2972.0,8.728374,0.6565225,2972,deferiprone,True,1.0,1.0,0.0,True,1 ring
cevimeline,18642481.0,11.338911,0.39933327,18642481,cevimeline,True,4.0,0.0,4.0,True,4+ rings
tc-f-2,25198728.0,11.016629,-1.142689,25198728,tc-f-2,True,6.0,5.0,1.0,True,4+ rings
gsk269962,16095342.0,10.959496,-1.5824986,16095342,gsk269962,True,6.0,5.0,1.0,True,4+ rings
cgp-54626,197584.0,10.378656,1.6951176,197584,cgp-54626,True,2.0,1.0,1.0,True,2 rings
ticlopidine,5472.0,10.789661,0.11022671,5472,ticlopidine,True,3.0,2.0,1.0,True,3 rings
dofequidar,9960287.0,11.613634,-0.54950106,9960287,dofequidar,True,5.0,4.0,1.0,True,4+ rings
tgx-221,51601993.0,11.22486,-1.0319399,51601993,tgx-221,True,4.0,3.0,1.0,True,4+ rings
