split,n,mean_reconstruction_loss,median_reconstruction_loss,mean_nonzero_mse,median_nonzero_mse,mean_zero_mse,mean_sign_accuracy,median_sign_accuracy,mean_nonzero_gene_count
test,15573,0.2712149947420793,0.24947694,0.2552384657785719,0.23425396,0.1597652890581134,0.9431360568496757,0.95555556,377.41533423232516
train,124577,0.16117633057710412,0.15337138,0.1447370629895366,0.13751741,0.16439267448584408,0.9835243188036314,0.9878788,377.92138998370484
val,15572,0.2697563629913627,0.247998055,0.25383350546160416,0.23220265,0.15922857510075777,0.9437202044926791,0.95604396,383.41651682507063
