source,n,mean_reconstruction_loss,median_reconstruction_loss,mean_nonzero_mse,mean_sign_accuracy,mean_nonzero_gene_count
L1000,78463,0.18953661567927557,0.18027805,0.17782124382575226,0.9778119901339485,494.33081834750135
tahoe-100m,53027,0.16911476417555207,0.14297184,0.14699943171149227,0.9763975177515228,183.53887642144568
novartis,11506,0.10570276830669216,0.0866558,0.09591933971084653,0.9924043144576743,205.27646445332869
cmap-build02,5997,0.18720438050975488,0.16010986,0.16391845637268634,0.9692262266716691,190.68217442054362
rummageo,2775,0.26192399664612614,0.20139478,0.22788174969981984,0.954794448418018,1440.7016216216216
sciplex,2302,0.4439025745451781,0.402540775,0.41331135470026065,0.8750735651607298,997.0247610773241
deepcovermoa,874,0.35300322428718534,0.29136216,0.333988117284897,0.9180061023112128,197.27688787185355
creeds,778,0.3441805894177378,0.295861985,0.3196900218200514,0.9160919631233934,563.2634961439588
