epoch,training_mse_scaled,validation_mse_scaled
1,0.9521572610499854,0.9640890441355077
2,0.9135550058377507,0.9617814542586579
3,0.9011791479450135,0.9534073976906899
4,0.8932253489945242,0.9565906718449861
5,0.8872799511794652,0.9562642215856273
6,0.8830716826790209,0.9569968215694763
7,0.8790907333024242,0.9574161415701771
8,0.8759167733908446,0.958075848620259
9,0.8731474715323561,0.9615875687390077
10,0.8708422056337907,0.9570518198271409
11,0.868456379909198,0.959652184635269
