minimum_test_signatures,n_compounds,adjusted_step3_vs_mse_spearman,adjusted_step3_vs_cosine_spearman,adjusted_step3_vs_pearson_spearman
1,472,-0.13103288233924218,0.0964690579677824,0.09290152941037716
5,194,-0.28150287829792126,0.25162117408258106,0.2507698060179231
10,108,-0.39174216658568883,0.338649289776787,0.33199005401697673
