minimum_test_signatures,n_compounds,step3_vs_direct_mse_spearman,step3_vs_direct_mse_pvalue,step3_vs_direct_cosine_spearman,step3_vs_direct_pearson_spearman
1,472,-0.22330033158603166,9.56059199816587e-07,0.14018641141785324,0.1385485727805546
2,336,-0.2525457449544725,2.7561820755805935e-06,0.14752745836127176,0.14786025822359639
3,264,-0.2545317585062186,2.8496311782074184e-05,0.19566879063973544,0.19686556359201454
5,194,-0.2808964018194294,7.268405042445421e-05,0.20968554441125348,0.20896237462660194
10,108,-0.2719807177493879,0.004406377449085671,0.19377518648718167,0.18766850533977344
20,51,-0.22162895927601808,0.11804846544767249,0.04425339366515836,0.03538461538461538
50,18,-0.5975232198142414,0.008827374421547778,0.31475748194014447,0.3106295149638803
