compound_embedding_row_index,compound_name,n_test_signatures,n_test_cell_lines,mean_response_mse,median_response_mse,mean_response_mae,mean_response_cosine,mean_response_pearson,source_normalized_inverted_score,n_profiles
5475,LB-42708; LB42708,12,4,0.8596363,0.8554708,0.7418217,0.6130915929873785,0.6126446177562078,0.6415300737270732,12
5477,Niridazole; niridazole,1,1,0.83996034,0.83996034,0.71606696,0.6152897477149963,0.6138824224472046,0.7883635026890987,5
5489,"7-Hydroxy-3-(4-hydroxyphenyl)-8-(3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl)chromen-4-one; kakonein",2,2,0.72349197,0.72349197,0.68151754,0.648009330034256,0.6480849087238312,0.4626935497645762,2
5494,Pharmakon1600-01505436; lacitol,5,5,0.8774419,0.8210963,0.7383847,0.6017489075660706,0.5994446158409119,0.5836751194094831,5
5507,Fomocaine; fomocaine,5,5,0.73270315,0.76544094,0.68032587,0.628960931301117,0.6293168783187866,0.6132144978533778,5
5509,Phenothiazine; phenothiazine,2,2,0.8600718,0.8600718,0.7406648,0.6318463087081909,0.6271513104438782,0.7275606670953161,2
5529,Darinaparsin,1,1,0.8406491,0.8406491,0.7407718,0.6397181749343872,0.635643720626831,0.6817480986554485,145
5896,4-tert-butyl-N-[2-methyl-3-[4-methyl-6-[4-(morpholine-4-carbonyl)anilino]-5-oxopyrazin-2-yl]phenyl]benzamide; Cgi1746,20,12,0.734618,0.7166335,0.68487996,0.6445226341485977,0.6483560174703598,0.4685668182109125,20
6231,"(2S)-N-[(3R,3'R,4'S,5'R)-4'-[fluoro(dimethyl)silyl]-5'-(2-hydroxyethyl)-3'-methyl-2-oxo-1-prop-2-enyl-5-spiro[indole-3,2'-oxolane]yl]-2-hydroxypropanamide; BRD-K27630390",8,6,0.80897796,0.823392,0.72422636,0.6274027526378632,0.6280241459608078,0.608525180512106,8
6232,"BRD-K96167523; N-[(3R,3'R,4'S,5'R)-5'-(2-hydroxyethyl)-4'-[(4-methoxyphenyl)-dimethylsilyl]-3'-methyl-2-oxo-1-prop-2-enyl-5-spiro[indole-3,2'-oxolane]yl]acetamide",1,1,0.5940834,0.5940834,0.608739,0.6482409834861755,0.6486986875534058,0.678447090932196,1
6233,"(3R,3'R,4'S,5'R)-5'-[2-[4-(2-hydroxyethyl)-1-triazolyl]ethyl]-4'-[(4-methoxyphenyl)-dimethylsilyl]-3'-methyl-5-(2-oxo-1-benzo[cd]indolyl)-1-prop-2-enyl-2-spiro[indole-3,2'-oxolane]one; BRD-K31706415",11,8,0.5984283,0.59148,0.6099115,0.7133173183961348,0.7155337008562955,0.8414898766226787,11
6237,"(3aR,10bR)-3a-[2-(benzenesulfonyl)ethyl]-2-[4-(3-hydroxypropoxy)phenyl]-5-prop-2-enyl-6,10b-dihydrooxazolo[4,5-d][2]benzazepin-4-one; BRD-K86901264",1,1,1.0927916,1.0927916,0.84038043,0.6363818645477295,0.638805627822876,0.5017831034025235,1
6251,"1-(3,4-Dihydroxyphenyl)-2-[[5-(3-methylphenyl)-4-prop-2-enyl-1,2,4-triazol-3-yl]thio]ethanone; BRD-K78056905",5,4,0.7991077,0.791553,0.70668995,0.6101845383644104,0.6118637442588806,0.7740845496672122,5
6260,4-Iodobenzoic acid [1-(2-thiazolyl)ethylideneamino] ester; BRD-K15440898,1,1,0.6484145,0.6484145,0.6633654,0.5423247218132019,0.5443891882896423,0.6448666002821568,1
6296,"BRD-K18724229; N-[3-(1,3-benzothiazol-2-yl)-5,6,7,8-tetrahydro-4H-thieno[2,3-c]azepin-2-yl]acetamide",12,9,0.605965,0.6047687,0.6246813,0.6496752550204595,0.6450973997513453,0.6359491765968179,12
6302,"BRD-A74983348; acetic acid [(1S)-1-hydroxy-1,10a,12a-trimethyl-8-oxo-2,3,4,4a,4b,5,6,9,10,10b,11,12-dodecahydrochrysen-2-yl] ester",1,1,0.9012923,0.9012923,0.74497825,0.6925078630447388,0.6940784454345703,0.6733722719252082,1
6320,"1-[2-[4-[(1-Methyl-5-tetrazolyl)thio]-5-thieno[2,3-d]pyrimidinyl]phenyl]ethanone; BRD-K62466453",8,6,0.6295922,0.64119196,0.63179064,0.6956037506461143,0.6941356435418129,0.8742075522975639,8
6326,(S)-N-(4-(tert-Butyl)phenyl)-N-(2-(tert-butylamino)-2-oxo-1-(pyridin-3-yl)ethyl)furan-2-carboxamide; VU-0420364-1,4,4,0.8134444,0.8045429,0.71765745,0.5175679177045822,0.5150861442089081,0.3571286650625025,4
6328,"BRD-K72451865; tert-butyl 3-[(3aR,10bR)-5-[2-(benzenesulfonyl)ethyl]-2-[4-(3-hydroxypropoxy)phenyl]-4-oxo-6,10b-dihydro-[1,3]oxazolo[4,5-d][2]benzazepin-3a-yl]propanoate",11,8,0.6210748,0.5990472,0.63600105,0.6585872173309326,0.6606636805967852,0.8417175248192998,11
6331,"BRD-K24598397; tert-butyl N-[2-[5-[(2,4-dichlorophenyl)methylsulfonyl]-1,3,4-oxadiazol-2-yl]ethyl]carbamate",1,1,0.8036738,0.8036738,0.7154279,0.6849004030227661,0.6876668334007263,0.1926655171550808,1
6333,"(3S)-3-cyano-3-[[[(2S)-1-[(2S)-3,3-dimethyl-1-oxo-2-[[oxo-[4-(trifluoromethyl)phenyl]methyl]amino]butyl]-2-pyrrolidinyl]-oxomethyl]amino]propanoic acid; BRD-K15293421",1,1,0.8543942,0.8543942,0.7381573,0.6771371364593506,0.6739946603775024,0.6251408787334984,1
6339,KM-00519SC; N-[4-bromo-5-(4-tert-butylphenyl)-1H-pyrazol-3-yl]benzenesulfonamide,1,1,0.8362721,0.8362721,0.7140983,0.6167494654655457,0.6200578808784485,0.4930951856420663,1
6346,ML228 Analog; VU-0418939-2,15,10,0.51992893,0.46883565,0.5758537,0.7237583279609681,0.7247296730677287,0.8205640149138717,15
