compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,source_normalized_inverted_score,mean_source_normalized_error_z,target_handoff_difference,absolute_target_handoff_difference
5515,"2-((4-Acetylphenyl)hydrazinylidene)-2-(3,3-dimethyl-4H-isoquinolin-1-yl)acetamide; IQ 1",140,0.8714708,0.8230459,0.8714707921639188,-0.2340743322245833,7.836081228340674e-09,7.836081228340674e-09
2355,Pentagastrin,144,0.8693181,0.82211524,0.8693181198384582,-0.2233988524227188,-1.9838458209520127e-08,1.9838458209520127e-08
2709,Tucatinib,142,0.86758846,0.8006064,0.867588483196702,-0.2148212808084778,-2.3196702003680514e-08,2.3196702003680514e-08
5190,MK-8353; Mk-8353,135,0.8671154,0.809574,0.8671153614732312,-0.2124749871608116,3.8526768775248854e-08,3.8526768775248854e-08
5143,Belumosudil (mesylate),278,0.86589706,0.80822086,0.8658970421076515,-0.2064331276424642,1.7892348491699295e-08,1.7892348491699295e-08
4050,Hydroxyfasudil; hydroxyfasudil,145,0.8838426,0.81584454,0.8838425948123959,-0.2954282724988947,5.1876041240461745e-09,5.1876041240461745e-09
430,Ixazomib citrate,143,0.86466056,0.85947096,0.864660557100391,-0.2003011815194085,2.899608997353198e-09,2.899608997353198e-09
1061,Lucanthone,140,0.8625444,0.8200696,0.8625444099533379,-0.1898068364865176,-9.95333793163411e-09,9.95333793163411e-09
754,Clobetasol Propionate; Clobetasol propionate,144,0.8622893,0.8598217,0.8622893266642799,-0.188541833695371,-2.666427989517217e-08,2.666427989517217e-08
1545,Tadalafil,137,0.8723772,0.8421849,0.8723771929967483,-0.2385693330051576,7.003251645265607e-09,7.003251645265607e-09
5195,"(1S)-1,5-Anhydro-1-(3-((5-(4-fluorophenyl)-2-thienyl)methyl)-4-methylphenyl)-D-glucitol hemihydrate; Canagliflozin (hemihydrate)",142,0.86048895,0.82471025,0.8604889803869075,-0.1796136005903446,-3.0386907434731825e-08,3.0386907434731825e-08
2240,"Naproxen, (-)-; naproxen",151,0.90375465,0.8054215,0.9037546451537396,-0.394175624206147,4.8462603929877446e-09,4.8462603929877446e-09
5142,Imiquimod (maleate); Imiquimod maleate,136,0.85977626,0.8184687,0.859776231115457,-0.1760789518836328,2.8884542979668026e-08,2.8884542979668026e-08
5206,"CP21R7; Iron oxide, spent",139,0.8591814,0.82420415,0.8591813924695583,-0.1731290426593844,7.530441714642677e-09,7.530441714642677e-09
428,Bestatin; Ubenimex,142,0.8926362,0.7538629,0.892636188436926,-0.3390372463376744,1.1563073942788549e-08,1.1563073942788549e-08
1666,Capmatinib,141,0.8583416,0.76662666,0.8583415488795563,-0.1689641109251163,5.1120443766983215e-08,5.1120443766983215e-08
2349,Belzutifan,140,0.85610604,0.8269743,0.8561060277662222,-0.1578777694463068,1.2233777768599907e-08,1.2233777768599907e-08
1784,Eplerenone; eplerenone,138,0.88574797,0.85905063,0.8857479515599257,-0.3048772709521307,1.8440074356362857e-08,1.8440074356362857e-08
5186,Bosentan (hydrate); Bosentan Monohydrate,147,0.8941879,0.81576806,0.8941879523946934,-0.3467327160998281,-5.239469336171254e-08,5.239469336171254e-08
5204,Cytarabine (hydrochloride); Cytarabine Hydrochloride,135,0.8553372,0.8564699,0.8553371799094496,-0.1540649180110903,2.0090550445495126e-08,2.0090550445495126e-08
155,Tirabrutinib,139,0.8552359,0.77566606,0.8552358992296706,-0.1535626493478515,7.70329466881492e-10,7.70329466881492e-10
2574,APTO-253; Apto-253,140,0.8543701,0.8441105,0.8543701352214346,-0.149269173711179,-3.522143454670612e-08,3.522143454670612e-08
1888,Relugolix,138,0.85335916,0.82445383,0.8533591437353367,-0.1442554895280159,1.6264663282861136e-08,1.6264663282861136e-08
5214,"(S)-N-(1-cyclopropyl-2,2,2-trifluoroethyl)-4-(6-(4-fluorophenyl)pyrazolo[1,5-a]pyrimidin-3-yl)thiophene-2-carboxamide; ULK-101",141,0.8530954,0.8203455,0.8530954015017289,-0.1429475455114191,-1.5017289634045028e-09,1.5017289634045028e-09
5131,Almonertinib (mesylate); Almonertinib mesylate,139,0.85303855,0.8351839,0.8530385560597905,-0.1426656389899002,-6.059790558232692e-09,6.059790558232692e-09
5192,"5-((6-([1,1'-biphenyl]-4-yl)-5-chloro-1H-benzo[d]imidazol-2-yl)oxy)-2-methylbenzoic acid; MK-3903",143,0.85292614,0.794155,0.8529261221907791,-0.1421080597041533,1.7809220875797394e-08,1.7809220875797394e-08
2711,"(R)-9-(4-(1-aminopropan-2-yl)phenyl)-8-hydroxy-6-methylthieno[2,3-c]quinolin-4(5H)-one; OTS514",143,0.8505331,0.8183939,0.8505331526052811,-0.1302409036236315,-5.260528102013495e-08,5.260528102013495e-08
5130,Osimertinib (mesylate); Osimertinib Mesylate,140,0.8496705,0.8363001,0.849670531245994,-0.1259630129345526,-3.124599401438388e-08,3.124599401438388e-08
5210,Niclosamide (olamine); Niclosamide ethanolamine salt,139,0.847096,0.8642025,0.8470959968229252,-0.1131954449644509,3.17707471442219e-09,3.17707471442219e-09
241,Medroxyprogesterone Acetate; Medroxyprogesterone acetate,146,0.84973824,0.8306762,0.8497382229197386,-0.1262987078228396,1.7080261427437904e-08,1.7080261427437904e-08
5518,Ouabain (Octahydrate); Ouabain Octahydrate,144,0.8443279,0.92344177,0.8443279073402601,-0.0994680034897605,-7.340260066435178e-09,7.340260066435178e-09
5160,Dorzolamide (hydrochloride); Dorzolamide Hydrochloride,138,0.8433381,0.8163412,0.843338092342432,-0.0945593372278687,7.657568024121986e-09,7.657568024121986e-09
2504,"(2R)-2-methyl-6-nitro-2-[[4-[4-[4-(trifluoromethoxy)phenoxy]piperidin-1-yl]phenoxy]methyl]-3H-imidazo[2,1-b][1,3]oxazole; Delamanid",142,0.8430782,0.8244734,0.8430781884346507,-0.0932704281425755,1.1565349344877518e-08,1.1565349344877518e-08
1590,AZD2858; Azd2858,140,0.84309596,0.8219843,0.8430959637116375,-0.0933585788602679,-3.711637552861191e-09,3.711637552861191e-09
5194,LY-2584702 (tosylate salt),144,0.8413994,0.8074458,0.8413993445790554,-0.0849447468677646,5.542094461130631e-08,5.542094461130631e-08
1829,Sinomenine,143,0.84053946,0.84448564,0.8405394514579436,-0.0806803859905336,8.542056395555164e-09,8.542056395555164e-09
5199,Clonidine (hydrochloride); Clonidine Hydrochloride,142,0.8392674,0.7931368,0.8392674028593193,-0.0743720737773881,-2.8593193368564584e-09,2.8593193368564584e-09
