analysis,n_compounds,n_scaffolds,spearman,spearman_p,r2,mae
Original,785,23,0.708498023715415,0.00015464629978681168,0.5212639681001637,0.02806296289648038
Excluded ambiguous matches,751,19,0.6947368421052632,0.00096302967457246,0.5090507853964965,0.03111819677212265
