murcko_scaffold,n_compounds
c1ccc(-c2ccc(CNc3nc(-c4ccccn4)nnc3-c3ccccc3)cc2)cc1,1
c1ccc(-c2ccc(Cc3nnn[nH]3)cc2)cc1,1
c1ccc(-c2ccc3ccc(-c4nc(C5CCC5)n5ccncc45)cc3n2)cc1,1
c1ccc(-c2ccc3ccc(C45CC6CC(CC(C6)C4)C5)cc3c2)cc1,1
c1ccc(-c2cccc(-c3cncc4sccc34)c2)cc1,1
c1ccc(-c2ccccn2)cc1,1
c1ccc(-c2ccno2)cc1,1
c1ccc(-c2cnc(-c3ccccn3)nn2)cc1,1
c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,1
c1ccc(-c2cnc3ccc(NCC4CCNCC4)nn23)cc1,1
c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1,1
c1ccc(-c2cncc(-c3cccnc3)c2)cc1,1
c1ccc(-c2cc(Oc3cccc4scnc34)ncn2)cc1,1
c1ccc(-c2cc(C3CC3)nc3ccccc23)cc1,1
c1ccc(-c2c[nH]c3ccccc23)cc1,1
c1cc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc(N2CCNCC2)c1,1
c1cc(C2CCN(C3=Nn4cnnc4CC3)CC2)ccc1OCCN1CCNCC1,1
c1cc(N2CCC(N3CCNCC3)CC2)ccc1Nc1cncc(NC2CCOCC2)n1,1
c1cc(N2CCNCC2)ccc1Nc1ncc2c(n1)-c1[nH]ncc1CC2,1
c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,1
c1cc(NC2CCC2)nc(Nc2ccc3c(c2)C2CCC3N2)n1,1
c1cc(NCCc2c[nH]c3ccccc23)cc(Nc2ccncc2)c1,1
c1cc(Nc2ncc3ccn(C4CCCC4)c3n2)ncc1N1CCNCC1,1
c1ccc(-c2c[nH]c(C3CCN(c4ncnc5[nH]ncc45)CC3)n2)cc1,1
c1cc2c(Oc3ccc4[nH]ccc4c3)ncnn2c1,1
c1cc2c(cc1OC1CCCC1)CCC1C2CCC2CCCC21,1
c1cc2cc(c1)Oc1ccc(cc1)CC1NCCc3cc4c(c(c31)Oc1ccc3c(c1)C(C2)NCC3)OCO4,1
c1cc2cc(c1)Oc1ccc(cc1)CC1NCCc3ccc(cc31)Oc1cccc3c1C(C2)NCC3,1
O=c1nc(-c2cccc(S(=O)(=O)N3CCNCC3)c2)[nH]c2cn[nH]c12,1
c1ccc(-c2c(-c3ccc(C4CCC4)cc3)nc3cccnn23)cc1,1
c1ccc(-c2[nH]cnc2-c2ccc3nccnc3c2)nc1,1
O=c1ccc(C2CCC3C2CCC2C4CCC(OC5CCCCO5)C=C4CCC23)co1,1
O=c1ccnc[nH]1,1
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1
O=c1[nH]c2cnc3ccc(-c4ccc(OCCCN5CCCCC5)nc4)cc3c2[nH]1,1
O=c1[nH]c2cnc(Nc3ccc4ncnn4c3)nc2n1C1CCOCC1,1
O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1,1
O=c1[nH]c2ccccc2cc1-c1nc2ccc(N3CCNCC3)cc2[nH]1,1
O=c1[nH]c2ccccc2c2ccccc12,1
O=c1[nH]c2cccc(-c3ccccc3)c2c2ccsc12,1
O=c1[nH]c2c3cc4c(cc3ncc2c2ccccc12)OCO4,1
O=c1[nH]c(=O)c2c[nH]nc2[nH]1,1
O=[PH]1OCC2OC(n3cnc4cncnc43)CC2O1,1
