latent_dim,epoch,train_bce,val_bce
2,1,0.1150603800543421,0.07476412442330718
2,2,0.06778846837628258,0.061970851893006114
2,3,0.05959762544077603,0.057407809064188575
2,4,0.05584472334575345,0.054352323430348265
2,5,0.05336183929822128,0.05230704381213642
2,6,0.05132647618576143,0.05026361110176486
2,7,0.04982649884262351,0.04927033887384264
2,8,0.0487292965229726,0.04837449407617844
2,9,0.04780442400046524,0.04758053315030711
2,10,0.04705123822529086,0.0471759830252539
2,11,0.046440815119373875,0.046433995983281316
2,12,0.04587003375283868,0.04602070441326136
2,13,0.04525248759274518,0.04549504630528373
2,14,0.044756517238521226,0.04528510671176757
2,15,0.044328692118137586,0.0446434132042078
2,16,0.04395451067777033,0.044518852565564454
2,17,0.04349690690915273,0.044019465715847333
2,18,0.043105016091158556,0.0437610873494452
2,19,0.0427938916707738,0.04335604070212537
2,20,0.04239205272160413,0.04326436566419263
2,21,0.04217177037738048,0.04294049508810544
2,22,0.04183072008743482,0.04259133435580645
2,23,0.04148967298915831,0.04239859528286792
2,24,0.04121630259584972,0.04212253295125051
2,25,0.04101306022190999,0.04186071296245541
2,26,0.04071993030606583,0.041746176946152055
2,27,0.04054987046998546,0.04143583464792161
2,28,0.04020090701602279,0.04150299996318408
2,29,0.03999800904992998,0.04114776094780033
2,30,0.03980747397459511,0.04104718726564666
2,31,0.039589142624372055,0.04086073490430749
2,32,0.039432052321928354,0.04074661841340506
2,33,0.039240550960006074,0.04070400167300053
2,34,0.03897175366460046,0.04034459650711206
2,35,0.03875870341710267,0.04022970595546988
2,36,0.03862347783541585,0.04011242167969424
2,37,0.03843863316252436,0.040041688925269825
2,38,0.038361386316227056,0.03979015934776047
2,39,0.03815706832464126,0.039821331168912136
2,40,0.037997527835944386,0.0398821484834665
2,41,0.037789135144888526,0.0396620567994061
2,42,0.037631792958545886,0.039571586064559745
2,43,0.03752972069947244,0.039488329713346246
2,44,0.03732716762064743,0.03931615223853431
2,45,0.03729436120598455,0.03924681999682824
2,46,0.03711940318515143,0.039195766216174384
2,47,0.036934891552765615,0.039039409560782855
2,48,0.036785731642200115,0.03905475426446151
2,49,0.036780899778082216,0.03899071495623662
2,50,0.03649865260618632,0.03882564043142058
4,1,0.12599104730668745,0.07704013384395374
4,2,0.06691472368624697,0.05762617018141593
4,3,0.05319988969217079,0.049401193427819824
4,4,0.04755289282491997,0.0458687973120504
4,5,0.044494569926118915,0.04360169559765852
4,6,0.04243015117478022,0.04208472742587398
4,7,0.04083194311274796,0.04079954580995339
4,8,0.03948097915246298,0.039787091064469815
4,9,0.038396595426536693,0.038847420988687
4,10,0.0373527232434048,0.03832415501251156
4,11,0.03644836251161783,0.03739746957947815
4,12,0.035615357684757425,0.036707243474910486
4,13,0.034825664521914636,0.036190433713650515
4,14,0.03417859118120574,0.035806581944686146
4,15,0.03351219496273689,0.03513376428335001
4,16,0.032918814065425725,0.034759462696756095
4,17,0.03235408665686749,0.03431029587886737
4,18,0.03179302660215766,0.03398019783946325
4,19,0.03132931243157597,0.03382554856996863
4,20,0.030856679009701942,0.0332530196625748
4,21,0.030360451871018417,0.03312720284317901
4,22,0.02997019451626923,0.0327173713081861
