name,pubchem_cid,UMAP1,UMAP2
dizocilpine-(+),180081.0,9.276153,2.118736
amineptine,38988248.0,10.566899,1.8608556
lb42708,10099206.0,9.586667,2.6974041
p-dimethylinamyl-benzoate,26890.0,10.672107,2.966652
tc2559,9823180.0,9.222989,1.9434255
anisindione,2197.0,9.011593,2.7561712
dmh1,50997747.0,9.093011,2.561254
butabindide,9817923.0,10.498505,2.1245418
way-100635,5684.0,9.815642,3.979184
pivmecillinam,,13.096558,1.8999516
lercanidipine,9809926.0,12.22878,4.1851344
asp-9521,25210792.0,9.06155,2.9920983
sb-452533,9842609.0,9.868306,3.0231626
resibufogenin,6917974.0,8.92198,0.03707115
vinburnine,71203.0,9.477019,2.297386
kl-001,1367681.0,9.748271,2.4594276
fenspiride,3344.0,9.860686,2.8861327
rimcazole,53389.0,9.467866,2.6570349
cgp-78608,6604872.0,9.7260065,1.5102332
mn-64,2802462.0,9.610483,2.520995
liraglutide,16153050.0,11.6050415,2.2960844
inarigivir,,10.439829,-0.574986
bexagliflozin,25195624.0,9.713165,0.22892807
cinobufotalin,259776.0,9.183339,0.90022284
alisertib,24771867.0,9.7153635,3.2811713
butibufen,71314316.0,10.89427,2.3877766
miridesap,125516.0,10.643229,2.0784273
efaroxan,11957548.0,8.628642,1.7987821
am-580,2126.0,10.021102,3.5998309
l-152804,969478.0,9.292684,2.0055056
a61603,6604803.0,8.602041,1.8676493
tangeritin,68077.0,8.826005,2.5751138
kaempferol,5280863.0,9.433397,0.6987396
nialamide,4472.0,10.139627,2.8957026
efatutazone,76962475.0,10.235491,2.4467726
doxercalciferol,46931009.0,2.5585976,2.4741588
pf-06273340,66571548.0,9.458554,2.6085048
cintirorgon,124126348.0,9.734338,2.884452
neridronic-acid,71237.0,9.936059,1.4042665
tyrphostin-ag-99,5328768.0,8.746608,2.9314394
nampt-in-1,92044379.0,9.444034,3.637177
vanillylacetone,31211.0,8.808772,3.2950134
nsc-663284,379077.0,9.437087,3.0138829
sitaxentan,216235.0,8.859547,2.3475544
osemozotan,198747.0,9.255883,2.124139
drofenine,38988270.0,10.676569,3.2131283
semapimod,492132.0,10.462923,1.9644257
erteberel,10286159.0,9.283099,2.3347511
inc-280,25145656.0,9.375045,2.8066914
acoziborole,44178354.0,9.828597,3.4829168
merimepodib,153241.0,9.648916,3.4848642
bqu57,,9.248007,2.072291
cnx-2006,56968072.0,8.696122,3.746464
s63845,122197581.0,10.204857,3.5298603
estrone,5870.0,8.392383,-0.10519926
fk-3311,164009.0,9.57508,3.038591
tubocurarine,6000.0,8.668036,3.268278
clinofibrate,,10.175415,2.0643938
indirubin,,9.283798,2.7057679
droxidopa,92974.0,11.132045,2.5212686
amphotericin-b,91827561.0,9.754987,1.3171922
s18986,637863.0,9.373485,2.0828168
luzindole,122162.0,10.475122,2.7984684
posaconazole,468595.0,9.400779,1.7414955
diphemanil,6127.0,9.779075,2.7109761
methoxyamine,4113.0,9.169025,1.9380267
perphenazine,4748.0,8.768294,3.9344735
ap-18,9584673.0,9.321853,1.9761697
isoleucine,76551.0,10.496431,1.7757171
vlx600,6806409.0,9.40666,2.937159
lamivudine,60825.0,10.612822,-0.64074755
hemomex-s,11468733.0,9.400021,0.77067864
baloxavir-marboxil,124081896.0,9.771632,2.4348223
allylestrenol,235905.0,8.525127,-0.011817964
fulvestrant,57300161.0,8.341016,-0.09237776
rwj-21757,135410906.0,10.409426,-0.4736408
ttp-22,1536915.0,10.444115,1.8544238
jnj-26990990,11687376.0,9.079181,2.4091146
taurocholate,6675.0,8.920009,-0.35819286
acy-1215,53340666.0,10.350516,2.7870088
aniracetam,2196.0,8.871408,3.0760016
nocodazole,4122.0,7.9700503,2.835367
tenofovir,464205.0,10.287171,-0.3024649
opicapone,135565903.0,8.43862,2.1389415
trans-2-undecenoic-acid,5282728.0,11.135048,1.1574823
brefeldin-a,5287620.0,9.258551,1.4388077
xibenolol,12179892.0,11.155739,4.034576
plx647,11545419.0,9.42805,3.2180166
ak-7,1328033.0,9.815813,3.2151103
bi-2536,11364421.0,8.589094,3.70768
d-delta-tocopherol,92094.0,10.122967,1.3621677
yk-4-279,93948843.0,9.137013,2.8871827
ha-130,46911532.0,9.459239,2.4980772
pd-407824,4369491.0,9.433133,2.5131202
bx-912,11754511.0,9.597321,3.31891
itopride,3792.0,9.501455,3.3067162
azm-475271,5330175.0,8.984065,4.1985006
cilazapril,56330.0,11.171139,2.4118602
methylprednisolone-sodium-succinate,16923.0,8.17384,-0.972596
benfluralin,2319.0,8.700541,1.8287506
"cp-105,696",9867257.0,10.046918,2.596075
nedocromil,50294.0,10.328334,1.9743736
l-ergothioneine,3037043.0,10.544851,1.7322074
ikk-2-inhibitor,2807869.0,9.821891,1.9771672
modaline,17860.0,8.997024,2.0239499
ite,4668801.0,11.3442745,2.924666
istaroxime,9841834.0,8.84456,-0.05232153
antimonyl,,9.226693,1.4284077
ro-90-7501,824226.0,8.622569,2.4681191
edelfosine,6610230.0,10.699592,1.179093
t-5601640,9438169.0,9.850543,3.6956668
3-mppi,4013695.0,9.801804,4.0268884
asunaprevir,16076883.0,9.18293,2.3702962
geniposide,107848.0,9.723889,0.24967727
jnj-38877605,46911863.0,8.98859,2.5209985
treprostinil,6918140.0,10.947532,1.3997247
morphothiadin,129387808.0,10.515579,2.5552013
shp099,118238298.0,8.980283,2.131159
fimasartan,9870652.0,10.984053,3.2944465
amfenac,2136.0,10.150171,2.6084015
bismuth(iii)-trifluoromethanesulfonate,,9.270434,1.9830154
mirin,137319711.0,9.324891,2.4720697
urb597,1383884.0,9.725094,2.427693
