name,pubchem_cid,UMAP1,UMAP2
"2,4-dinitrochlorobenzene",6.0,7.6858053,-0.9006466
astragaloside-a,13943299.0,7.31161,3.9438803
chir-98014,53396311.0,8.031085,-1.102959
dizocilpine-(+),180081.0,9.613015,0.9400612
amineptine,38988248.0,9.892518,1.4611919
lb42708,10099206.0,10.984442,-0.7959379
p-dimethylinamyl-benzoate,26890.0,11.244365,1.1394922
tc2559,9823180.0,10.573242,1.0370201
anisindione,2197.0,7.6942854,1.46964
dmh1,50997747.0,9.14914,-0.8464254
butabindide,9817923.0,11.911388,-0.33197412
way-100635,5684.0,11.403473,-1.1526644
pivmecillinam,,5.0508375,0.23030195
lercanidipine,9809926.0,7.256111,-1.0543803
asp-9521,25210792.0,11.839247,-0.78958243
sb-452533,9842609.0,10.948748,0.55725044
resibufogenin,6917974.0,7.8097095,3.375284
vinburnine,71203.0,11.08767,-0.53423774
kl-001,1367681.0,3.9556541,1.723923
fenspiride,3344.0,11.448809,-0.5801836
rimcazole,53389.0,10.649585,0.012276415
cgp-78608,6604872.0,11.31863,-2.4197562
mn-64,2802462.0,7.4455767,1.4333384
liraglutide,16153050.0,12.550918,-0.82209015
inarigivir,,11.408605,-2.4890509
bexagliflozin,25195624.0,7.281925,2.1508756
cinobufotalin,259776.0,7.52722,3.719816
alisertib,24771867.0,9.344954,-0.3084423
butibufen,71314316.0,8.463235,1.9535213
miridesap,125516.0,11.887026,-0.27745697
efaroxan,11957548.0,10.165658,0.4105066
am-580,2126.0,9.118189,1.0980526
l-152804,969478.0,7.4662986,1.7531075
a61603,6604803.0,3.9693084,1.748218
tangeritin,68077.0,7.465475,1.5272033
kaempferol,5280863.0,7.24853,1.4459527
nialamide,4472.0,9.776286,1.1350509
efatutazone,76962475.0,10.2724285,-1.2805388
doxercalciferol,46931009.0,8.152194,3.8198473
pf-06273340,66571548.0,10.112516,-0.78741497
cintirorgon,124126348.0,4.2649527,1.995746
neridronic-acid,71237.0,9.06235,1.9926299
tyrphostin-ag-99,5328768.0,9.134709,1.2958841
