,molecular_weight,logP,TPSA,h_bond_donors,h_bond_acceptors,rotatable_bonds,aromatic_rings,heavy_atoms,formal_charge
count,6754.0,6754.0,6754.0,6754.0,6754.0,6754.0,6754.0,6754.0,6754.0
mean,382.4753082617709,2.778815984601719,88.2559964465502,2.1172638436482085,4.962540716612378,5.485638140361267,1.9777909387029908,26.66641989931892,0.02783535682558484
std,202.39710230161333,2.5335704219715414,80.67661936967414,2.8546694593028272,3.6863061154408623,5.633470069931946,1.3554366258647401,14.12823085730439,0.19875480613724078
min,47.056999999999995,-35.76840000000006,0.0,0.0,0.0,0.0,0.0,1.0,-2.0
25%,271.14975,1.5150249999999978,49.825,1.0,3.0,3.0,1.0,19.0,0.0
50%,358.45250000000004,3.021240000000001,75.61500000000001,2.0,4.0,5.0,2.0,25.0,0.0
75%,449.61850000000015,4.274700000000003,104.025,3.0,6.0,7.0,3.0,32.0,0.0
max,4186.636999999986,17.853899999999975,1749.7499999999986,58.0,75.0,134.0,10.0,295.0,5.0
