latent_dim,best_epoch,best_val_bce,final_train_bce,final_val_bce
2,50,0.03882564043142058,0.03649865260618632,0.03882564043142058
4,48,0.02930873490929103,0.022325894977562332,0.029356633925335017
8,32,0.02285946946724992,0.011376518640952358,0.024893514436508415
16,22,0.019180480096136307,0.005846891447231765,0.026238220397468155
32,26,0.018349889206916888,0.005068764814279177,0.02461132786149351
64,23,0.017854242214026487,0.004349711861808395,0.025900074545462667
128,28,0.018365239756676397,0.005636719216910501,0.02386020500051241
