moa,observed_difference,predicted_difference
Topoisomerase inhibitor,11.774404457331288,11.36766334440753
mTOR inhibitor,8.391608391608392,5.714285714285714
HDAC inhibitor,6.879299562226391,-2.3864894795127354
Tubulin polymerization inhibitor,4.895104895104895,3.510520487264673
Protein synthesis inhibitor,4.781397464324293,2.796234772978959
Glucocorticoid receptor agonist,3.382796065722895,8.571428571428571
ATPase inhibitor,2.683495366422196,5.714285714285714
Retinoid receptor agonist,-2.4390243902439024,-5.426356589147287
