evaluation_group,n_compounds,r2,spearman,mae,rmse
all_n_profiles_greater_equal_20,801,0.13604241609573364,0.37946467153432356,0.0632660984992981,0.08282520741007253
high_confidence_n_profiles_greater_equal_100,349,0.13308656215667725,0.37228478270074944,0.06070922315120697,0.07428822277483887
