compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,model_prediction_group,observed_predictability_group,moa,moa_annotation
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,135,0.7751711,0.7725934,Least predictable,Lower,"NF-kappaB (NFKB) Activation Inhibitors;Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators;Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands; nuclear factor erythroid derived, like (NRF2) activator",Kelch-like ECH-Associated Protein 1 (Keap1
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,135,0.7751711,0.7725934,Least predictable,Lower,"NF-kappaB (NFKB) Activation Inhibitors;Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators;Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands; nuclear factor erythroid derived, like (NRF2) activator",Like 2 (Nrf2) Activators
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,135,0.7751711,0.7725934,Least predictable,Lower,"NF-kappaB (NFKB) Activation Inhibitors;Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators;Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands; nuclear factor erythroid derived, like (NRF2) activator",NF-kappaB (NFKB) Activation Inhibitors
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,135,0.7751711,0.7725934,Least predictable,Lower,"NF-kappaB (NFKB) Activation Inhibitors;Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators;Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands; nuclear factor erythroid derived, like (NRF2) activator",Nuclear Factor
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,135,0.7751711,0.7725934,Least predictable,Lower,"NF-kappaB (NFKB) Activation Inhibitors;Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators;Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands; nuclear factor erythroid derived, like (NRF2) activator",like (NRF2) activator
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,135,0.7751711,0.7725934,Least predictable,Lower,"NF-kappaB (NFKB) Activation Inhibitors;Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators;Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands; nuclear factor erythroid derived, like (NRF2) activator",nuclear factor erythroid derived
5188,Nafamostat (mesylate); Nafamostat Mesylate,146,0.7962603,0.7957514,Least predictable,Lower,inhibitor/antagonist; serine protease inhibitor,serine protease inhibitor
4072,"5-[(E)-2-bromoethenyl]-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione; Brivudine",153,0.8253179,0.8480503,Most predictable,Middle,DNA directed DNA polymerase inhibitor; Heat Shock Protein 27 (hsp27) Inhibitors;Reverse Transcriptase Inhibitors,DNA directed DNA polymerase inhibitor
4072,"5-[(E)-2-bromoethenyl]-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione; Brivudine",153,0.8253179,0.8480503,Most predictable,Middle,DNA directed DNA polymerase inhibitor; Heat Shock Protein 27 (hsp27) Inhibitors;Reverse Transcriptase Inhibitors,Heat Shock Protein 27 (hsp27) Inhibitors
4072,"5-[(E)-2-bromoethenyl]-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione; Brivudine",153,0.8253179,0.8480503,Most predictable,Middle,DNA directed DNA polymerase inhibitor; Heat Shock Protein 27 (hsp27) Inhibitors;Reverse Transcriptase Inhibitors,Reverse Transcriptase Inhibitors
5203,Cysteamine (hydrochloride); Cysteamine Hydrochloride,142,0.762,0.76087415,Least predictable,Lowest observed predictability,tissue transglutaminase inhibitor; unclear,tissue transglutaminase inhibitor
5162,Irinotecan (hydrochloride); Irinotecan Hydrochloride,374,0.91185445,0.8875643,Most predictable,Highest observed predictability,inhibitor/antagonist; topoisomerase inhibitor,Topoisomerase inhibitor
755,Betamethasone Dipropionate; Betamethasone dipropionate,141,0.7509124,0.8758499,Most predictable,Lowest observed predictability,activator/agonist; anti-inflammatory agent,anti-inflammatory agent
5281,Artesunate,180,0.8873689,0.85152435,Most predictable,Higher,DNA synthesis inhibitor; inhibitor/antagonist,DNA synthesis inhibitor
3793,5-[(3R)-dithiolan-3-yl]pentanoic acid; Lipoic acid,139,0.740573,0.77778375,Least predictable,Lowest observed predictability,Pyruvate Dehydrogenase Activators,Pyruvate Dehydrogenase Activators
5156,"2-Piperidinecarboxamide, 1-butyl-N-(2,6-dimethylphenyl)-, hydrochloride (1:1), (2S)-; Levobupivacaine (hydrochloride)",136,0.728756,0.79536736,Least predictable,Lowest observed predictability,inhibitor/antagonist; voltage-gated potassium channel blocker,voltage-gated potassium channel blocker
694,Drospirenone,147,0.75218123,0.8665415,Most predictable,Lowest observed predictability,mineralocorticoid receptor antagonist; unclear,mineralocorticoid receptor antagonist
4684,methotrexate,183,0.8630909,0.8492732,Most predictable,Higher,Dihydrofolate reductase inhibitor,Dihydrofolate reductase inhibitor
