repeat,n_compounds,n_splits,r2,spearman,mae,rmse
1,801,5,0.1292935013771057,0.3613162636787307,0.06366947293281555,0.08314807765549136
2,801,5,0.13475316762924194,0.3816361528486387,0.06328002363443375,0.08288698378069809
3,801,5,0.1200551986694336,0.3580441611099144,0.06381228566169739,0.08358802252159477
4,801,5,0.13437485694885254,0.36436860268048166,0.06326639652252197,0.08290509993700533
5,801,5,0.11112141609191895,0.3393565926988648,0.06451550126075745,0.08401127040826946
