moa_annotation,lowest_observed_count,highest_observed_count,lowest_observed_percent,highest_observed_percent,total_extreme_count
leucine rich repeat kinase inhibitor,0,1,0.0,0.6993006993006993,1
lipid kinase inhibitor,1,0,0.8130081300813008,0.0,1
microtubule inhibitor | tubulin polymerization inhibitor,0,1,0.0,0.6993006993006993,1
mineralocorticoid receptor antagonist,1,0,0.8130081300813008,0.0,1
norepinephrine reputake inhibitor | tricyclic antidepressant,1,0,0.8130081300813008,0.0,1
norepinephrine reuptake inhibitor | serotonin–norepinephrine reuptake inhibitor (SNRI),1,0,0.8130081300813008,0.0,1
opioid receptor antagonist,1,0,0.8130081300813008,0.0,1
p21 activated kinase inhibitor,0,1,0.0,0.6993006993006993,1
p38 MAPK inhibitor,1,0,0.8130081300813008,0.0,1
polycomb protein inhibitor,1,0,0.8130081300813008,0.0,1
potassium channel blocker,1,0,0.8130081300813008,0.0,1
protein tyrosine kinase inhibitor | tyrosine kinase inhibitor,1,0,0.8130081300813008,0.0,1
purine antagonist,1,0,0.8130081300813008,0.0,1
reversible BTK inhibitor,1,0,0.8130081300813008,0.0,1
selective estrogen receptor modulator (SERM),1,0,0.8130081300813008,0.0,1
selective serotonin reuptake inhibitor (SSRI),1,0,0.8130081300813008,0.0,1
smoothened receptor agonist,1,0,0.8130081300813008,0.0,1
smoothened receptor antagonist,1,0,0.8130081300813008,0.0,1
sodium/glucose cotransporter inhibitor,1,0,0.8130081300813008,0.0,1
tachykinin antagonist,1,0,0.8130081300813008,0.0,1
tissue transglutaminase inhibitor,1,0,0.8130081300813008,0.0,1
tumor necrosis factor production inhibitor,1,0,0.8130081300813008,0.0,1
ubiquitin C-terminal hydrolase inhibitor,1,0,0.8130081300813008,0.0,1
voltage-gated potassium channel blocker,1,0,0.8130081300813008,0.0,1
interferon inducer | toll-like receptor agonist,1,0,0.8130081300813008,0.0,1
hypoxia inducible factor activator,0,1,0.0,0.6993006993006993,1
bacterial 30S ribosomal subunit inhibitor | metalloproteinase inhibitor,0,1,0.0,0.6993006993006993,1
hydantoin antiepileptic,1,0,0.8130081300813008,0.0,1
benzodiazepine receptor agonist,1,0,0.8130081300813008,0.0,1
beta1-Adrenoceptor Antagonists,1,0,0.8130081300813008,0.0,1
bromodomain inhibitor,0,1,0.0,0.6993006993006993,1
c-Met inhibitor,1,0,0.8130081300813008,0.0,1
calcineurin inhibitor,0,1,0.0,0.6993006993006993,1
calcium channel activator,1,0,0.8130081300813008,0.0,1
casein kinase inhibitor | cell proliferation inhibitor,1,0,0.8130081300813008,0.0,1
cyclooxygenase inhibitor,0,1,0.0,0.6993006993006993,1
cytochrome P450 inhibitor,1,0,0.8130081300813008,0.0,1
dihydrofolate reductase inhibitor,0,1,0.0,0.6993006993006993,1
dna damage inducer | DNA synthesis inhibitor,0,1,0.0,0.6993006993006993,1
"dopamine receptor agonist | dopamine receptor agonist, serotonin receptor antagonist | serotonin receptor antagonist",1,0,0.8130081300813008,0.0,1
dopamine receptor modulator | serotonin receptor antagonist,1,0,0.8130081300813008,0.0,1
dual specificity protein kinase inhibitor,1,0,0.8130081300813008,0.0,1
erbB1) Inhibitors,0,1,0.0,0.6993006993006993,1
estrogen receptor agonist | glucocorticoid receptor antagonist | progesterone receptor agonist | progesterone receptor antagonist,0,1,0.0,0.6993006993006993,1
"estrogen receptor agonist, fxr antagonist, progesterone receptor agonist",1,0,0.8130081300813008,0.0,1
estrogen receptor antagonist,1,0,0.8130081300813008,0.0,1
fgfr inhibitor,0,1,0.0,0.6993006993006993,1
flavanone glycoside,0,1,0.0,0.6993006993006993,1
focal adhesion kinase inhibitor,1,0,0.8130081300813008,0.0,1
glutamate inhibitor,1,0,0.8130081300813008,0.0,1
guanylyl cyclase inhibitor | nitric oxide production inhibitor,1,0,0.8130081300813008,0.0,1
hedgehog pathway inhibitor,1,0,0.8130081300813008,0.0,1
histone lysine methyltransferase inhibitor,1,0,0.8130081300813008,0.0,1
Protein tyrosine kinase inhibitor,1,0,0.8130081300813008,0.0,1
"PDGFR inhibitor, RET tyrosine kinase inhibitor, RAD51 inhibitor, FLT3 inhibitor, KIT inhibitor",1,0,0.8130081300813008,0.0,1
Proteasome inhibitor,0,1,0.0,0.6993006993006993,1
Estrogen Receptor (ER) Agonists,1,0,0.8130081300813008,0.0,1
DNA inhibitor,1,0,0.8130081300813008,0.0,1
DNA inhibitor | topoisomerase inhibitor,0,1,0.0,0.6993006993006993,1
DNA replication inhibitor | STAT inhibitor,0,1,0.0,0.6993006993006993,1
DNA synthesis inhibitor,0,1,0.0,0.6993006993006993,1
DOT1L inhibitor,1,0,0.8130081300813008,0.0,1
Dardarin) Inhibitors,1,0,0.8130081300813008,0.0,1
Dihydrofolate reductase inhibitor,0,1,0.0,0.6993006993006993,1
Dopamine receptor antagonist,0,1,0.0,0.6993006993006993,1
Dual PRMT5 and PRMT7 inhibitor,1,0,0.8130081300813008,0.0,1
EGFR inhibitor | tyrosine kinase inhibitor,1,0,0.8130081300813008,0.0,1
