compound_embedding_row_index,actual_predictability,predicted_predictability,compound_name
5165,0.83159965,0.81555176,"(E)-3-(3-chlorophenyl)-N-(2-((1,1-dioxidotetrahydro-2H-thiopyran-4-yl)(methyl)amino)-2-oxoethyl)acrylamide; ML264"
321,0.8618594,0.83607185,Saquinavir
5157,0.8302609,0.78395736,Lidocaine (hydrochloride); Lidocaine Hydrochloride
4096,0.8297838,0.849844,Daidzin
5528,0.82956,0.8141939,"Benzo(g)-1,3-benzodioxolo(5,6-a)quinolizinium, 5,6-dihydro-9,10-dimethoxy-, chloride, monohydrate; Berberine (chloride hydrate)"
5530,0.8292305,0.8101083,S-Adenosyl-L-methionine (disulfate tosylate)
3760,0.8264183,0.8233882,Larotrectinib
4076,0.82376647,0.7892182,"5-Fluorouracil; 5-fluoro-1H-pyrimidine-2,4-dione"
1838,0.88307464,0.80665696,2-[(E)-[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine; Fluvoxamine
5146,0.8234211,0.8692954,"2-Pyridinamine, 3-((1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy)-5-(1-(4-piperidinyl)-1H-pyrazol-4-yl)-, hydrochloride (1:1); Crizotinib (hydrochloride)"
5526,0.8206123,0.8289014,2-chloro-10-(4-methoxybenzoyl)-10H-phenothiazine; Tubulin inhibitor 6
4,0.8194201,0.85973275,Quinestrol
5532,0.8181305,0.8060144,"2-((3,4-Bis((4-fluorobenzyl)oxy)benzyl)amino)ethanol hydrochloride; XRK3F2"
5533,0.8179826,0.81351155,L-Thyroxine (sodium salt pentahydrate); Levothyroxine sodium pentahydrate
5216,0.8174871,0.82723874,Larotrectinib Sulfate; Larotrectinib sulfate
5139,0.8174801,0.81798047,Ralimetinib Mesylate; Ralimetinib dimesylate
1834,0.8171311,0.8618067,Artemether
5151,0.81579906,0.8539461,Pravastatin (sodium); Pravastatin Sodium
721,0.8157657,0.85174733,Methylprednisolone Succinate; Methylprednisolone succinate
635,0.8284961,0.8331844,Voriconazole
2900,0.81430966,0.7855791,Radotinib
5527,0.82621104,0.8431541,(+)-Isocorydine; Isocorydine
847,0.8676744,0.82851154,Orlistat
322,0.8853915,0.848673,Finasteride
5148,0.81183475,0.8410058,Tofacitinib (citrate); Tofacitinib Citrate
5173,0.8115751,0.81336784,Pralsetinib
2736,0.81125546,0.82295007,AZD-7648; Azd-7648
767,0.80956024,0.8255237,Posaconazole
732,0.8077423,0.8110095,Elimusertib; Elimusertib hydrochloride
5129,0.8133906,0.8427909,Adagrasib
3078,0.80726993,0.81444204,c-Kit-IN-1
5155,0.80725104,0.78712165,Fingolimod (hydrochloride); Fingolimod Hydrochloride
3294,0.80660605,0.8193761,BAY1125976; Bay-1125976
3558,0.80488324,0.7832371,Adenine
5523,0.8046736,0.76713103,Methyl Aminolevulinate Hydrochloride; Methyl aminolevulinate (hydrochloride)
2701,0.8044332,0.83272374,Tomivosertib
5287,0.8037075,0.84377897,Daptomycin
5522,0.8034648,0.81149054,Benztropine (mesylate); Benztropine mesylate
1846,0.8260492,0.8336468,Aliskiren
243,0.80993634,0.845164,Abiraterone Acetate; Abiraterone acetate
5153,0.8012332,0.8721429,Vinblastine (sulfate); Vinblastine Sulfate
3315,0.8009638,0.85991824,Capivasertib
97,0.80062354,0.8215499,Futibatinib
5202,0.80058485,0.8020544,L-Eflornithine (monohydrochloride)
5187,0.80045336,0.80226374,Lapatinib Ditosylate; Lapatinib ditosylate
5521,0.8002238,0.90303075,"2-Naphthacenecarboxamide, 4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-, hydrochloride (1:1), (4S,4aS,5aS,6S,12aS)-; Tetracycline (hydrochloride)"
5174,0.79909474,0.84305334,Fluvoxamine (maleate); Fluvoxamine Maleate
5193,0.7987959,0.81234676,5-((6-chloro-5-(1-methylindol-5-yl)-1H-benzimidazol-2-yl)oxy)-2-methylbenzoic acid; EX229
