compound_embedding_row_index,actual_predictability,predicted_predictability,compound_name
6997,0.93436193,0.8305055,"1-[(3R,9S,10S)-12-[(2S)-1-hydroxypropan-2-yl]-9-[[(4-methoxyphenyl)methyl-methylamino]methyl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-[4-(trifluoromethyl)phenyl]urea; BRD-K80786583"
7446,0.9341607,0.8278481,"BRD-K58479490; N-(2-aminophenyl)-4-[[[(2R,3S)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-9-[[oxo-[4-(trifluoromethyl)anilino]methyl]amino]-2,3,4,7-tetrahydro-1,5-benzoxazonin-2-yl]methyl-methylamino]methyl]benzamide"
736,0.9335373,0.8728024,Thapsigargin; thapsigargin
4757,0.9787444,0.91724795,alvespimycin
747,0.93151283,0.843577,"1-(4-(4-propionylpiperazin-1-yl)-3-(trifluoromethyl)phenyl)-9-(quinolin-3-yl)benzo(h)(1,6)naphthyridin-2(1H)-one; torin-1"
1443,0.9319946,0.8290256,BRD-K89997465; Chlorpromazine
631,0.9537751,0.8121026,(S)-Crizotinib; Crizotinib; crizotinib
743,0.935299,0.84639347,"(3S,6S,9S,12R)-3-[(2S)-butan-2-yl]-6-[(1-methoxyindol-3-yl)methyl]-9-(6-oxooctyl)-1,4,7,10-tetrazabicyclo[10.4.0]hexadecane-2,5,8,11-tetrone; Apicidin"
5086,0.941713,0.821169,genistein
527,0.9325779,0.87285644,Triptolide (PG490); triptolide
250,0.923443,0.8221884,Pharmakon1600-01500231; dexamethasone-acetate
457,0.92331344,0.83802205,Delanzomib; delanzomib
2916,0.9223703,0.81305873,LY-2603618; Rabusertib
1471,0.9791202,0.8278991,Abexinostat; PCI-24781
5349,0.9364466,0.8796705,"bruceantin; methyl (1R,2S,3R,6R,8S,13S,14R,15R,16S,17S)-3-[(E)-3,4-dimethylpent-2-enoyl]oxy-15,16-dihydroxy-9,13-dimethyl-4,10,11-trioxo-5,18-dioxapentacyclo[12.5.0.01,6.02,17.08,13]nonadecane-17-carboxylate"
6351,0.9211745,0.89100903,"(8S,9R,13S,14S,16R)-17-[(E,2R)-2,6-dihydroxy-6-methyl-3-oxohept-4-en-2-yl]-16-hydroxy-4,4,9,13,14-pentamethyl-1,7,8,10,12,15,16,17-octahydrocyclopenta[a]phenanthrene-2,3,11-trione; BRD-A49680073"
3502,0.9205965,0.80574924,Cladribine; cladribine
575,0.92035604,0.8206026,TW-37
1703,0.91984713,0.84323424,Genz-644282; genz-644282
4246,0.9191047,0.8352764,"N-([1,1'-Biphenyl]-4-ylmethyl)-6-phenyl-3-(pyridin-2-yl)-1,2,4-triazin-5-amine; VU-0418946-1"
4764,0.92397904,0.83165944,YM-155
2090,0.9185589,0.86802703,KU-0063794; Ku-0063794
2385,0.91812235,0.8013717,5-(6-((4-Methyl-1-piperazinyl)methyl)-1H-benzimidazol-1-yl)-3-((1R)-1-(2-(trifluoromethyl)phenyl)ethoxy)-2-thiophenecarboxamide; GSK-461364
2026,0.9181108,0.8738375,"(8aR,9R)-5-[[(2R,4aR,6R,7R,8R)-7,8-dihydroxy-2-thiophen-2-yl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl]oxy]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-isobenzofuro[6,5-f][1,3]benzodioxol-8-one; teniposide"
930,0.9171814,0.8550231,"(R)-2,4,6-Trimethyl-deca-2,4-dienoic acid {(1S,5S,6R)-5-hydroxy-5-[(1E,3E,5E)-6-(2-hydroxy-5-oxo-cyclopent-1-enylcarbamoyl)-hexa-1,3,5-trienyl]-2-oxo-7-oxa-bicyclo[4.1.0]hept-3-en-3-yl}-amide; manumycin-a"
1905,0.9158393,0.8797431,Cabazitaxel (Jevtana); cabazitaxel
812,0.9157727,0.89115036,Valrubicin; valrubicin
1106,0.915565,0.8350673,"2-[4-[(4-Ethyl-1-piperazinyl)methyl]-3-(trifluoromethyl)anilino]-5,11-dimethyl-6-pyrimido[4,5-b][1,4]benzodiazepinone; JWE-035"
260,0.91499454,0.8746227,"4,15-Diacetoxyscirpen-3-ol; anguidine"
6445,0.91462487,0.8359562,"(9E,11E)-16-chloro-17,19-dihydroxy-4-methyl-3,7-dioxatricyclo[13.4.0.06,8]nonadeca-1(15),9,11,16,18-pentaene-2,13-dione; radicicol"
1294,0.91265225,0.83842325,Dolastatin 10; dolastatin-10
737,0.91240287,0.8748418,Ingenol Mebutate; ingenol-mebutate
3547,0.8802452,0.85037327,5-Azacytidine; Azacitidine; Azacytidine
2547,0.9070566,0.83556426,"(8R,9R,13S,14S,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol; estradiol"
5354,0.9116222,0.82581127,"N-[(2S)-3-methoxy-1-[[(2S)-3-methoxy-1-[[(2S)-1-(2-methyloxiran-2-yl)-1-oxo-3-phenylpropan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]-2-methyl-1,3-thiazole-5-carboxamide; oprozomib"
2491,0.91151184,0.8195351,"(6S,8S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one; methylprednisolone"
2093,0.9104511,0.84572184,BGT-226; BGT-226 free base
147,0.9086275,0.8264739,"[(3R,4aR,5S,6S,10S,10aR,10bS)-3-ethenyl-6,10,10b-trihydroxy-3,4a,7,7,10a-pentamethyl-1-oxo-5,6,6a,8,9,10-hexahydro-2H-benzo[f]chromen-5-yl] acetate; colforsin"
253,0.9088218,0.86362094,"[2-[(4R,8S,9S,11S,12R,13S,19S)-12,19-Difluoro-11-hydroxy-6,6,9,13-tetramethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-8-yl]-2-oxoethyl] acetate; fluocinolone-acetonide"
8882,0.90867716,0.9011095,BRD-A28105619
1585,0.91062564,0.84042585,Prochlorperazine; prochlorperazine
5274,0.9083014,0.8424082,"4-(6,6-dimethyl-4-oxo-3-(trifluoromethyl)-4,5,6,7-tetrahydro-1H-indazol-1-yl)-2-((1r,4r)-4-hydroxycyclohexylamino)benzamide; SNX-2112"
2483,0.9082413,0.8131793,Brefeldin A; brefeldin-a
24036,0.9184022,0.7964816,Clozapine
5371,0.90737754,0.8144447,BRD-K61195623; Combretastatin A4
1322,0.9055919,0.8329443,Vinblastine; vinblastine
762,0.90529895,0.8840521,Fluticasone Propionate; fluticasone-propionate
2430,0.9521718,0.8619731,"5-[(3S,10R,13R,14S,17R)-14-hydroxy-10,13-dimethyl-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-1,2,3,6,7,8,9,11,12,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]pyran-2-one; proscillaridin"
70,0.9049246,0.8237578,thiostrepton
27,0.9057701,0.82411546,Levonorgestrel; levonorgestrel
768,0.90168935,0.83783305,"[(1S,3R,7S,8R,8aS)-8-[2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] 2,2-dimethylbutanoate; simvastatin"
4611,0.90699303,0.8369358,cycloheximide
942,0.9026363,0.7685053,Parbendazole; parbendazole
3610,0.9024168,0.83108634,Scriptaid; scriptaid
1678,0.90213525,0.86144197,"N,1,4,4-Tetramethyl-8-((4-(4-methylpiperazin-1-yl)phenyl)amino)-4,5-dihydro-1H-pyrazolo(4,3-h)quinazoline-3-carboxamide; PHA-848125"
1914,0.90203506,0.8893547,"(1R,9S,12S,15R,16Z,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-12-[(2R)-1-[(1S,3R,4R)-4-dimethylphosphoryloxy-3-methoxycyclohexyl]propan-2-yl]-1,18-dihydroxy-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone; deforolimus"
1118,0.9001205,0.84585905,GDC-0349; Gdc-0349
4440,0.89933425,0.86562777,GDC-0068
2277,0.9721764,0.962845,"(7R,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; doxorubicin"
1312,0.8982473,0.8485246,Birinapant; birinapant
109,0.89773357,0.79510224,N-[3-[[2-[[4-(dimethylamino)cyclohexyl]amino]-9-propan-2-yl-6-purinyl]amino]phenyl]-2-propenamide; WZ-3105
6744,0.8973186,0.8453294,Chelidonine; chelidonine
642,0.8918671,0.75504464,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoic acid; Doconexent"
722,0.9019079,0.8659023,"6,9-difluoro-11-hydroxy-17-(3-hydroxy-2-oxopropyl)-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthrene-17-carbothioic acid S-(fluoromethyl) ester; fluticasone"
3117,0.8956429,0.8223411,fluphenazine; fluphenazine-N-mustard
1724,0.90096915,0.8530458,"(9S,10R,11R,13R)-2,3,10,11,12,13-hexahydro-10-methoxy-9-methyl-11-(methylamino)-9,13-epoxy-1H,9H-diindolo[1,2,3-gh:3',2',1'-lm]pyrrolo[3,4-j][1,7]benzodiazonin-1-one; staurosporine"
7187,0.8923436,0.8228453,"2,4-difluoro-N-[2-methoxy-4-[4-(4-pyridazinyl)-6-quinolinyl]-3-pyridinyl]benzenesulfonamide; GSK-2126458"
2654,0.89220595,0.84472036,AZD-8330; Azd-8330
671,0.8920327,0.8438511,Halcinonide; halcinonide
7273,0.8901533,0.84012926,"1-[(3S,9R,10R)-12-[(2S)-1-(dimethylamino)propan-2-yl]-9-[[(4-fluorophenyl)sulfonyl-methylamino]methyl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-phenylurea; CAM-9-027-3"
3096,0.91556025,0.8254409,JNJ-26481585; Quisinostat
1921,0.889985,0.8532382,Mycophenolate Mofetil; mycophenolate-mofetil
367,0.88984644,0.80760604,"BMS-387032; N-(5-(((5-(1,1-Dimethylethyl)-2-oxazolyl)methyl)thio)-2-thiazolyl)-4-piperidinecarboxamide; N-[5-[(5-tert-butyl-1,3-oxazol-2-yl)methylsulfanyl]-1,3-thiazol-2-yl]piperidine-4-carboxamide"
7642,0.8892805,0.8410637,"BRD-K61717269; N-[(4-methylphenyl)methyl]-6-phenyl-3-(2-pyridinyl)-1,2,4-triazin-5-amine"
103,0.88923293,0.8175284,Canertinib; canertinib
1828,0.9557634,0.8146883,"2-[5-[(3,5-dimethyl-1H-pyrrol-2-yl)methylidene]-4-methoxy-2-pyrrolylidene]indole; obatoclax"
7131,0.88897306,0.780319,2-[(chloroacetyl)(3-methoxyphenyl)amino]-N-(2-phenylethyl)-2-thien-2-ylacetamide; K784-3187
72,0.88828325,0.8237947,"(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5S)-5-cyclopropyl-5-hydroxypent-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol; Calcipotriol"
6913,0.88808733,0.85645807,"9-(3,5-Dimethoxyphenyl)-1-[4-(1-piperazinyl)-3-(trifluoromethyl)phenyl]-2-benzo[h][1,6]naphthyridinone; JW-7-24-1"
6877,0.915502,0.809306,Piperlongumine; piperlongumine
3995,0.88632685,0.79900706,6-Bromoindirubin-3'-oxime; BRD-K04923131
88,0.88601387,0.8146303,"(8R,9R,10R,13S,14R)-10,13-dimethyl-6-methylidene-7,8,9,11,12,14,15,16-octahydrocyclopenta[a]phenanthrene-3,17-dione; exemestane"
1982,0.8827255,0.8317245,"N-[3,4-difluoro-2-(2-fluoro-4-iodoanilino)-6-methoxyphenyl]-1-[(2S)-2,3-dihydroxypropyl]cyclopropane-1-sulfonamide; Refametinib; refametinib"
2206,0.88553953,0.82185173,ABT-751; N-(2-((4-hydroxyphenyl)amino)-3-pyridinyl)-4-methoxybenzenesulfonamide
3780,0.8853391,0.79263353,Adarotene; adarotene
2752,0.88493514,0.8295706,"4-Piperidinone, 3,5-bis[(4-methylphenyl)methylene]-, hydrochloride; NSC-632839"
6314,0.88497573,0.8511511,Rottlerin; rottlerin
2934,0.8844002,0.8499714,Taselisib; taselisib
2133,0.8842117,0.8221594,"4-(4,5-bis(4-chlorophenyl)-2-(2-isopropoxy-4-methoxyphenyl)-4,5-dihydro-1H-imidazole-1-carbonyl)piperazin-2-one; nutlin-3"
3006,0.88216674,0.8693061,"(6S)-4-(4-Chlorophenyl)-N-(4-hydroxyphenyl)-2,3,9-trimethyl-6H-thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepine-6-acetamide; OTX-015"
2519,0.8805427,0.8244246,Pharmakon1600-00300024; hydrocortisone
6308,0.8815022,0.8647938,Prostratin; prostratin
710,0.8814762,0.887434,"(4-Benzoyloxy-5,6-dihydroxy-3,11,11,14-tetramethyl-15-oxo-7-tetracyclo[7.5.1.01,5.010,12]pentadeca-2,7-dienyl)methyl benzoate; ingenol"
6695,0.87824404,0.8413889,"(E)-4-(dimethylamino)-N-[3-[(5,11-dimethyl-6-oxopyrimido[4,5-b][1,4]benzodiazepin-2-yl)amino]phenyl]but-2-enamide; XMD-16144"
1422,0.8779828,0.8151474,Gedatolisib; PF-05212384
6224,0.87677795,0.85258263,"9-(1-Methyl-4-pyrazolyl)-1-[1-(1-oxoprop-2-enyl)-2,3-dihydroindol-6-yl]-2-benzo[h][1,6]naphthyridinone; QL-XII-47"
2970,0.87663394,0.8161651,4-(2-Methyl-1-(1-methylethyl)-1H-imidazol-5-yl)-N-(4-(methylsulfonyl)phenyl)-2-pyrimidinamine; AZD-5438
3316,0.8763689,0.80006945,AZD-5363; Capivasertib
1601,0.8758155,0.8430456,NMS-1286937; Onvansertib
7652,0.8752832,0.82502186,"2-(N-(2-chloro-1-oxoethyl)-3,4-dimethylanilino)-N-cyclohexyl-2-(3-pyridinyl)acetamide; K784-3131"
7868,0.8750828,0.80962837,"1H-Benzimidazole-2-acetonitrile, alpha-((5-nitro-2-furanyl)methylene)-; BRD-K06765193"
3530,0.8747146,0.8142503,"9-Chloro-2-(2-furanyl)(1,2,4)triazolo(1,5-c)quinazolin-5-amine; CGS-15943"
2708,0.8747898,0.8145009,Ceritinib; ceritinib
1099,0.87415165,0.83240825,KU-0060648
7328,0.87393224,0.8624136,"BRD-K55116708; N-(2-aminophenyl)-4-[[[(2S,3R)-10-[[anilino(oxo)methyl]amino]-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-2-yl]methyl-methylamino]methyl]benzamide"
1796,0.8736292,0.84941006,"BRD-K22848513; methyl (4aS,6aR,6bS,8aR,12aR,14aS,14bR)-11-cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,3,4,5,6,7,8,8a,14a,14b-decahydropicene-4a-carboxylate"
673,0.8747673,0.84003496,"(1S,2S,4R,8S,9S,11S,13R,19S)-19-fluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-16-one; flunisolide"
1630,0.87321126,0.8322525,Triciribine; triciribine
3150,0.8730961,0.7986444,"1,3-Benzothiazol-2-yl(2-((2-(3-pyridinyl)ethyl)amino)-4-pyrimidinyl)acetonitrile; AS-601245"
1280,0.8727179,0.87164944,"(1R,4E,5'R,6R,6'R,7S,8R,10S,11S,12R,14S,15R,16S,18E,20E,22S,25S,27R,28R,29S)-22-ethyl-7,11,14,15-tetrahydroxy-6'-[(2R)-2-hydroxypropyl]-5',6,8,10,12,14,16,28,29-nonamethylspiro[2,26-dioxabicyclo[23.3.1]nonacosa-4,18,20-triene-27,2'-oxane]-3,9,13-trione; oligomycin-a"
6322,0.87265104,0.81784475,"N-(3,3-dimethylbutyl)-6-phenyl-3-(2-pyridinyl)-1,2,4-triazin-5-amine; VU-0410183-2"
1923,0.8721668,0.82446635,"(6-Chloro-9-(4-methoxy-3,5-dimethylpyridin-2-ylmethyl)-9H-purin-2-yl)amine; BIIB-021"
2757,0.870406,0.83868015,SB-743921; Sb-743921
3145,0.8703807,0.80629015,"(2E,3Z)-2,3-bis[amino-(2-aminophenyl)sulfanylmethylidene]butanedinitrile; U-0126"
5318,0.87004197,0.83882225,Lasalocid A; lasalocid
2703,0.91471213,0.803887,Tozasertib; tozasertib
203,0.8698128,0.8327526,PF-03814735; Pf-03814735
4116,0.870135,0.83159816,NU-7441
6391,0.8696941,0.81991327,ARP-101; Arp 101
7751,0.8693819,0.80605495,A-443654
170,0.8687346,0.8472382,Epothilone-B; epothilone-b
6455,0.8669972,0.8442486,"6,9-Dimethyl-3-(6-(2-oxiranyl)-6-oxohexyl)-1,4,7,10-tetrazabicyclo(10.3.0)pentadecane-2,5,8,11-tetrone; HC-toxin"
3909,0.8666199,0.80980843,(4-(4-(Benzo(b)thiophen-2-yl)pyrimidin-2-ylamino)phenyl)(4-(pyrrolidin-1-yl)piperidin-1-yl)methanone; IKK-16
1992,0.8652678,0.85948056,"2-[2-Methoxy-4-(4-methyl-1-piperazinyl)anilino]-5,11-dimethyl-6-pyrimido[4,5-b][1,4]benzodiazepinone; XMD-885"
114,0.8632015,0.78941405,WZ-4002
3976,0.8623148,0.8455807,SB 218078; SB-218078
907,0.8620171,0.8434118,Atrasentan; atrasentan
5321,0.8607082,0.84395945,KW-2478; KW-2478 free base
1290,0.8608341,0.84446734,Lovastatin; lovastatin
4736,0.85721695,0.82877046,nifedipine
7968,0.85964996,0.79148984,BG-1005; Crebinostat
434,0.85918635,0.8337445,BI-D1870
2194,0.85890496,0.8158768,HMN-214; N-((4-Methoxyphenyl)sulfonyl)-N-(2-((1E)-2-(1-oxido-4-pyridinyl)ethenyl)phenyl)acetamide
255,0.8587767,0.868096,"[2-[(1R,2S,4R,8S,9S,11S,12R,13S)-12-fluoro-11-hydroxy-9,13-dimethyl-16-oxospiro[5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-diene-6,1'-cyclopentane]-8-yl]-2-oxoethyl] acetate; amcinonide"
3782,0.85903496,0.7618855,Caffeic Acid; caffeic-acid
1444,0.85869986,0.8130991,Promazine; promazine
10473,0.8580402,0.8287579,BRD-K61033289
1613,0.8581897,0.82762116,N-Methylparoxetine; paroxetine
82,0.8718717,0.8140581,"(1S,2S,4R,7E,11S)-4,8-dimethyl-12-methylidene-3,14-dioxatricyclo[9.3.0.02,4]tetradec-7-en-13-one; Parthenolide"
586,0.8558723,0.8206622,"Fluvastatin, (3R,5S)-; fluvastatin"
351,0.8558405,0.7851427,"4-[3-(3,5-Ditert-butylphenyl)-3-oxoprop-1-enyl]benzoic acid; SA-792709"
2690,0.85568345,0.8370754,PD 198306; PD-198306
562,0.85468006,0.82981473,AT-13387; Onalespib
3678,0.85454047,0.8097224,AS-703026; Pimasertib
2778,0.85550356,0.7962718,Meclofenamic Acid; meclofenamic-acid
3565,0.898246,0.822076,(E)-N-hydroxy-3-[4-[[2-hydroxyethyl-[2-(1H-indol-3-yl)ethyl]amino]methyl]phenyl]prop-2-enamide; Dacinostat
3973,0.85259074,0.85301,Tivantinib; tivantinib
1518,0.8521296,0.82856524,PF-562271
992,0.8520873,0.8214839,Albendazole; albendazole
4188,0.8509744,0.81514263,"3,4,6-trichloro-2-[(2,3,5-trichloro-6-hydroxyphenyl)methyl]phenol; Hexachlorophene; hexachlorophene"
6225,0.85106945,0.83917284,"N-[2-methyl-5-[2-oxo-9-(1H-pyrazol-4-yl)-1-benzo[h][1,6]naphthyridinyl]phenyl]-2-propenamide; QL-X-138"
8184,0.85099673,0.827592,1-(4-Fluorophenyl)-3-(4-morpholinyl)-2-phenyl-1-propanone; EMF-sumo1-11
2069,0.8477371,0.8044772,"1-[2-chloro-4-(6,7-dimethoxyquinolin-4-yl)oxyphenyl]-3-(5-methyl-1,2-oxazol-3-yl)urea; Tivozanib; tivozanib"
5452,0.8507118,0.87112695,5-Fluoro-2'-deoxycytidine; fdcyd
2345,0.8471401,0.8089159,"SB 203580, Sulfone; SB-203580"
1223,0.85047877,0.85778826,XMD-892; Xmd8-92
168,0.84927243,0.8544563,Ixabepilone; ixabepilone
2956,0.84889585,0.82933265,SB-2343; Vs-5584
1986,0.8479275,0.8014634,"5-Chloro-N2-(4-(4-(dimethylamino)-1-piperidinyl)-2-methoxyphenyl)-N4-(2-(dimethylphosphinyl)phenyl)-2,4-pyrimidinediamine; AP-26113"
521,0.8477277,0.8431753,AMG-232; Navtemadlin
2821,0.8475439,0.8143757,PIK-75; Pik-75
1369,0.843687,0.78964657,"5-(4-chlorophenyl)-6-ethylpyrimidine-2,4-diamine; Pyrimethamine; pyrimethamine"
1045,0.8486051,0.80416745,"(+-)-Quinacrine; 4-N-(6-chloro-2-methoxyacridin-9-yl)-1-N,1-N-diethylpentane-1,4-diamine; mepacrine"
6802,0.84599155,0.84373015,"(3S)-2-(2-chloro-1-oxoethyl)-1,1-dimethyl-4,9-dihydro-3H-pyrido[3,4-b]indole-3-carboxylic acid methyl ester; BRD-K78062244"
3650,0.84530383,0.8043442,CGK-733; Diphenyl acetamidotrichloroethyl fluoronitrophenyl thiourea
4231,0.84522885,0.80158293,"3-(3,5-Ditert-butyl-4-hydroxyphenyl)-2-isocyano-2-propenenitrile; malonoben"
1999,0.8439763,0.8246484,Tamatinib; fostamatinib
1458,0.8438815,0.8222578,TAS-103; TAS-103 free base
2976,0.8433817,0.79793775,Metronidazole; metronidazole
1516,0.842922,0.828924,"N-Methyl-N-(2-(((2-((2-oxo-2,3-dihydro-1H-indol-5-yl)amino)-5-(trifluoromethyl)pyrimidin-4-yl)amino)methyl)phenyl)methanesulfonamide; PF-431396"
2000,0.8969329,0.8393754,Alisertib; alisertib
9661,0.84194237,0.8618084,BRD-A49765801
2633,0.84191453,0.7949928,"4-[2-[[4-(2,4-dichlorophenyl)-5-(5-methyl-1H-imidazol-2-yl)pyrimidin-2-yl]amino]ethylamino]benzonitrile; CHIR-99021"
739,0.9024819,0.839995,Romidepsin; romidepsin
4450,0.84920794,0.8324458,atorvastatin
7031,0.840448,0.8170161,BMCL181297 Compound 5F; BRD-K05402890
1473,0.9198928,0.8369566,Resminostat; resminostat
7896,0.8380699,0.81298065,JNK inhibitor IX; JNK-IN-5A
2495,0.913874,0.87188804,Digoxin; digoxin
2157,0.83608174,0.7938937,"Anisomycin, (+)-; anisomycin"
2681,0.83599764,0.80561686,"2-[2-(2,5-dimethyl-1-phenylpyrrol-3-yl)ethyl]-N,N,1-trimethylquinolin-1-ium-6-amine; pyrvinium-pamoate"
6486,0.8356061,0.8459118,"15-Deoxy-delta12,14-prostaglandin; BRD-K05396879"
1602,0.8335761,0.8155057,Dovitinib; dovitinib
6752,0.8333227,0.8199981,"HG-5-113-01; N-methyl-6-[[4-(2-propan-2-ylsulfonylanilino)-1H-pyrrolo[2,3-b]pyridin-6-yl]amino]-3-pyridinecarboxamide"
2406,0.83329797,0.83015853,Talmapimod; talmapimod
3020,0.83307374,0.8070629,Calmidazolium; calmidazolium
4177,0.8333114,0.797907,Salmeterol; salmeterol
8273,0.8318669,0.80903417,"5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide; BRD-K92317137"
3743,0.8318372,0.8148613,MST-312; Telomerase Inhibitor IX
7737,0.8317083,0.8013409,4-[(1-methyl-2-oxo-4-quinolinyl)oxy]-N-(4-methyl-2-pyridinyl)butanamide; BRD-K84203638
2691,0.83078796,0.7743633,Dequalinium; dequalinium
963,0.82864755,0.82373637,"5-O-(4,4-diphenylpiperidin-1-yl) 3-O-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1-propyl-4H-pyridine-3,5-dicarboxylate; niguldipine"
2974,0.82993823,0.7902171,Flumatinib; flumatinib
23746,0.82996327,0.814103,mefloquine
6814,0.8281657,0.8260578,"1R,3S-Rsl 3; BRD-K56411643"
1461,0.82769156,0.8252103,SB-590885
2623,0.82721573,0.84431374,"(3S,4aR,8aR)-N-tert-butyl-2-[(2R,3R)-2-hydroxy-3-[(3-hydroxy-2-methylbenzoyl)amino]-4-phenylsulfanylbutyl]-3,4,4a,5,6,7,8,8a-octahydro-1H-isoquinoline-3-carboxamide; nelfinavir"
2067,0.82446074,0.8021885,Cabozantinib; cabozantinib
76,0.8258915,0.8310704,"1alpha,25-Dihydroxyvitamin D2; ercalcitriol"
1366,0.8251205,0.8134489,TAK-715; Tak-715
3179,0.8246377,0.808287,"3-(4-Morpholinyl)-5-[2-[4-[3-(3-pyridinyl)-1,2,4-triazol-1-yl]anilino]-4-pyrimidinyl]benzonitrile; JNK-9L"
7809,0.8244956,0.8025619,"4-Chloro-1-methyl-3-nitro-1,2-dihydroquinolin-2-one; MW-A1-12"
2601,0.8242191,0.85309285,Apitolisib; GDC-0980
2857,0.81895024,0.7679352,2-Methyl-6-styryl-pyridine; SIB-1893
8231,0.8232668,0.82779914,KIN001-043
1722,0.8222613,0.80562675,"Sertraline, trans-(A+-)-; sertraline"
1674,0.82274884,0.8362268,CEP-37440; Cep-37440
148,0.8502553,0.8725786,Sdccgsbi-0050471.P002; forskolin
3967,0.8230701,0.8003751,Ro-3306
764,0.82233113,0.8413459,"(8S,9S,10R,11S,13S,14R,16R,17S)-11-hydroxy-10,13,16,17-tetramethyl-17-propanoyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one; rimexolone"
459,0.8817551,0.85557353,(2S)-4-methyl-N-[(2S)-1-[[(2S)-4-methyl-1-[(2R)-2-methyloxiran-2-yl]-1-oxopentan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]-2-[[(2S)-2-[(2-morpholin-4-ylacetyl)amino]-4-phenylbutanoyl]amino]pentanamide; Carfilzomib; carfilzomib
74,0.8198536,0.83200836,Seocalcitol; seocalcitol
284,0.8192922,0.8598019,"(6S,9R,11S,13S,17R)-17-acetyl-9-fluoro-11,17-dihydroxy-6,10,13-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one; BRD-A13133631"
2274,0.8182811,0.8269125,OSI-027
1924,0.8176657,0.85208625,Moxifloxacin; moxifloxacin
1079,0.8172413,0.7963637,2-[3-[[7-[3-[ethyl(2-hydroxyethyl)amino]propoxy]quinazolin-4-yl]amino]-1H-pyrazol-5-yl]-N-(3-fluorophenyl)acetamide; Defosbarasertib; barasertib-HQPA
1892,0.9348334,0.82691586,Danusertib; danusertib
2073,0.81559074,0.8275566,KIN001-055; Whi-P97
7981,0.8155391,0.79168653,"2-chloro-N-{3-[(2-chlorophenyl)methyl]-2,3-dihydro-1,3-thiazol-2-ylidene}acetamide; BRD-K62459624"
24198,0.81498015,0.8229497,3-Cl-AHPC; 3-[4-[3-(1-Adamantyl)-4-hydroxyphenyl]-3-chlorophenyl]prop-2-enoic acid
1556,0.8144198,0.81240547,BIBX-1382; Falnidamol
2838,0.8142625,0.82108295,SB-525334
1553,0.81440425,0.80117404,"N-[(1-methylpiperidin-4-yl)methyl]-3-[3-(trifluoromethoxy)phenyl]imidazo[1,2-b]pyridazin-6-amine; SGI-1776"
