moa,observed_difference,observed_adjusted_p,predicted_difference,predicted_adjusted_p,significant_in_either,largest_absolute_effect
Retinoid receptor agonist,-2.4390243902439024,,-5.426356589147287,,False,5.426356589147287
ATPase inhibitor,2.683495366422196,,5.714285714285714,,False,5.714285714285714
Glucocorticoid receptor agonist,3.382796065722895,,8.571428571428571,,False,8.571428571428571
Protein synthesis inhibitor,4.781397464324293,,2.796234772978959,,False,4.781397464324293
Tubulin polymerization inhibitor,4.895104895104895,,3.510520487264673,,False,4.895104895104895
HDAC inhibitor,6.879299562226391,,-2.3864894795127354,,False,6.879299562226391
mTOR inhibitor,8.391608391608392,,5.714285714285714,,False,8.391608391608392
Topoisomerase inhibitor,11.774404457331288,,11.36766334440753,,False,11.774404457331288
