compound_embedding_row_index,compound_name,observed_predictability_group,actual_predictability,moa,moa_annotation
267,"[(1S,2S,3S,4S,7S,9S,10S,12R,15S)-4,12-diacetyloxy-15-[(2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate; paclitaxel",Highest observed predictability,0.9022159,Tubulin inhibitor; tubulin polymerization inhibitor,Tubulin inhibitor
267,"[(1S,2S,3S,4S,7S,9S,10S,12R,15S)-4,12-diacetyloxy-15-[(2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate; paclitaxel",Highest observed predictability,0.9022159,Tubulin inhibitor; tubulin polymerization inhibitor,Tubulin polymerization inhibitor
136,"(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-prop-2-enyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone; Tacrolimus",Highest observed predictability,0.9389223,FKBP12 gene modulator;Calcineurin inhibitor; calcineurin inhibitor,Calcineurin inhibitor
136,"(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-prop-2-enyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone; Tacrolimus",Highest observed predictability,0.9389223,FKBP12 gene modulator;Calcineurin inhibitor; calcineurin inhibitor,FKBP12 gene modulator
136,"(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-prop-2-enyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone; Tacrolimus",Highest observed predictability,0.9389223,FKBP12 gene modulator;Calcineurin inhibitor; calcineurin inhibitor,calcineurin inhibitor
559,Ganetespib; ganetespib,Highest observed predictability,0.9470695,HSP inhibitor,HSP inhibitor
424,PHA-793887; Pha-793887,Highest observed predictability,0.9468645,CDK inhibitor,CDK inhibitor
1760,Hydroflumethiazide; reserpine; mepireserpate,Highest observed predictability,0.9406644,Catecholamine depleting sympatholytic,Catecholamine depleting sympatholytic
3756,"1-(4-(4-(3-Oxa-8-azabicyclo(3.2.1)octan-8-yl)-6-morpholino-1,3,5-triazin-2-yl)phenyl)-3-(pyridin-4-yl)urea; PKI-179",Highest observed predictability,0.94641685,"MTOR inhibitor, PI3K inhibitor; mTOR inhibitor | PI3K inhibitor","MTOR inhibitor, PI3K inhibitor"
3756,"1-(4-(4-(3-Oxa-8-azabicyclo(3.2.1)octan-8-yl)-6-morpholino-1,3,5-triazin-2-yl)phenyl)-3-(pyridin-4-yl)urea; PKI-179",Highest observed predictability,0.94641685,"MTOR inhibitor, PI3K inhibitor; mTOR inhibitor | PI3K inhibitor",mTOR inhibitor | PI3K inhibitor
2545,Strophanthidin; strophanthidin,Highest observed predictability,0.9470727,ATPase inhibitor,ATPase inhibitor
2171,"(4-Amino-2-(1-methanesulfonylpiperidin-4-ylamino)pyrimidin-5-yl)(2,3-difluoro-6-methoxyphenyl)methanone; R-547",Highest observed predictability,0.94320333,CDK inhibitor,CDK inhibitor
4657,SN-38,Highest observed predictability,0.9413311,Topoisomerase inhibitor,Topoisomerase inhibitor
1278,Ascomycin; sirolimus,Highest observed predictability,0.9443877,MTOR inhibitor; mTOR inhibitor,mTOR inhibitor
3488,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one; Cytarabine; cytarabine",Highest observed predictability,0.9028313,DNA Polymerase Inhibitors;Antimetabolites; Ribonucleotide reductase inhibitor; ribonucleotide reductase inhibitor,Antimetabolites
3488,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one; Cytarabine; cytarabine",Highest observed predictability,0.9028313,DNA Polymerase Inhibitors;Antimetabolites; Ribonucleotide reductase inhibitor; ribonucleotide reductase inhibitor,DNA Polymerase Inhibitors
3488,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one; Cytarabine; cytarabine",Highest observed predictability,0.9028313,DNA Polymerase Inhibitors;Antimetabolites; Ribonucleotide reductase inhibitor; ribonucleotide reductase inhibitor,Ribonucleotide reductase inhibitor
3488,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one; Cytarabine; cytarabine",Highest observed predictability,0.9028313,DNA Polymerase Inhibitors;Antimetabolites; Ribonucleotide reductase inhibitor; ribonucleotide reductase inhibitor,ribonucleotide reductase inhibitor
427,Bortezomib,Highest observed predictability,0.94386816,NFkB pathway inhibitor | proteasome inhibitor; inhibitor/antagonist,NFkB pathway inhibitor | proteasome inhibitor
4915,lestaurtinib,Highest observed predictability,0.9366466,"Growth factor receptor inhibitor, JAK inhibitor, FLT3 inhibitor","Growth factor receptor inhibitor, JAK inhibitor, FLT3 inhibitor"
760,Clobetasol Propionate; clobetasol,Highest observed predictability,0.93696475,Glucocorticoid receptor agonist; glucocorticoid receptor agonist,Glucocorticoid receptor agonist
1643,"1-(4-(1-(1,4-Dioxaspiro(4.5)decan-8-yl)-4-(8-oxa-3-azabicyclo(3.2.1)octan-3-yl)pyrazolo(3,4-d)pyrimidin-6-yl)phenyl)-3-methylurea; WYE-125132",Highest observed predictability,0.93622917,MTOR inhibitor; mTOR inhibitor,mTOR inhibitor
3459,"9-(6-Aminopyridin-3-yl)-1-(3-(trifluoromethyl)phenyl)benzo(h)(1,6)naphthyridin-2(1H)-one; torin-2",Highest observed predictability,0.93574995,MTOR inhibitor; mTOR inhibitor,mTOR inhibitor
5,Pralatrexate; pralatrexate,Highest observed predictability,0.9354466,Dihydrofolate reductase inhibitor; dihydrofolate reductase inhibitor,Dihydrofolate reductase inhibitor
5,Pralatrexate; pralatrexate,Highest observed predictability,0.9354466,Dihydrofolate reductase inhibitor; dihydrofolate reductase inhibitor,dihydrofolate reductase inhibitor
998,CYT-997; Lexibulin,Highest observed predictability,0.9344735,Tubulin inhibitor; tubulin polymerization inhibitor,Tubulin inhibitor
998,CYT-997; Lexibulin,Highest observed predictability,0.9344735,Tubulin inhibitor; tubulin polymerization inhibitor,Tubulin polymerization inhibitor
736,Thapsigargin; thapsigargin,Highest observed predictability,0.9335373,ATPase inhibitor,ATPase inhibitor
4757,alvespimycin,Highest observed predictability,0.9787444,HSP inhibitor,HSP inhibitor
747,"1-(4-(4-propionylpiperazin-1-yl)-3-(trifluoromethyl)phenyl)-9-(quinolin-3-yl)benzo(h)(1,6)naphthyridin-2(1H)-one; torin-1",Highest observed predictability,0.93151283,"MTOR inhibitor, PI3K inhibitor; mTOR inhibitor","MTOR inhibitor, PI3K inhibitor"
747,"1-(4-(4-propionylpiperazin-1-yl)-3-(trifluoromethyl)phenyl)-9-(quinolin-3-yl)benzo(h)(1,6)naphthyridin-2(1H)-one; torin-1",Highest observed predictability,0.93151283,"MTOR inhibitor, PI3K inhibitor; mTOR inhibitor",mTOR inhibitor
1443,BRD-K89997465; Chlorpromazine,Highest observed predictability,0.9319946,dopamine receptor antagonist,dopamine receptor antagonist
631,(S)-Crizotinib; Crizotinib; crizotinib,Highest observed predictability,0.9537751,ALK tyrosine kinase receptor inhibitor; MTH1 inhibitor; inhibitor/antagonist,ALK tyrosine kinase receptor inhibitor
631,(S)-Crizotinib; Crizotinib; crizotinib,Highest observed predictability,0.9537751,ALK tyrosine kinase receptor inhibitor; MTH1 inhibitor; inhibitor/antagonist,MTH1 inhibitor
743,"(3S,6S,9S,12R)-3-[(2S)-butan-2-yl]-6-[(1-methoxyindol-3-yl)methyl]-9-(6-oxooctyl)-1,4,7,10-tetrazabicyclo[10.4.0]hexadecane-2,5,8,11-tetrone; Apicidin",Highest observed predictability,0.935299,HDAC inhibitor,HDAC inhibitor
5086,genistein,Highest observed predictability,0.941713,Tyrosine kinase inhibitor,Tyrosine kinase inhibitor
527,Triptolide (PG490); triptolide,Highest observed predictability,0.9325779,RNA polymerase inhibitor,RNA polymerase inhibitor
250,Pharmakon1600-01500231; dexamethasone-acetate,Highest observed predictability,0.923443,"Glucocorticoid receptor agonist, Cytochrome P450 inhibitor, Corticosteroid agonist; glucocorticoid receptor agonist","Glucocorticoid receptor agonist, Cytochrome P450 inhibitor, Corticosteroid agonist"
250,Pharmakon1600-01500231; dexamethasone-acetate,Highest observed predictability,0.923443,"Glucocorticoid receptor agonist, Cytochrome P450 inhibitor, Corticosteroid agonist; glucocorticoid receptor agonist",Glucocorticoid receptor agonist
457,Delanzomib; delanzomib,Highest observed predictability,0.92331344,proteasome inhibitor,proteasome inhibitor
2916,LY-2603618; Rabusertib,Highest observed predictability,0.9223703,CHK inhibitor,CHK inhibitor
1471,Abexinostat; PCI-24781,Highest observed predictability,0.9791202,HDAC inhibitor,HDAC inhibitor
5349,"bruceantin; methyl (1R,2S,3R,6R,8S,13S,14R,15R,16S,17S)-3-[(E)-3,4-dimethylpent-2-enoyl]oxy-15,16-dihydroxy-9,13-dimethyl-4,10,11-trioxo-5,18-dioxapentacyclo[12.5.0.01,6.02,17.08,13]nonadecane-17-carboxylate",Highest observed predictability,0.9364466,protein synthesis inhibitor,protein synthesis inhibitor
3502,Cladribine; cladribine,Highest observed predictability,0.9205965,"Adenosine deaminase inhibitor, Ribonucleoside reductase inhibitor; adenosine deaminase inhibitor | ribonucleotide reductase inhibitor","Adenosine deaminase inhibitor, Ribonucleoside reductase inhibitor"
3502,Cladribine; cladribine,Highest observed predictability,0.9205965,"Adenosine deaminase inhibitor, Ribonucleoside reductase inhibitor; adenosine deaminase inhibitor | ribonucleotide reductase inhibitor",adenosine deaminase inhibitor | ribonucleotide reductase inhibitor
575,TW-37,Highest observed predictability,0.92035604,BCL inhibitor,BCL inhibitor
1703,Genz-644282; genz-644282,Highest observed predictability,0.91984713,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
4246,"N-([1,1'-Biphenyl]-4-ylmethyl)-6-phenyl-3-(pyridin-2-yl)-1,2,4-triazin-5-amine; VU-0418946-1",Highest observed predictability,0.9191047,HIF modulator; hypoxia inducible factor activator,HIF modulator
4246,"N-([1,1'-Biphenyl]-4-ylmethyl)-6-phenyl-3-(pyridin-2-yl)-1,2,4-triazin-5-amine; VU-0418946-1",Highest observed predictability,0.9191047,HIF modulator; hypoxia inducible factor activator,hypoxia inducible factor activator
4764,YM-155,Highest observed predictability,0.92397904,Survivin inhibitor,Survivin inhibitor
2090,KU-0063794; Ku-0063794,Highest observed predictability,0.9185589,MTOR inhibitor; mTOR inhibitor,mTOR inhibitor
2385,5-(6-((4-Methyl-1-piperazinyl)methyl)-1H-benzimidazol-1-yl)-3-((1R)-1-(2-(trifluoromethyl)phenyl)ethoxy)-2-thiophenecarboxamide; GSK-461364,Highest observed predictability,0.91812235,PLK inhibitor,PLK inhibitor
2026,"(8aR,9R)-5-[[(2R,4aR,6R,7R,8R)-7,8-dihydroxy-2-thiophen-2-yl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl]oxy]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-isobenzofuro[6,5-f][1,3]benzodioxol-8-one; teniposide",Highest observed predictability,0.9181108,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
930,"(R)-2,4,6-Trimethyl-deca-2,4-dienoic acid {(1S,5S,6R)-5-hydroxy-5-[(1E,3E,5E)-6-(2-hydroxy-5-oxo-cyclopent-1-enylcarbamoyl)-hexa-1,3,5-trienyl]-2-oxo-7-oxa-bicyclo[4.1.0]hept-3-en-3-yl}-amide; manumycin-a",Highest observed predictability,0.9171814,"Farnesyltransferase inhibitor, NFKB pathway inhibitor","Farnesyltransferase inhibitor, NFKB pathway inhibitor"
1905,Cabazitaxel (Jevtana); cabazitaxel,Highest observed predictability,0.9158393,microtubule inhibitor,microtubule inhibitor
812,Valrubicin; valrubicin,Highest observed predictability,0.9157727,"DNA inhibitor | topoisomerase inhibitor; Topoisomerase inhibitor, DNA inhibitor",DNA inhibitor | topoisomerase inhibitor
812,Valrubicin; valrubicin,Highest observed predictability,0.9157727,"DNA inhibitor | topoisomerase inhibitor; Topoisomerase inhibitor, DNA inhibitor","Topoisomerase inhibitor, DNA inhibitor"
1106,"2-[4-[(4-Ethyl-1-piperazinyl)methyl]-3-(trifluoromethyl)anilino]-5,11-dimethyl-6-pyrimido[4,5-b][1,4]benzodiazepinone; JWE-035",Highest observed predictability,0.915565,Aurora kinase inhibitor,Aurora kinase inhibitor
260,"4,15-Diacetoxyscirpen-3-ol; anguidine",Highest observed predictability,0.91499454,Protein synthesis inhibitor; apoptosis stimulant | protein synthesis inhibitor,Protein synthesis inhibitor
260,"4,15-Diacetoxyscirpen-3-ol; anguidine",Highest observed predictability,0.91499454,Protein synthesis inhibitor; apoptosis stimulant | protein synthesis inhibitor,apoptosis stimulant | protein synthesis inhibitor
1294,Dolastatin 10; dolastatin-10,Highest observed predictability,0.91265225,tubulin polymerization inhibitor,Tubulin polymerization inhibitor
737,Ingenol Mebutate; ingenol-mebutate,Highest observed predictability,0.91240287,PKC activator,PKC activator
2547,"(8R,9R,13S,14S,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol; estradiol",Highest observed predictability,0.9070566,Estrogen receptor agonist; estrogen receptor agonist,Estrogen receptor agonist
2547,"(8R,9R,13S,14S,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol; estradiol",Highest observed predictability,0.9070566,Estrogen receptor agonist; estrogen receptor agonist,estrogen receptor agonist
5354,"N-[(2S)-3-methoxy-1-[[(2S)-3-methoxy-1-[[(2S)-1-(2-methyloxiran-2-yl)-1-oxo-3-phenylpropan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]-2-methyl-1,3-thiazole-5-carboxamide; oprozomib",Highest observed predictability,0.9116222,proteasome inhibitor,proteasome inhibitor
2491,"(6S,8S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one; methylprednisolone",Highest observed predictability,0.91151184,Glucocorticoid receptor agonist; glucocorticoid receptor agonist,Glucocorticoid receptor agonist
2093,BGT-226; BGT-226 free base,Highest observed predictability,0.9104511,PI3K inhibitor,PI3K inhibitor
147,"[(3R,4aR,5S,6S,10S,10aR,10bS)-3-ethenyl-6,10,10b-trihydroxy-3,4a,7,7,10a-pentamethyl-1-oxo-5,6,6a,8,9,10-hexahydro-2H-benzo[f]chromen-5-yl] acetate; colforsin",Highest observed predictability,0.9086275,Adenylyl cyclase activator; adenylyl cyclase activator,Adenylyl cyclase activator
147,"[(3R,4aR,5S,6S,10S,10aR,10bS)-3-ethenyl-6,10,10b-trihydroxy-3,4a,7,7,10a-pentamethyl-1-oxo-5,6,6a,8,9,10-hexahydro-2H-benzo[f]chromen-5-yl] acetate; colforsin",Highest observed predictability,0.9086275,Adenylyl cyclase activator; adenylyl cyclase activator,adenylyl cyclase activator
253,"[2-[(4R,8S,9S,11S,12R,13S,19S)-12,19-Difluoro-11-hydroxy-6,6,9,13-tetramethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-8-yl]-2-oxoethyl] acetate; fluocinolone-acetonide",Highest observed predictability,0.9088218,"Glucocorticoid receptor agonist, Corticosteroid agonist; glucocorticoid receptor agonist","Glucocorticoid receptor agonist, Corticosteroid agonist"
253,"[2-[(4R,8S,9S,11S,12R,13S,19S)-12,19-Difluoro-11-hydroxy-6,6,9,13-tetramethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-8-yl]-2-oxoethyl] acetate; fluocinolone-acetonide",Highest observed predictability,0.9088218,"Glucocorticoid receptor agonist, Corticosteroid agonist; glucocorticoid receptor agonist",Glucocorticoid receptor agonist
1585,Prochlorperazine; prochlorperazine,Highest observed predictability,0.91062564,Dopamine receptor antagonist; dopamine receptor antagonist,Dopamine receptor antagonist
1585,Prochlorperazine; prochlorperazine,Highest observed predictability,0.91062564,Dopamine receptor antagonist; dopamine receptor antagonist,dopamine receptor antagonist
5274,"4-(6,6-dimethyl-4-oxo-3-(trifluoromethyl)-4,5,6,7-tetrahydro-1H-indazol-1-yl)-2-((1r,4r)-4-hydroxycyclohexylamino)benzamide; SNX-2112",Highest observed predictability,0.9083014,HSP inhibitor,HSP inhibitor
2483,Brefeldin A; brefeldin-a,Highest observed predictability,0.9082413,protein synthesis inhibitor,protein synthesis inhibitor
5371,BRD-K61195623; Combretastatin A4,Highest observed predictability,0.90737754,tubulin polymerization inhibitor,Tubulin polymerization inhibitor
1322,Vinblastine; vinblastine,Highest observed predictability,0.9055919,"Microtubule inhibitor, Tubulin inhibitor; microtubule inhibitor | tubulin polymerization inhibitor","Microtubule inhibitor, Tubulin inhibitor"
1322,Vinblastine; vinblastine,Highest observed predictability,0.9055919,"Microtubule inhibitor, Tubulin inhibitor; microtubule inhibitor | tubulin polymerization inhibitor",microtubule inhibitor | tubulin polymerization inhibitor
762,Fluticasone Propionate; fluticasone-propionate,Highest observed predictability,0.90529895,Glucocorticoid receptor agonist; glucocorticoid receptor agonist,Glucocorticoid receptor agonist
2430,"5-[(3S,10R,13R,14S,17R)-14-hydroxy-10,13-dimethyl-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-1,2,3,6,7,8,9,11,12,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]pyran-2-one; proscillaridin",Highest observed predictability,0.9521718,ATPase inhibitor,ATPase inhibitor
70,thiostrepton,Highest observed predictability,0.9049246,"FOXM1 inhibitor | foxm1 inhibitor, protein synthesis inhibitor | protein synthesis inhibitor; FOXM1 inhibitor, Protein synthesis inhibitor","FOXM1 inhibitor | foxm1 inhibitor, protein synthesis inhibitor | protein synthesis inhibitor"
70,thiostrepton,Highest observed predictability,0.9049246,"FOXM1 inhibitor | foxm1 inhibitor, protein synthesis inhibitor | protein synthesis inhibitor; FOXM1 inhibitor, Protein synthesis inhibitor","FOXM1 inhibitor, Protein synthesis inhibitor"
27,Levonorgestrel; levonorgestrel,Highest observed predictability,0.9057701,"Glucocorticoid receptor antagonist, Progesterone receptor antagonist, Progesterone receptor agonist, Estrogen receptor agonist; estrogen receptor agonist | glucocorticoid receptor antagonist | progesterone receptor agonist | progesterone receptor antagonist","Glucocorticoid receptor antagonist, Progesterone receptor antagonist, Progesterone receptor agonist, Estrogen receptor agonist"
27,Levonorgestrel; levonorgestrel,Highest observed predictability,0.9057701,"Glucocorticoid receptor antagonist, Progesterone receptor antagonist, Progesterone receptor agonist, Estrogen receptor agonist; estrogen receptor agonist | glucocorticoid receptor antagonist | progesterone receptor agonist | progesterone receptor antagonist",estrogen receptor agonist | glucocorticoid receptor antagonist | progesterone receptor agonist | progesterone receptor antagonist
4611,cycloheximide,Highest observed predictability,0.90699303,Protein synthesis inhibitor,Protein synthesis inhibitor
942,Parbendazole; parbendazole,Highest observed predictability,0.9026363,Tubulin inhibitor; tubulin polymerization inhibitor,Tubulin inhibitor
942,Parbendazole; parbendazole,Highest observed predictability,0.9026363,Tubulin inhibitor; tubulin polymerization inhibitor,Tubulin polymerization inhibitor
3610,Scriptaid; scriptaid,Highest observed predictability,0.9024168,HDAC inhibitor,HDAC inhibitor
1678,"N,1,4,4-Tetramethyl-8-((4-(4-methylpiperazin-1-yl)phenyl)amino)-4,5-dihydro-1H-pyrazolo(4,3-h)quinazoline-3-carboxamide; PHA-848125",Highest observed predictability,0.90213525,"CDK inhibitor | growth factor receptor inhibitor; Growth factor receptor inhibitor, CDK inhibitor",CDK inhibitor | growth factor receptor inhibitor
1678,"N,1,4,4-Tetramethyl-8-((4-(4-methylpiperazin-1-yl)phenyl)amino)-4,5-dihydro-1H-pyrazolo(4,3-h)quinazoline-3-carboxamide; PHA-848125",Highest observed predictability,0.90213525,"CDK inhibitor | growth factor receptor inhibitor; Growth factor receptor inhibitor, CDK inhibitor","Growth factor receptor inhibitor, CDK inhibitor"
1914,"(1R,9S,12S,15R,16Z,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-12-[(2R)-1-[(1S,3R,4R)-4-dimethylphosphoryloxy-3-methoxycyclohexyl]propan-2-yl]-1,18-dihydroxy-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone; deforolimus",Highest observed predictability,0.90203506,MTOR inhibitor; mTOR inhibitor,mTOR inhibitor
2277,"(7R,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; doxorubicin",Highest observed predictability,0.9721764,Topoisomerase inhibitor; dna polymerase inhibitor | topoisomerase inhibitor,Topoisomerase inhibitor
2277,"(7R,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; doxorubicin",Highest observed predictability,0.9721764,Topoisomerase inhibitor; dna polymerase inhibitor | topoisomerase inhibitor,dna polymerase inhibitor | topoisomerase inhibitor
722,"6,9-difluoro-11-hydroxy-17-(3-hydroxy-2-oxopropyl)-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthrene-17-carbothioic acid S-(fluoromethyl) ester; fluticasone",Highest observed predictability,0.9019079,Glucocorticoid receptor agonist,Glucocorticoid receptor agonist
3096,JNJ-26481585; Quisinostat,Highest observed predictability,0.91556025,HDAC inhibitor,HDAC inhibitor
1828,"2-[5-[(3,5-dimethyl-1H-pyrrol-2-yl)methylidene]-4-methoxy-2-pyrrolylidene]indole; obatoclax",Highest observed predictability,0.9557634,BCL inhibitor,BCL inhibitor
2703,Tozasertib; tozasertib,Highest observed predictability,0.91471213,"Abl kinase inhibitor, Aurora kinase inhibitor, JAK inhibitor, FLT3 inhibitor; Aurora kinase inhibitor | Bcr-Abl kinase inhibitor | FLT3 inhibitor | JAK inhibitor","Abl kinase inhibitor, Aurora kinase inhibitor, JAK inhibitor, FLT3 inhibitor"
2703,Tozasertib; tozasertib,Highest observed predictability,0.91471213,"Abl kinase inhibitor, Aurora kinase inhibitor, JAK inhibitor, FLT3 inhibitor; Aurora kinase inhibitor | Bcr-Abl kinase inhibitor | FLT3 inhibitor | JAK inhibitor",Aurora kinase inhibitor | Bcr-Abl kinase inhibitor | FLT3 inhibitor | JAK inhibitor
739,Romidepsin; romidepsin,Highest observed predictability,0.9024819,HDAC inhibitor,HDAC inhibitor
1473,Resminostat; resminostat,Highest observed predictability,0.9198928,HDAC inhibitor,HDAC inhibitor
2495,Digoxin; digoxin,Highest observed predictability,0.913874,ATPase inhibitor,ATPase inhibitor
1892,Danusertib; danusertib,Highest observed predictability,0.9348334,"Aurora kinase inhibitor | growth factor receptor inhibitor; Growth factor receptor inhibitor, Aurora kinase inhibitor",Aurora kinase inhibitor | growth factor receptor inhibitor
1892,Danusertib; danusertib,Highest observed predictability,0.9348334,"Aurora kinase inhibitor | growth factor receptor inhibitor; Growth factor receptor inhibitor, Aurora kinase inhibitor","Growth factor receptor inhibitor, Aurora kinase inhibitor"
946,Pracinostat; SB-939,Highest observed predictability,0.9183546,HDAC inhibitor,HDAC inhibitor
3670,"CAY-10594; N-(2-(4-Oxo-1-phenyl-1,3,8-triazaspiro(4.5)decan-8-yl)ethyl)naphthalene-2-carboxamide",Lowest observed predictability,0.7614827,Phospholipase inhibitor,Phospholipase inhibitor
738,"(10S,13R,17Z)-17-ethylidene-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15-decahydrocyclopenta[a]phenanthrene-3,16-dione; guggulsterone",Lowest observed predictability,0.7605798,"FXR antagonist, Estrogen receptor agonist, Cholesterol inhibitor, Pregnane X receptor agonist, Progesterone receptor agonist, IKK inhibitor; estrogen receptor agonist, fxr antagonist, progesterone receptor agonist","FXR antagonist, Estrogen receptor agonist, Cholesterol inhibitor, Pregnane X receptor agonist, Progesterone receptor agonist, IKK inhibitor"
738,"(10S,13R,17Z)-17-ethylidene-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15-decahydrocyclopenta[a]phenanthrene-3,16-dione; guggulsterone",Lowest observed predictability,0.7605798,"FXR antagonist, Estrogen receptor agonist, Cholesterol inhibitor, Pregnane X receptor agonist, Progesterone receptor agonist, IKK inhibitor; estrogen receptor agonist, fxr antagonist, progesterone receptor agonist","estrogen receptor agonist, fxr antagonist, progesterone receptor agonist"
2075,Dacomitinib; dacomitinib,Lowest observed predictability,0.7595481,EGFR inhibitor,EGFR inhibitor
2858,Apilimod; STA-5326,Lowest observed predictability,0.7587234,Interleukin synthesis inhibitor; interleukin synthesis inhibitor,Interleukin synthesis inhibitor
2858,Apilimod; STA-5326,Lowest observed predictability,0.7587234,Interleukin synthesis inhibitor; interleukin synthesis inhibitor,interleukin synthesis inhibitor
636,4-[(E)-4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol; Diethylstilbestrol,Lowest observed predictability,0.75746757,Chloride Channel Blockers;Estrogen Receptor (ER) Agonists; estrogen receptor agonist,Chloride Channel Blockers
636,4-[(E)-4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol; Diethylstilbestrol,Lowest observed predictability,0.75746757,Chloride Channel Blockers;Estrogen Receptor (ER) Agonists; estrogen receptor agonist,Estrogen Receptor (ER) Agonists
636,4-[(E)-4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol; Diethylstilbestrol,Lowest observed predictability,0.75746757,Chloride Channel Blockers;Estrogen Receptor (ER) Agonists; estrogen receptor agonist,estrogen receptor agonist
1065,Enclomiphene; clomifene,Lowest observed predictability,0.75024664,Estrogen receptor antagonist; estrogen receptor antagonist,Estrogen receptor antagonist
1065,Enclomiphene; clomifene,Lowest observed predictability,0.75024664,Estrogen receptor antagonist; estrogen receptor antagonist,estrogen receptor antagonist
2216,D-64131,Lowest observed predictability,0.75060874,Microtubule inhibitor; microtubule inhibitor,Microtubule inhibitor
2216,D-64131,Lowest observed predictability,0.75060874,Microtubule inhibitor; microtubule inhibitor,microtubule inhibitor
4457,Y-27632,Lowest observed predictability,0.7474828,Rho associated kinase inhibitor,Rho associated kinase inhibitor
