compound_embedding_row_index,compound_name,observed_predictability_group,actual_predictability,moa,moa_annotation
5171,Esmolol (hydrochloride); Esmolol Hydrochloride,Lowest observed predictability,0.7209868,adrenergic receptor antagonist; inhibitor/antagonist,adrenergic receptor antagonist
3734,Asciminib,Lowest observed predictability,0.7108838,Bcr-Abl kinase inhibitor; inhibitor/antagonist,Bcr-Abl kinase inhibitor
1117,"1-[2-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]ethyl]-3-ethylurea; Adenosine, 5'-S-[2-[[(ethylamino)carbonyl]amino]ethyl]-5'-thio-",Lowest observed predictability,0.7506948,Dual PRMT5 and PRMT7 inhibitor,Dual PRMT5 and PRMT7 inhibitor
5205,Riluzole hydrochloride,Lowest observed predictability,0.69669443,glutamate inhibitor; inhibitor/antagonist,glutamate inhibitor
5200,Pexidartinib (hydrochloride); Pexidartinib Hydrochloride,Lowest observed predictability,0.69635063,inhibitor/antagonist; tyrosine kinase inhibitor,tyrosine kinase inhibitor
5169,Phenylephrine (hydrochloride); Phenylephrine Hydrochloride,Lowest observed predictability,0.69308037,activator/agonist; adrenergic receptor agonist,Adrenergic receptor agonist
5219,"5,5-Diphenyl Hydantoin Sodium; Phenytoin (sodium)",Lowest observed predictability,0.73375314,hydantoin antiepileptic; inhibitor/antagonist,hydantoin antiepileptic
1417,Ribociclib,Lowest observed predictability,0.73999316,CDK inhibitor; inhibitor/antagonist,CDK inhibitor
1774,Encorafenib; methyl N-[(2S)-1-[[4-[3-[5-chloro-2-fluoro-3-(methanesulfonamido)phenyl]-1-propan-2-ylpyrazol-4-yl]pyrimidin-2-yl]amino]propan-2-yl]carbamate,Lowest observed predictability,0.6825441,Mutant Raf kinase B Inhibitors; RAF inhibitor | serine/threonine kinase inhibitor,Mutant Raf kinase B Inhibitors
1774,Encorafenib; methyl N-[(2S)-1-[[4-[3-[5-chloro-2-fluoro-3-(methanesulfonamido)phenyl]-1-propan-2-ylpyrazol-4-yl]pyrimidin-2-yl]amino]propan-2-yl]carbamate,Lowest observed predictability,0.6825441,Mutant Raf kinase B Inhibitors; RAF inhibitor | serine/threonine kinase inhibitor,RAF inhibitor | serine/threonine kinase inhibitor
5485,Idoxuridine,Lowest observed predictability,0.69503653,DNA directed DNA polymerase inhibitor | DNA synthesis inhibitor; unclear,DNA directed DNA polymerase inhibitor | DNA synthesis inhibitor
3450,Tucidinostat,Highest observed predictability,0.9288761,HDAC inhibitor; inhibitor/antagonist,HDAC inhibitor
2733,Sulfatinib; Surufatinib,Lowest observed predictability,0.6653186,inhibitor/antagonist; tyrosine kinase inhibitor,tyrosine kinase inhibitor
5189,Flumatinib (mesylate); Flumatinib Mesylate,Lowest observed predictability,0.6589662,Bcr-Abl kinase inhibitor; inhibitor/antagonist,Bcr-Abl kinase inhibitor
1597,Entrectinib,Lowest observed predictability,0.6545364,ALK tyrosine kinase receptor inhibitor | proto-oncogene tyrosine protein kinase inhibitor; inhibitor/antagonist,ALK tyrosine kinase receptor inhibitor | proto-oncogene tyrosine protein kinase inhibitor
5141,Imiquimod (hydrochloride); Imiquimod hydrochloride,Lowest observed predictability,0.73966587,activator/agonist; interferon inducer | toll-like receptor agonist,interferon inducer | toll-like receptor agonist
3904,Cobimetinib,Highest observed predictability,0.9322075,MEK inhibitor; inhibitor/antagonist,MEK inhibitor
1996,N-[4-(9-acridinylmethyl)-3-methoxyphenyl]methanesulfonamide; amsacrine,Highest observed predictability,0.9100606,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
412,Acyclic retinoid; Peretinoin,Lowest observed predictability,0.641953,retinoid receptor agonist; unclear,Retinoid receptor agonist
5466,"Oxaliplatin; cis-oxalato-trans-l-1,2-diaminocyclohexaneplatinum(II)",Lowest observed predictability,0.7163492,DNA inhibitor; inhibitor/antagonist,DNA inhibitor
5201,Noradrenaline hydrochloride; Norepinephrine (hydrochloride),Lowest observed predictability,0.6393844,activator/agonist; adrenergic receptor agonist,Adrenergic receptor agonist
2091,AZD-8055; Azd8055,Highest observed predictability,0.9556898,inhibitor/antagonist; mTOR inhibitor,mTOR inhibitor
