compound_embedding_row_index,compound_name,normalized_compound_name,actual_predictability,predicted_predictability,n_profiles,moa,clean_moa
5158,Procainamide (hydrochloride); Procainamide Hydrochloride,procainamide hydrochloride procainamide hydrochloride,0.87989867,0.79075444,131,inhibitor/antagonist; sodium channel blocker,Sodium channel blocker
5212,Lenalidomide (hemihydrate); Lenalidomide hemihydrate,lenalidomide hemihydrate lenalidomide hemihydrate,0.8786467,0.8445713,143,anticancer agent; inhibitor/antagonist,Anticancer agent
5328,Demeclocycline,demeclocycline,0.90251946,0.8476006,150,bacterial 30S ribosomal subunit inhibitor; inhibitor/antagonist,Bacterial 30S ribosomal subunit inhibitor
483,Ipatasertib,ipatasertib,0.8772243,0.88112056,149,AKT inhibitor; inhibitor/antagonist,AKT inhibitor
5259,Thymopentin,thymopentin,0.8763238,0.8254592,135,immune response stimulator; unclear,Immune response stimulator
5132,Almonertinib (hydrochloride); HS-10296 hydrochloride,almonertinib hydrochloride hs 10296 hydrochloride,0.8748596,0.83857286,145,egfr inhibitor; inhibitor/antagonist,EGFR inhibitor
791,Erythromycin,erythromycin,0.91146654,0.8667738,151,NFkB pathway inhibitor; inhibitor/antagonist,NFkB pathway inhibitor
791,Erythromycin,erythromycin,0.91146654,0.8667738,151,NFKB pathway inhibitor,NFKB pathway inhibitor
5280,Artenimol; Dihydroartemisinin,artenimol dihydroartemisinin,0.87492764,0.838896,143,antimalarial agent; unclear,Antimalarial agent
5217,Pitavastatin (Calcium); Pitavastatin Calcium,pitavastatin calcium pitavastatin calcium,0.8718446,0.87050027,142,HMGCR inhibitor; inhibitor/antagonist,HMGCR inhibitor
2355,Pentagastrin,pentagastrin,0.8693181,0.82211524,144,CCK receptor agonist; inhibitor/antagonist,CCK receptor agonist
2709,Tucatinib,tucatinib,0.86758846,0.8006064,142,EGFR inhibitor; inhibitor/antagonist,EGFR inhibitor
4050,Hydroxyfasudil; hydroxyfasudil,hydroxyfasudil hydroxyfasudil,0.8838426,0.81584454,145,Rho associated kinase inhibitor; rho associated kinase inhibitor,Rho associated kinase inhibitor
430,Ixazomib citrate,ixazomib citrate,0.86466056,0.85947096,143,inhibitor/antagonist; proteasome inhibitor,Proteasome inhibitor
1061,Lucanthone,lucanthone,0.8625444,0.8200696,140,endonuclease inhibitor; inhibitor/antagonist,Endonuclease inhibitor
754,Clobetasol Propionate; Clobetasol propionate,clobetasol propionate clobetasol propionate,0.8622893,0.8598217,144,glucocorticoid receptor agonist; inhibitor/antagonist,Glucocorticoid receptor agonist
1545,Tadalafil,tadalafil,0.8723772,0.8421849,137,inhibitor/antagonist; phosphodiesterase inhibitor,Phosphodiesterase inhibitor
5195,"(1S)-1,5-Anhydro-1-(3-((5-(4-fluorophenyl)-2-thienyl)methyl)-4-methylphenyl)-D-glucitol hemihydrate; Canagliflozin (hemihydrate)",1s 1 5 anhydro 1 3 5 4 fluorophenyl 2 thienyl methyl 4 methylphenyl d glucitol hemihydrate canagliflozin hemihydrate,0.86048895,0.82471025,142,inhibitor/antagonist; sodium/glucose cotransporter inhibitor,Sodium/glucose cotransporter inhibitor
2240,"Naproxen, (-)-; naproxen",naproxen naproxen,0.90375465,0.8054215,151,Cyclooxygenase inhibitor; cyclooxygenase inhibitor,Cyclooxygenase inhibitor
5142,Imiquimod (maleate); Imiquimod maleate,imiquimod maleate imiquimod maleate,0.85977626,0.8184687,136,activator/agonist; interferon inducer | toll-like receptor agonist,Interferon inducer
5142,Imiquimod (maleate); Imiquimod maleate,imiquimod maleate imiquimod maleate,0.85977626,0.8184687,136,activator/agonist; interferon inducer | toll-like receptor agonist,Toll-like receptor agonist
428,Bestatin; Ubenimex,bestatin ubenimex,0.8926362,0.7538629,142,inhibitor/antagonist; leukotriene synthesis inhibitor,Leukotriene synthesis inhibitor
1666,Capmatinib,capmatinib,0.8583416,0.76662666,141,c-Met inhibitor; inhibitor/antagonist,C-Met inhibitor
2349,Belzutifan,belzutifan,0.85610604,0.8269743,140,hif modulator; inhibitor/antagonist,Hif modulator
1784,Eplerenone; eplerenone,eplerenone eplerenone,0.88574797,0.85905063,138,Cytochrome P450 inhibitor; cytochrome P450 inhibitor,Cytochrome P450 inhibitor
5186,Bosentan (hydrate); Bosentan Monohydrate,bosentan hydrate bosentan monohydrate,0.8941879,0.81576806,147,endothelin receptor antagonist; inhibitor/antagonist,Endothelin receptor antagonist
5204,Cytarabine (hydrochloride); Cytarabine Hydrochloride,cytarabine hydrochloride cytarabine hydrochloride,0.8553372,0.8564699,135,inhibitor/antagonist; ribonucleotide reductase inhibitor,Ribonucleotide reductase inhibitor
155,Tirabrutinib,tirabrutinib,0.8552359,0.77566606,139,Bruton's tyrosine kinase (BTK) inhibitor; inhibitor/antagonist,Bruton's tyrosine kinase (BTK) inhibitor
2574,APTO-253; Apto-253,apto 253 apto 253,0.8543701,0.8441105,140,krüppel-like factor expression enhancer; unclear,Krüppel-like factor expression enhancer
1888,Relugolix,relugolix,0.85335916,0.82445383,138,gonadotropin releasing factor hormone receptor antagonist; inhibitor/antagonist,Gonadotropin releasing factor hormone receptor antagonist
5131,Almonertinib (mesylate); Almonertinib mesylate,almonertinib mesylate almonertinib mesylate,0.85303855,0.8351839,139,egfr inhibitor; inhibitor/antagonist,EGFR inhibitor
2711,"(R)-9-(4-(1-aminopropan-2-yl)phenyl)-8-hydroxy-6-methylthieno[2,3-c]quinolin-4(5H)-one; OTS514",r 9 4 1 aminopropan 2 yl phenyl 8 hydroxy 6 methylthieno 2 3 c quinolin 4 5h one ots514,0.8505331,0.8183939,143,TOPK inhibitor; inhibitor/antagonist,TOPK inhibitor
5130,Osimertinib (mesylate); Osimertinib Mesylate,osimertinib mesylate osimertinib mesylate,0.8496705,0.8363001,140,EGFR inhibitor; inhibitor/antagonist,EGFR inhibitor
241,Medroxyprogesterone Acetate; Medroxyprogesterone acetate,medroxyprogesterone acetate medroxyprogesterone acetate,0.84973824,0.8306762,146,progesterone receptor agonist; unclear,Progesterone receptor agonist
5160,Dorzolamide (hydrochloride); Dorzolamide Hydrochloride,dorzolamide hydrochloride dorzolamide hydrochloride,0.8433381,0.8163412,138,carbonic anhydrase inhibitor; inhibitor/antagonist,Carbonic anhydrase inhibitor
2504,"(2R)-2-methyl-6-nitro-2-[[4-[4-[4-(trifluoromethoxy)phenoxy]piperidin-1-yl]phenoxy]methyl]-3H-imidazo[2,1-b][1,3]oxazole; Delamanid",2r 2 methyl 6 nitro 2 4 4 4 trifluoromethoxy phenoxy piperidin 1 yl phenoxy methyl 3h imidazo 2 1 b 1 3 oxazole delamanid,0.8430782,0.8244734,142,bacterial cell wall synthesis inhibitor,Bacterial cell wall synthesis inhibitor
1590,AZD2858; Azd2858,azd2858 azd2858,0.84309596,0.8219843,140,glycogen synthase kinase inhibitor; inhibitor/antagonist,Glycogen synthase kinase inhibitor
1829,Sinomenine,sinomenine,0.84053946,0.84448564,143,angiogenesis inhibitor; unclear,Angiogenesis inhibitor
5199,Clonidine (hydrochloride); Clonidine Hydrochloride,clonidine hydrochloride clonidine hydrochloride,0.8392674,0.7931368,142,activator/agonist; adrenergic receptor agonist,Adrenergic receptor agonist
581,Ritonavir; ritonavir,ritonavir ritonavir,0.862085,0.8103862,146,HIV protease inhibitor,HIV protease inhibitor
5163,Indacaterol (maleate); Indacaterol maleate,indacaterol maleate indacaterol maleate,0.8647693,0.83622074,144,activator/agonist; adrenergic receptor agonist,Adrenergic receptor agonist
5144,Benproperine (phosphate); Benproperine Phosphate,benproperine phosphate benproperine phosphate,0.83605826,0.80784166,134,antitussive; inhibitor/antagonist,Antitussive
5183,Omeprazole (sodium),omeprazole sodium,0.86630696,0.8318329,288,ATPase inhibitor; inhibitor/antagonist,ATPase inhibitor
4066,BI-78D3,bi 78d3,0.8854663,0.8108862,151,JNK inhibitor,JNK inhibitor
585,AZD1390; Azd-1390,azd1390 azd 1390,0.83405215,0.8296882,141,ATM kinase inhibitor; inhibitor/antagonist,ATM kinase inhibitor
5128,Bisoprolol (hemifumarate),bisoprolol hemifumarate,0.83267796,0.80654395,139,adrenergic receptor antagonist; inhibitor/antagonist,Adrenergic receptor antagonist
321,Saquinavir,saquinavir,0.8618594,0.83607185,151,HIV protease inhibitor; inhibitor/antagonist,HIV protease inhibitor
5157,Lidocaine (hydrochloride); Lidocaine Hydrochloride,lidocaine hydrochloride lidocaine hydrochloride,0.8302609,0.78395736,144,histamine receptor agonist; unclear,Histamine receptor agonist
4096,Daidzin,daidzin,0.8297838,0.849844,139,antioxidant; inhibitor/antagonist,Antioxidant
3760,Larotrectinib,larotrectinib,0.8264183,0.8233882,144,alk tyrosine kinase receptor inhibitor | tropomyosin receptor kinase inhibitor; inhibitor/antagonist,Alk tyrosine kinase receptor inhibitor
