moa_annotation,low_count,high_count,low_percent,high_percent,total_extreme_count
glutamate inhibitor,1,0,0.8130081300813008,0.0,1
dihydrofolate reductase inhibitor,0,1,0.0,0.6993006993006993,1
norepinephrine reputake inhibitor,1,0,0.8130081300813008,0.0,1
opioid receptor antagonist,1,0,0.8130081300813008,0.0,1
p21 activated kinase inhibitor,0,1,0.0,0.6993006993006993,1
p38 MAPK inhibitor,1,0,0.8130081300813008,0.0,1
phosphodiesterase inhibitor,0,1,0.0,0.6993006993006993,1
polycomb protein inhibitor,1,0,0.8130081300813008,0.0,1
progesterone receptor antagonist,0,1,0.0,0.6993006993006993,1
protein tyrosine kinase inhibitor,1,0,0.8130081300813008,0.0,1
proto-oncogene tyrosine protein kinase inhibitor,1,0,0.8130081300813008,0.0,1
purine antagonist,1,0,0.8130081300813008,0.0,1
reversible BTK inhibitor,1,0,0.8130081300813008,0.0,1
selective estrogen receptor modulator (SERM),1,0,0.8130081300813008,0.0,1
selective serotonin reuptake inhibitor (SSRI),1,0,0.8130081300813008,0.0,1
serine/threonine kinase inhibitor,1,0,0.8130081300813008,0.0,1
serotonin–norepinephrine reuptake inhibitor (SNRI),1,0,0.8130081300813008,0.0,1
smoothened receptor agonist,1,0,0.8130081300813008,0.0,1
smoothened receptor antagonist,1,0,0.8130081300813008,0.0,1
sodium channel blocker,1,0,0.8130081300813008,0.0,1
sodium/glucose cotransporter inhibitor,1,0,0.8130081300813008,0.0,1
tachykinin antagonist,1,0,0.8130081300813008,0.0,1
tissue transglutaminase inhibitor,1,0,0.8130081300813008,0.0,1
toll-like receptor agonist,1,0,0.8130081300813008,0.0,1
tricyclic antidepressant,1,0,0.8130081300813008,0.0,1
tumor necrosis factor production inhibitor,1,0,0.8130081300813008,0.0,1
ubiquitin C-terminal hydrolase inhibitor,1,0,0.8130081300813008,0.0,1
voltage-gated potassium channel blocker,1,0,0.8130081300813008,0.0,1
norepinephrine reuptake inhibitor,1,0,0.8130081300813008,0.0,1
nitric oxide production inhibitor,1,0,0.8130081300813008,0.0,1
dna damage inducer,0,1,0.0,0.6993006993006993,1
mineralocorticoid receptor antagonist,1,0,0.8130081300813008,0.0,1
dopamine receptor agonist,1,0,0.8130081300813008,0.0,1
dopamine receptor modulator,1,0,0.8130081300813008,0.0,1
dual specificity protein kinase inhibitor,1,0,0.8130081300813008,0.0,1
erbB1) Inhibitors,0,1,0.0,0.6993006993006993,1
estrogen receptor antagonist,1,0,0.8130081300813008,0.0,1
fgfr inhibitor,0,1,0.0,0.6993006993006993,1
flavanone glycoside,0,1,0.0,0.6993006993006993,1
focal adhesion kinase inhibitor,1,0,0.8130081300813008,0.0,1
foxm1 inhibitor,0,1,0.0,0.6993006993006993,1
fxr antagonist,1,0,0.8130081300813008,0.0,1
