compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,model_prediction_group,observed_predictability_group,moa,moa_annotation
3793,5-[(3R)-dithiolan-3-yl]pentanoic acid; Lipoic acid,139,0.740573,0.77778375,Least predictable,Lowest observed predictability,Pyruvate Dehydrogenase Activators,Pyruvate Dehydrogenase Activators
1555,Glasdegib,137,0.7524925,0.80947256,Lower,Lowest observed predictability,hedgehog pathway inhibitor; inhibitor/antagonist,hedgehog pathway inhibitor
5177,Ivabradine (hydrochloride); Ivabradine Hydrochloride,138,0.73736846,0.83642817,Higher,Lowest observed predictability,HCN channel blocker | potassium channel blocker | sodium channel blocker; inhibitor/antagonist,HCN channel blocker
5177,Ivabradine (hydrochloride); Ivabradine Hydrochloride,138,0.73736846,0.83642817,Higher,Lowest observed predictability,HCN channel blocker | potassium channel blocker | sodium channel blocker; inhibitor/antagonist,potassium channel blocker
5177,Ivabradine (hydrochloride); Ivabradine Hydrochloride,138,0.73736846,0.83642817,Higher,Lowest observed predictability,HCN channel blocker | potassium channel blocker | sodium channel blocker; inhibitor/antagonist,sodium channel blocker
5127,Citalopram (hydrobromide); Citalopram Hydrobromide,142,0.7316587,0.82826805,Middle,Lowest observed predictability,inhibitor/antagonist; selective serotonin reuptake inhibitor (SSRI),selective serotonin reuptake inhibitor (SSRI)
5156,"2-Piperidinecarboxamide, 1-butyl-N-(2,6-dimethylphenyl)-, hydrochloride (1:1), (2S)-; Levobupivacaine (hydrochloride)",136,0.728756,0.79536736,Least predictable,Lowest observed predictability,inhibitor/antagonist; voltage-gated potassium channel blocker,voltage-gated potassium channel blocker
694,Drospirenone,147,0.75218123,0.8665415,Most predictable,Lowest observed predictability,mineralocorticoid receptor antagonist; unclear,mineralocorticoid receptor antagonist
625,Cinacalcet,145,0.73707235,0.81260777,Lower,Lowest observed predictability,activator/agonist; calcium channel activator,calcium channel activator
5171,Esmolol (hydrochloride); Esmolol Hydrochloride,139,0.7209868,0.7718973,Least predictable,Lowest observed predictability,adrenergic receptor antagonist; inhibitor/antagonist,Adrenergic receptor antagonist
3734,Asciminib,140,0.7108838,0.82473564,Middle,Lowest observed predictability,Bcr-Abl kinase inhibitor; inhibitor/antagonist,Bcr-Abl kinase inhibitor
1117,"1-[2-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]ethyl]-3-ethylurea; Adenosine, 5'-S-[2-[[(ethylamino)carbonyl]amino]ethyl]-5'-thio-",156,0.7506948,0.8133995,Lower,Lowest observed predictability,Dual PRMT5 and PRMT7 inhibitor,Dual PRMT5 and PRMT7 inhibitor
5205,Riluzole hydrochloride,144,0.69669443,0.7797619,Least predictable,Lowest observed predictability,glutamate inhibitor; inhibitor/antagonist,glutamate inhibitor
5200,Pexidartinib (hydrochloride); Pexidartinib Hydrochloride,136,0.69635063,0.8108374,Lower,Lowest observed predictability,inhibitor/antagonist; tyrosine kinase inhibitor,Tyrosine kinase inhibitor
5169,Phenylephrine (hydrochloride); Phenylephrine Hydrochloride,140,0.69308037,0.7746539,Least predictable,Lowest observed predictability,activator/agonist; adrenergic receptor agonist,Adrenergic receptor agonist
5219,"5,5-Diphenyl Hydantoin Sodium; Phenytoin (sodium)",140,0.73375314,0.8146483,Lower,Lowest observed predictability,hydantoin antiepileptic; inhibitor/antagonist,hydantoin antiepileptic
1417,Ribociclib,140,0.73999316,0.8313015,Higher,Lowest observed predictability,CDK inhibitor; inhibitor/antagonist,CDK inhibitor
1774,Encorafenib; methyl N-[(2S)-1-[[4-[3-[5-chloro-2-fluoro-3-(methanesulfonamido)phenyl]-1-propan-2-ylpyrazol-4-yl]pyrimidin-2-yl]amino]propan-2-yl]carbamate,136,0.6825441,0.8283641,Middle,Lowest observed predictability,Mutant Raf kinase B Inhibitors; RAF inhibitor | serine/threonine kinase inhibitor,Mutant Raf kinase B Inhibitors
1774,Encorafenib; methyl N-[(2S)-1-[[4-[3-[5-chloro-2-fluoro-3-(methanesulfonamido)phenyl]-1-propan-2-ylpyrazol-4-yl]pyrimidin-2-yl]amino]propan-2-yl]carbamate,136,0.6825441,0.8283641,Middle,Lowest observed predictability,Mutant Raf kinase B Inhibitors; RAF inhibitor | serine/threonine kinase inhibitor,RAF inhibitor
1774,Encorafenib; methyl N-[(2S)-1-[[4-[3-[5-chloro-2-fluoro-3-(methanesulfonamido)phenyl]-1-propan-2-ylpyrazol-4-yl]pyrimidin-2-yl]amino]propan-2-yl]carbamate,136,0.6825441,0.8283641,Middle,Lowest observed predictability,Mutant Raf kinase B Inhibitors; RAF inhibitor | serine/threonine kinase inhibitor,serine/threonine kinase inhibitor
5485,Idoxuridine,146,0.69503653,0.8596261,Most predictable,Lowest observed predictability,DNA directed DNA polymerase inhibitor | DNA synthesis inhibitor; unclear,DNA directed DNA polymerase inhibitor
5485,Idoxuridine,146,0.69503653,0.8596261,Most predictable,Lowest observed predictability,DNA directed DNA polymerase inhibitor | DNA synthesis inhibitor; unclear,DNA synthesis inhibitor
3450,Tucidinostat,159,0.9288761,0.8356487,Higher,Highest observed predictability,HDAC inhibitor; inhibitor/antagonist,HDAC inhibitor
2733,Sulfatinib; Surufatinib,131,0.6653186,0.8018695,Least predictable,Lowest observed predictability,inhibitor/antagonist; tyrosine kinase inhibitor,Tyrosine kinase inhibitor
5189,Flumatinib (mesylate); Flumatinib Mesylate,139,0.6589662,0.80989903,Lower,Lowest observed predictability,Bcr-Abl kinase inhibitor; inhibitor/antagonist,Bcr-Abl kinase inhibitor
1597,Entrectinib,138,0.6545364,0.81842077,Lower,Lowest observed predictability,ALK tyrosine kinase receptor inhibitor | proto-oncogene tyrosine protein kinase inhibitor; inhibitor/antagonist,ALK tyrosine kinase receptor inhibitor
1597,Entrectinib,138,0.6545364,0.81842077,Lower,Lowest observed predictability,ALK tyrosine kinase receptor inhibitor | proto-oncogene tyrosine protein kinase inhibitor; inhibitor/antagonist,proto-oncogene tyrosine protein kinase inhibitor
5141,Imiquimod (hydrochloride); Imiquimod hydrochloride,153,0.73966587,0.80724096,Lower,Lowest observed predictability,activator/agonist; interferon inducer | toll-like receptor agonist,interferon inducer
5141,Imiquimod (hydrochloride); Imiquimod hydrochloride,153,0.73966587,0.80724096,Lower,Lowest observed predictability,activator/agonist; interferon inducer | toll-like receptor agonist,toll-like receptor agonist
3904,Cobimetinib,231,0.9322075,0.8331615,Higher,Highest observed predictability,MEK inhibitor; inhibitor/antagonist,MEK inhibitor
1996,N-[4-(9-acridinylmethyl)-3-methoxyphenyl]methanesulfonamide; amsacrine,233,0.9100606,0.82199526,Middle,Highest observed predictability,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
412,Acyclic retinoid; Peretinoin,142,0.641953,0.7972671,Least predictable,Lowest observed predictability,retinoid receptor agonist; unclear,Retinoid receptor agonist
5466,"Oxaliplatin; cis-oxalato-trans-l-1,2-diaminocyclohexaneplatinum(II)",148,0.7163492,0.7673465,Least predictable,Lowest observed predictability,DNA inhibitor; inhibitor/antagonist,DNA inhibitor
5201,Noradrenaline hydrochloride; Norepinephrine (hydrochloride),144,0.6393844,0.7750036,Least predictable,Lowest observed predictability,activator/agonist; adrenergic receptor agonist,Adrenergic receptor agonist
2091,AZD-8055; Azd8055,346,0.9556898,0.85822886,Most predictable,Highest observed predictability,inhibitor/antagonist; mTOR inhibitor,mTOR inhibitor
629,Aprepitant,147,0.65434486,0.83337516,Higher,Lowest observed predictability,inhibitor/antagonist; tachykinin antagonist,tachykinin antagonist
592,BRD-K68202742; Trichostatin A,1346,1.0,0.827145,Middle,Highest observed predictability,HDAC inhibitor,HDAC inhibitor
