moa,n_compounds,observed_mean,observed_ci_lower,observed_ci_upper,predicted_mean,predicted_ci_lower,predicted_ci_upper,prediction_error,absolute_prediction_error,clean_moa
ATPase inhibitor,5,0.947096546,0.9281732999999999,0.9694181580000001,0.8729107299999999,0.866243852,0.8801141742,-0.07418581600000018,0.07418581600000018,ATPase inhibitor
Topoisomerase inhibitor; topoisomerase inhibitor,7,0.9412542185714285,0.9203763297142856,0.966339357857143,0.8850417542857143,0.8499580624285715,0.9231428942857143,-0.05621246428571425,0.05621246428571425,Topoisomerase inhibitor; topoisomerase inhibitor
MTOR inhibitor; mTOR inhibitor,5,0.927392156,0.9138103559999999,0.9393967379999999,0.8601880979999998,0.8360482679999999,0.885253966,-0.06720405800000018,0.06720405800000018,MTOR inhibitor; mTOR inhibitor
HDAC inhibitor,10,0.913415131,0.8532387367749998,0.955390141475,0.8248417439999999,0.8129201987500001,0.8344381959,-0.08857338700000017,0.08857338700000017,HDAC inhibitor
HSP inhibitor,8,0.8229505287500001,0.7007441908125,0.9386225249999995,0.84591016,0.8155556987500001,0.8813987304374999,0.02295963124999989,0.02295963124999989,HSP inhibitor
