pubchem_cid_clean,name,pubchem_cid,UMAP1,UMAP2,representation,name_clean,ring_category,ring_count
49792850,bms-986020,49792850.0,8.899103,9.340323,Morgan + MACCS + CACTVS + descriptors,bms-986020,4+ rings,5.0
49792852,nms-1286937,49792852.0,10.13057,10.003837,Morgan + MACCS + CACTVS + descriptors,nms-1286937,4+ rings,5.0
49800036,metrizamide,49800036.0,7.6725783,7.8033323,Morgan + MACCS + CACTVS + descriptors,metrizamide,2 rings,2.0
49803313,gilteritinib,49803313.0,10.239861,10.077784,Morgan + MACCS + CACTVS + descriptors,gilteritinib,4+ rings,5.0
49806644,ai-10-49,49806644.0,10.028927,9.757077,Morgan + MACCS + CACTVS + descriptors,ai-10-49,4+ rings,6.0
49806720,alectinib,49806720.0,8.368739,10.570742,Morgan + MACCS + CACTVS + descriptors,alectinib,4+ rings,6.0
49830684,a-1070722,49830684.0,10.213492,10.390494,Morgan + MACCS + CACTVS + descriptors,a-1070722,3 rings,3.0
49831257,filgotinib,49831257.0,7.7709036,10.010357,Morgan + MACCS + CACTVS + descriptors,filgotinib,4+ rings,5.0
49831411,aripiprazole-lauroxil,49831411.0,9.121315,7.4076815,Morgan + MACCS + CACTVS + descriptors,aripiprazole-lauroxil,4+ rings,4.0
49836020,birinapant,49836020.0,8.5433035,10.627927,Morgan + MACCS + CACTVS + descriptors,birinapant,4+ rings,6.0
49836027,torin-1,49836027.0,7.8168955,10.931752,Morgan + MACCS + CACTVS + descriptors,torin-1,4+ rings,7.0
49836057,tba-354,49836057.0,9.948337,9.664614,Morgan + MACCS + CACTVS + descriptors,tba-354,4+ rings,4.0
49836093,funapide,49836093.0,9.19276,7.15609,Morgan + MACCS + CACTVS + descriptors,funapide,4+ rings,6.0
49837968,ly2886721,49837968.0,7.960999,10.768657,Morgan + MACCS + CACTVS + descriptors,ly2886721,4+ rings,4.0
49841217,avacopan,49841217.0,7.2500606,8.309265,Morgan + MACCS + CACTVS + descriptors,avacopan,4+ rings,5.0
49841251,btt-3033,49841251.0,8.092168,9.546806,Morgan + MACCS + CACTVS + descriptors,btt-3033,4+ rings,4.0
49843471,setipiprant,49843471.0,8.256633,10.584453,Morgan + MACCS + CACTVS + descriptors,setipiprant,4+ rings,5.0
49846579,venetoclax,49846579.0,9.619351,9.725631,Morgan + MACCS + CACTVS + descriptors,venetoclax,4+ rings,8.0
49846599,abx464,49846599.0,10.139357,10.32451,Morgan + MACCS + CACTVS + descriptors,abx464,3 rings,3.0
49847690,azd5582,49847690.0,7.4162717,7.527358,Morgan + MACCS + CACTVS + descriptors,azd5582,4+ rings,8.0
49848070,taladegib,49848070.0,7.5002456,10.935128,Morgan + MACCS + CACTVS + descriptors,taladegib,4+ rings,5.0
49850262,tubastatin-a,49850262.0,8.273723,10.600108,Morgan + MACCS + CACTVS + descriptors,tubastatin-a,4+ rings,4.0
49852288,carteolol,49852288.0,8.710727,6.9222217,Morgan + MACCS + CACTVS + descriptors,carteolol,2 rings,2.0
49855250,sb-939,49855250.0,7.6092525,11.098661,Morgan + MACCS + CACTVS + descriptors,sb-939,2 rings,2.0
49856296,kaf-156,49856296.0,7.415464,11.078065,Morgan + MACCS + CACTVS + descriptors,kaf-156,4+ rings,4.0
49862762,inx-08189,49862762.0,6.54191,11.550284,Morgan + MACCS + CACTVS + descriptors,inx-08189,4+ rings,5.0
49867926,sar-245409,49867926.0,9.074637,9.537463,Morgan + MACCS + CACTVS + descriptors,sar-245409,4+ rings,5.0
49867929,bs-181,49867929.0,6.803989,10.735552,Morgan + MACCS + CACTVS + descriptors,bs-181,3 rings,3.0
49867930,rg4733,49867930.0,7.337956,8.360921,Morgan + MACCS + CACTVS + descriptors,rg4733,3 rings,3.0
49870909,s49076,49870909.0,8.295973,10.676994,Morgan + MACCS + CACTVS + descriptors,s49076,4+ rings,5.0
49871766,mk-5046,49871766.0,7.0616493,10.672776,Morgan + MACCS + CACTVS + descriptors,mk-5046,4+ rings,4.0
49871973,cenerimod,49871973.0,9.7425785,9.3464365,Morgan + MACCS + CACTVS + descriptors,cenerimod,4+ rings,4.0
4988454,z160,4988454.0,6.915162,7.775562,Morgan + MACCS + CACTVS + descriptors,z160,4+ rings,5.0
4991,mestinon,4991.0,6.4960027,8.798385,Morgan + MACCS + CACTVS + descriptors,mestinon,1 ring,1.0
4992,mepyramine,4992.0,9.870973,10.341214,Morgan + MACCS + CACTVS + descriptors,mepyramine,2 rings,2.0
4993,pyrimethamine,4993.0,6.97576,10.223298,Morgan + MACCS + CACTVS + descriptors,pyrimethamine,2 rings,2.0
4994,pyrithyldione,4994.0,1.4371206,9.081664,Morgan + MACCS + CACTVS + descriptors,pyrithyldione,1 ring,1.0
4996,pyroxamide,4996.0,8.27676,11.124045,Morgan + MACCS + CACTVS + descriptors,pyroxamide,1 ring,1.0
5002,quetiapine,5002.0,6.5498347,8.173662,Morgan + MACCS + CACTVS + descriptors,quetiapine,4+ rings,4.0
50088,bepridil,50088.0,6.6362967,8.080751,Morgan + MACCS + CACTVS + descriptors,bepridil,3 rings,3.0
500902,nm107,500902.0,2.4165022,9.677675,Morgan + MACCS + CACTVS + descriptors,nm107,2 rings,2.0
5011,quipazine,5011.0,6.927638,10.445292,Morgan + MACCS + CACTVS + descriptors,quipazine,3 rings,3.0
501254,lisofylline,501254.0,5.7404766,11.472148,Morgan + MACCS + CACTVS + descriptors,lisofylline,2 rings,2.0
5013,n-methylquipazine,5013.0,6.891343,10.577958,Morgan + MACCS + CACTVS + descriptors,n-methylquipazine,3 rings,3.0
5014,qx-222,5014.0,6.5648093,8.335657,Morgan + MACCS + CACTVS + descriptors,qx-222,1 ring,1.0
501640,nn-dnj,501640.0,1.2520926,8.5376005,Morgan + MACCS + CACTVS + descriptors,nn-dnj,1 ring,1.0
50204,apyramide,50204.0,9.220231,10.163498,Morgan + MACCS + CACTVS + descriptors,apyramide,4+ rings,4.0
50225,buserelin,50225.0,5.7895417,5.5171375,Morgan + MACCS + CACTVS + descriptors,buserelin,4+ rings,6.0
50234,somantadine,50234.0,0.9320175,9.299968,Morgan + MACCS + CACTVS + descriptors,somantadine,4+ rings,4.0
5024764,cgp-7930,5024764.0,7.853773,5.5494146,Morgan + MACCS + CACTVS + descriptors,cgp-7930,1 ring,1.0
50248,triclabendazole,50248.0,9.904738,9.646362,Morgan + MACCS + CACTVS + descriptors,triclabendazole,3 rings,3.0
5025739,abt-724,5025739.0,6.9138474,10.7360325,Morgan + MACCS + CACTVS + descriptors,abt-724,4+ rings,4.0
50287,tiotidine,50287.0,5.6962366,10.997775,Morgan + MACCS + CACTVS + descriptors,tiotidine,1 ring,1.0
50294,nedocromil,50294.0,9.3302965,7.348811,Morgan + MACCS + CACTVS + descriptors,nedocromil,3 rings,3.0
50312,fiacitabine,50312.0,2.4136422,9.677569,Morgan + MACCS + CACTVS + descriptors,fiacitabine,2 rings,2.0
5034,gw-5074,5034.0,8.136478,7.515188,Morgan + MACCS + CACTVS + descriptors,gw-5074,3 rings,3.0
5035,raloxifene,5035.0,8.768995,6.834536,Morgan + MACCS + CACTVS + descriptors,raloxifene,4+ rings,5.0
5037,ramifenazone,5037.0,7.153323,8.783354,Morgan + MACCS + CACTVS + descriptors,ramifenazone,2 rings,2.0
503737,liquiritin,503737.0,8.935594,4.8043423,Morgan + MACCS + CACTVS + descriptors,liquiritin,4+ rings,4.0
5040063,ppt,5040063.0,9.400202,10.018156,Morgan + MACCS + CACTVS + descriptors,ppt,4+ rings,4.0
504457,vapendavir,504457.0,9.648125,9.072035,Morgan + MACCS + CACTVS + descriptors,vapendavir,4+ rings,4.0
50515,amonafide,50515.0,7.266737,8.336093,Morgan + MACCS + CACTVS + descriptors,amonafide,3 rings,3.0
5054,resorcinol,5054.0,7.9253206,5.6182427,Morgan + MACCS + CACTVS + descriptors,resorcinol,1 ring,1.0
5055,resorcinol-monoacetate,5055.0,8.196539,5.577703,Morgan + MACCS + CACTVS + descriptors,resorcinol-monoacetate,1 ring,1.0
5063,rhc-80267,5063.0,1.1767526,8.811094,Morgan + MACCS + CACTVS + descriptors,rhc-80267,2 rings,2.0
5066134,gue-1654,5066134.0,7.715278,10.265648,Morgan + MACCS + CACTVS + descriptors,gue-1654,4+ rings,5.0
5068295,rn-1747,5068295.0,8.247883,8.718633,Morgan + MACCS + CACTVS + descriptors,rn-1747,3 rings,3.0
5070,riluzole,5070.0,9.689147,9.655844,Morgan + MACCS + CACTVS + descriptors,riluzole,2 rings,2.0
5073,risperidone,5073.0,9.146473,8.337363,Morgan + MACCS + CACTVS + descriptors,risperidone,4+ rings,5.0
5074,ritanserin,5074.0,7.284328,8.367558,Morgan + MACCS + CACTVS + descriptors,ritanserin,4+ rings,5.0
5078,rizatriptan,5078.0,6.985541,10.655883,Morgan + MACCS + CACTVS + descriptors,rizatriptan,3 rings,3.0
5081,ro-15-4513,5081.0,7.7145734,11.258675,Morgan + MACCS + CACTVS + descriptors,ro-15-4513,3 rings,3.0
5081913,ikk-2-inhibitor-v,5081913.0,8.200294,7.5565953,Morgan + MACCS + CACTVS + descriptors,ikk-2-inhibitor-v,2 rings,2.0
5083,bisindolylmaleimide-ix,5083.0,8.240636,10.640938,Morgan + MACCS + CACTVS + descriptors,bisindolylmaleimide-ix,4+ rings,5.0
50878566,ruxolitinib-(s),50878566.0,6.727091,10.68071,Morgan + MACCS + CACTVS + descriptors,ruxolitinib-(s),4+ rings,4.0
50898538,camkii-in-1,50898538.0,7.9793425,9.748338,Morgan + MACCS + CACTVS + descriptors,camkii-in-1,4+ rings,5.0
5090,rofecoxib,5090.0,7.181193,6.22667,Morgan + MACCS + CACTVS + descriptors,rofecoxib,3 rings,3.0
50904505,cym-50769,50904505.0,8.787902,7.0932817,Morgan + MACCS + CACTVS + descriptors,cym-50769,4+ rings,5.0
50905713,duvelisib,50905713.0,7.6352477,11.044021,Morgan + MACCS + CACTVS + descriptors,duvelisib,4+ rings,5.0
50914062,delgocitinib,50914062.0,7.09805,11.208048,Morgan + MACCS + CACTVS + descriptors,delgocitinib,4+ rings,4.0
50914822,aqw-051,50914822.0,9.603463,10.63353,Morgan + MACCS + CACTVS + descriptors,aqw-051,4+ rings,5.0
50922675,encorafenib,50922675.0,7.8448043,9.902499,Morgan + MACCS + CACTVS + descriptors,encorafenib,3 rings,3.0
50922681,nsi-189,50922681.0,7.4895124,11.205188,Morgan + MACCS + CACTVS + descriptors,nsi-189,3 rings,3.0
50922691,bms-911543,50922691.0,7.3617206,11.060815,Morgan + MACCS + CACTVS + descriptors,bms-911543,4+ rings,6.0
50923806,o-304,50923806.0,7.1502438,8.398397,Morgan + MACCS + CACTVS + descriptors,o-304,3 rings,3.0
50925411,tcs-21311,50925411.0,8.372916,10.677614,Morgan + MACCS + CACTVS + descriptors,tcs-21311,4+ rings,5.0
5094,ronidazole,5094.0,5.2336493,11.037263,Morgan + MACCS + CACTVS + descriptors,ronidazole,1 ring,1.0
50942,doxofylline,50942.0,5.7530484,11.455034,Morgan + MACCS + CACTVS + descriptors,doxofylline,3 rings,3.0
5095,ropinirole,5095.0,7.094549,8.205527,Morgan + MACCS + CACTVS + descriptors,ropinirole,2 rings,2.0
509554,evp4593,509554.0,10.128982,10.274555,Morgan + MACCS + CACTVS + descriptors,evp4593,4+ rings,4.0
