pubchem_cid_clean,name,pubchem_cid,UMAP1,UMAP2,representation,name_clean,moa_clean,moa_category
107896,gabazine,107896.0,8.518589,6.100421,Morgan + MACCS + CACTVS + descriptors,gabazine,GABA receptor antagonist,Other MoA
107905,epicatechin-gallate-(-),107905.0,8.789717,4.8820114,Morgan + MACCS + CACTVS + descriptors,epicatechin-gallate-(-),bacterial DNA gyrase inhibitor,Other MoA
107921,mephenytoin,107921.0,7.0073376,7.8893375,Morgan + MACCS + CACTVS + descriptors,mephenytoin,hydantoin antiepileptic,Other MoA
107926,bretazenil,107926.0,7.7130938,11.270522,Morgan + MACCS + CACTVS + descriptors,bretazenil,GABA benzodiazepine site receptor partial agonist,Other MoA
107950,cl-218872,107950.0,6.8454847,10.513648,Morgan + MACCS + CACTVS + descriptors,cl-218872,benzodiazepine receptor agonist,Other MoA
107967,fk-888,107967.0,8.480867,10.64007,Morgan + MACCS + CACTVS + descriptors,fk-888,tachykinin antagonist,Other MoA
107970,fingolimod,107970.0,7.412192,6.764324,Morgan + MACCS + CACTVS + descriptors,fingolimod,immunosuppressant|sphingosine 1-phosphate receptor agonist,Other MoA
107971,daidzin,107971.0,8.933423,4.794433,Morgan + MACCS + CACTVS + descriptors,daidzin,antioxidant,Other MoA
107985,triptolide,107985.0,0.48926023,7.296367,Morgan + MACCS + CACTVS + descriptors,triptolide,RNA polymerase inhibitor,Other MoA
107994,quinaprilat,107994.0,7.347514,7.4565763,Morgan + MACCS + CACTVS + descriptors,quinaprilat,angiotensin converting enzyme inhibitor,Other MoA
108029,ru-24969,108029.0,9.481724,10.573409,Morgan + MACCS + CACTVS + descriptors,ru-24969,serotonin receptor agonist,Other MoA
108030,cgs-9896,108030.0,8.214833,10.560125,Morgan + MACCS + CACTVS + descriptors,cgs-9896,GABA receptor antagonist,Other MoA
1080352,brd7389,1080352.0,7.375511,8.370872,Morgan + MACCS + CACTVS + descriptors,brd7389,ribosomal protein inhibitor,Other MoA
10804826,a-61603,10804826.0,8.231669,6.845129,Morgan + MACCS + CACTVS + descriptors,a-61603,adrenergic receptor agonist,adrenergic receptor agonist
108052,cafestol,108052.0,8.017348,4.6943073,Morgan + MACCS + CACTVS + descriptors,cafestol,pregnane X receptor agonist,Other MoA
108059,segesterone-acetate,108059.0,0.29808423,6.6498146,Morgan + MACCS + CACTVS + descriptors,segesterone-acetate,progesterone receptor agonist,Other MoA
108089,stobadine,108089.0,6.6598644,8.236811,Morgan + MACCS + CACTVS + descriptors,stobadine,adrenergic receptor antagonist,adrenergic receptor antagonist
108092,dppe,108092.0,8.565588,6.5433893,Morgan + MACCS + CACTVS + descriptors,dppe,histamine receptor antagonist,histamine receptor antagonist
108107,benzamil,108107.0,7.504233,10.63716,Morgan + MACCS + CACTVS + descriptors,benzamil,sodium channel blocker,Other MoA
108137,sch-28080,108137.0,9.925115,9.745908,Morgan + MACCS + CACTVS + descriptors,sch-28080,ATPase inhibitor,Other MoA
108143,tamibarotene,108143.0,7.913594,7.693113,Morgan + MACCS + CACTVS + descriptors,tamibarotene,retinoid receptor agonist,Other MoA
108144,carboxyamidotriazole,108144.0,8.155459,10.095138,Morgan + MACCS + CACTVS + descriptors,carboxyamidotriazole,calcium channel blocker,Other MoA
108167,sr-140333,108167.0,7.558469,6.526572,Morgan + MACCS + CACTVS + descriptors,sr-140333,neurokinin receptor antagonist,Other MoA
108185,carboxylosartan,108185.0,7.650888,11.115091,Morgan + MACCS + CACTVS + descriptors,carboxylosartan,angiotensin antagonist,Other MoA
108213,bifendate,108213.0,8.655022,5.0408764,Morgan + MACCS + CACTVS + descriptors,bifendate,,Unknown
10850,tricaprylin,10850.0,0.49830523,8.342599,Morgan + MACCS + CACTVS + descriptors,tricaprylin,,Unknown
1085377,golgicide-a,1085377.0,7.1874094,10.217605,Morgan + MACCS + CACTVS + descriptors,golgicide-a,ARF inhibitor,Other MoA
1088438,ml130,1088438.0,8.035165,9.679879,Morgan + MACCS + CACTVS + descriptors,ml130,NOD1 inhibitor,Other MoA
10911051,cimaterol,10911051.0,7.9996,6.4987917,Morgan + MACCS + CACTVS + descriptors,cimaterol,adrenergic receptor agonist,adrenergic receptor agonist
10918,levocarnitine,10918.0,1.2331167,9.700903,Morgan + MACCS + CACTVS + descriptors,levocarnitine,,Unknown
