profile_count_bin,n_compounds,median_n_profiles,mean_error,median_error,q25_error,q75_error,mean_source_normalized_error,median_source_normalized_error,q25_source_normalized_error,q75_source_normalized_error,median_variance,mean_variance
1,1334,1.0,0.16636315813493252,0.159508945,0.1274986675,0.19809597750000002,1.3594766351861927,1.1967474555665967,0.37688757756710867,2.143061437663279,0.0,0.0
2-4,2647,3.0,0.1469874898194182,0.14074104,0.10974818,0.17592206,0.7962711556494495,0.6223236903702255,-0.041590095942685354,1.520807908869045,0.00025319224,0.0016453838171360269
5-19,1823,8.0,0.13760589030608888,0.12941132,0.10813668,0.15601058499999998,0.6854908691024131,0.5753403829352368,0.0962166380880797,1.1584625503802073,0.00058286975,0.002387813518648382
20-99,452,36.0,0.1204666737920354,0.106492207,0.09389810375,0.1294484675,0.06889560074309563,0.0026163915195127,-0.24655303876542706,0.2895813730906336,0.0006406463,0.005802260216769912
100+,349,143.0,0.058215094117478515,0.048474625,0.043382592,0.06744397,-0.11855471131645988,-0.1760789518836328,-0.394175624206147,0.1243450088900336,0.0001854837,0.006343555546475645
