profile_count_bin,n_compounds,mean_error,median_error,mean_variance,median_variance,mean_source_normalized_error
1,1334,0.16636315813493252,0.159508945,0.0,0.0,1.3594766351861927
2-4,2647,0.1469874898194182,0.14074104,0.0016453838171360269,0.00025319224,0.7962711556494495
5-19,1823,0.13760589030608888,0.12941132,0.002387813518648382,0.00058286975,0.6854908691024131
20-99,452,0.1204666737920354,0.106492207,0.005802260216769912,0.0006406463,0.06889560074309561
100+,349,0.058215094117478515,0.048474625,0.006343555546475645,0.0001854837,-0.11855471131645988
