profile_bin,n_compounds,median_profile_count,median_predictability,lower_quartile,upper_quartile,lower_error,upper_error
1,1334,1.0,0.5829506954179007,0.39212986504172,0.7482725079154284,0.1908208303761807,0.16532181249752775
2–4,2647,3.0,0.6987811934728105,0.517605063882112,0.8326570342605888,0.1811761295906985,0.13387584078777826
5–9,1161,6.0,0.688858778306195,0.56473577126022,0.7914448161705803,0.12412300704597501,0.10258603786438525
10–19,662,12.0,0.7332138991518146,0.6422507823022847,0.8197419623718181,0.09096311684952985,0.0865280632200035
20–49,323,30.0,0.8053676021645269,0.7420968865018686,0.8529653064810072,0.0632707156626583,0.04759770431648036
50–99,129,68.0,0.8732112583993226,0.8333227287289415,0.908241255978848,0.039888529670381034,0.03502999757952541
100+,349,143.0,0.859776231115457,0.7991968137716317,0.9037546451537396,0.060579417343825326,0.04397841403828262
