compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score,mean_source_normalized_error_z,variance_source_normalized_error_z,std_source_normalized_error_z,median_source_normalized_error_z,n_sources,source_normalized_error_percentile,source_normalized_predictability_score,profile_count_bin
4757,alvespimycin,111,0.07918267,0.0020167513,0.04490826,0.068943284,0.06086339,0.001716805,0.041434348,0.01120772,1.7914896e-05,0.0003307697,0.0140908025,0.1737480845495495,0.011825573,0.9778954831531532,0.997655,0.0912944738834216,0.9087055261165784,-0.766062945133227,0.23147010046728242,0.48111339668240627,-0.7894181349427268,3,0.02089326267978804,0.9791067373202119,100+
1880,Wortmannin from Penicillium funiculosum; wortmannin,682,0.06948952,0.0005204272,0.022812875,0.06750104,0.057173733,0.00046330222,0.021524454,0.006398398,3.541112e-06,0.00034926002,0.01169507,0.1950779013255132,0.062250376,0.9761216612903224,0.9774293,0.0620741862225586,0.9379258137774412,-0.7631544553126682,0.2818846948902469,0.5309281447524202,-0.8116061385561042,2,0.021196063588190765,0.9788039364118092,100+
3482,Entinostat; entinostat,410,0.07412288,0.0019332699,0.04396897,0.06685345,0.05828339,0.0016782393,0.040966317,0.007290164,1.6697395e-05,0.00037725546,0.01694776,0.1868310531951219,0.005455538,0.9768536990731708,0.9975084,0.0735806207418622,0.9264193792581378,-0.758457266717305,0.25532217721647277,0.5052941492007134,-0.8259795654271391,3,0.02165026495079485,0.9783497350492052,100+
4117,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one; LY-294002,192,0.070187256,0.00048769618,0.022083849,0.06881268,0.056923002,0.00038897313,0.019722402,0.008650421,8.621461e-06,0.00046553704,0.009041451,0.1989069651822916,0.007757557,0.9746418025,0.99780154,0.0629825889477668,0.9370174110522332,-0.7571105171321085,0.279492653477823,0.5286706474524787,-0.7772024979801602,2,0.022104466313398942,0.9778955336866011,100+
295,Idarubicin; idarubicin,134,0.06992454,0.00047367514,0.021764077,0.068232976,0.05408101,0.00037505376,0.019366303,0.007105402,3.4721925e-06,0.0002443309,0.01737851,0.1609116878283582,0.008167156,0.9859324047761194,0.9975084,0.0625283875851627,0.9374716124148372,-0.7513226891808213,0.25450066183622866,0.5044805861836793,-0.7905322579479523,1,0.022710068130204392,0.9772899318697956,100+
1919,(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid; Mycophenolic Acid,140,0.07041016,0.00045663203,0.02136895,0.06718196,0.051765602,0.00035630888,0.018876143,0.01007619,9.8247865e-06,0.0004721997,0.01694787,0.1987938321071428,0.007980626,0.9749640407142856,0.997655,0.0635881907645723,0.9364118092354276,-0.746474679754104,0.1936287407980964,0.44003265878579556,-0.814894267525339,5,0.023012869038607116,0.9769871309613929,100+
2277,"(7R,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; doxorubicin",386,0.08634973,0.0112892315,0.106250785,0.06439417,0.07054613,0.009508865,0.09751341,0.0080766305,0.000100021454,0.0003984996,0.015294556,0.2185645982150258,0.005626464,0.9654051777979276,0.9983878,0.1241483724451173,0.8758516275548827,-0.7334910595750715,0.31829285159228304,0.5641744868321175,-0.8438370112812892,4,0.023618470855412566,0.9763815291445874,100+
4018,Mitoxantrone; mitoxantrone,1040,0.07214315,0.0011225971,0.033505183,0.067467555,0.0567502,0.0009658091,0.03107747,0.006590381,7.941039e-06,0.00025082022,0.017504808,0.1873465769307692,0.005780955,0.9773912661346154,0.9988275,0.0672218016654049,0.932778198334595,-0.7223440321760286,0.2669828093322756,0.5167037926435953,-0.8082742003185897,3,0.024526873580620744,0.9754731264193792,100+
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,280,0.035060328,0.00010290772,0.010144345,0.03337767,0.026342776,9.6453114e-05,0.009821054,0.0038626266,4.873465e-07,8.637833e-05,0.0096753,0.1832299974142857,0.0057315817,0.9738846024642858,0.99868095,0.0007570022710068,0.9992429977289932,-0.7190525267622662,0.7131939388849619,0.8445081046887365,-0.8591322438549295,1,0.025283875851627554,0.9747161241483725,100+
1764,Homoharringtonine; Omacetaxine Mepesuccinate,363,0.05709908,0.0011253675,0.033546504,0.051924314,0.04470206,0.0008120394,0.028496306,0.0061359485,1.7457234e-05,0.0003133503,0.012396798,0.1531976413856749,0.051268425,0.9837405474655646,0.98197275,0.0436033308099924,0.9563966691900077,-0.7097617551432824,0.48467926436784375,0.696189101011962,-0.8087912762339381,3,0.02664647993943982,0.9733535200605602,100+
5028,PD-0325901,536,0.07198018,0.0004514906,0.021248303,0.069131225,0.055843648,0.00040307766,0.020076795,0.007540322,5.3778895e-06,0.00056068966,0.016968139,0.1843160263768656,0.023985578,0.978297925522388,0.9928184,0.0663133989401968,0.9336866010598032,-0.703673979681929,0.2425810850969568,0.4925252126510447,-0.769711381658994,1,0.02725208175624527,0.9727479182437547,100+
3990,Narciclasine; narciclasine,69,0.07209376,0.000459098,0.021426573,0.0640052,0.049760986,0.00036418243,0.01908356,0.014714281,9.7075645e-06,0.0005568747,0.015014253,0.165412855289855,0.040342804,0.9839886669565218,0.98563683,0.0670704012112036,0.9329295987887964,-0.701041025163993,0.246668566357852,0.4966573933385589,-0.8885299982666305,1,0.028009084027252083,0.9719909159727479,20-99
4646,emetine,158,0.07322615,0.0009120066,0.030199442,0.06953171,0.05482018,0.00073612435,0.027131611,0.010736737,1.49008665e-05,0.0004033333,0.015177123,0.1551654823670886,0.019224603,0.9864375884177214,0.99384433,0.0708554125662377,0.9291445874337624,-0.6988792880164922,0.3558941827532906,0.5965686739624287,-0.7604282208899779,3,0.028311884935654806,0.9716881150643452,100+
706,Withaferin A; withaferin-a,482,0.072365046,0.0005485147,0.023420393,0.070031755,0.058190215,0.00046730583,0.021617258,0.0070454767,4.841152e-06,0.00015965484,0.014194842,0.1943684214605809,0.025635453,0.9765097766182572,0.9909131,0.067676003028009,0.932323996971991,-0.6954256531701085,0.29579689552911326,0.5438721315981481,-0.7488374242989452,2,0.028917486752460256,0.9710825132475397,100+
4528,camptothecin,292,0.07307942,0.0004407825,0.020994818,0.0705919,0.05549144,0.00036692727,0.019155346,0.008490875,6.027286e-06,0.0002181916,0.018106928,0.156638413599315,0.0049854117,0.9856624797945206,0.9995603,0.0702498107494322,0.9297501892505676,-0.6825727713244198,0.21459692758540816,0.46324607670805823,-0.7358537015921729,3,0.03133989401968206,0.9686601059803179,100+
