source,n,mean_total_error,mean_signature_error,mean_compound_error
L1000,60964,0.41944404255949413,0.2343665595693032,0.17586931169675876
tahoe-100m,39606,0.15841548394392263,0.08718492590536787,0.06569474990671868
novartis,4554,0.5308345302949056,0.11898775880171278,0.4067072543003952
cmap-build02,3945,0.42506844182027886,0.12930867043396704,0.289687698008365
rummageo,1832,1.4115592848466156,1.1696495038100436,0.23351036373744544
sciplex,1274,0.9208291175824176,0.6369390568367347,0.2750878246263736
creeds,460,0.630119895847826,0.35724189790869565,0.26098190181086955
deepcovermoa,339,0.47703670164896755,0.11797049432743363,0.3454711197699115
