nearest_similarity_quartile,n_compounds,minimum_similarity,maximum_similarity,mean_absolute_error,median_absolute_error
"(0.121, 0.228]",24,0.12244897959183673,0.22580645161290322,0.057180571033991955,0.044383369997494204
"(0.228, 0.297]",24,0.22826086956521738,0.29411764705882354,0.051336439508623266,0.04065564674920036
"(0.297, 0.435]",24,0.3,0.43243243243243246,0.05488126836600837,0.038326818412975416
"(0.435, 1.0]",24,0.44285714285714284,1.0,0.04752649704362808,0.042700362515001755
