compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score,mean_source_normalized_error_z,variance_source_normalized_error_z,std_source_normalized_error_z,median_source_normalized_error_z,n_sources,source_normalized_error_percentile,source_normalized_predictability_score,profile_count_bin
1076,Barasertib; barasertib,20,0.2541688,0.0064339815,0.080212116,0.24858117,0.18688735,0.0064811367,0.0805055,0.05973373,4.7770583e-05,0.0006190873,0.014847867,0.3436345875,0.037751798,0.9145584765,0.9862230400000002,0.9645722937168812,0.0354277062831188,0.21890627734952198,0.45240563858825733,0.6726110604117786,0.282531950798084,2,0.36260408781226344,0.6373959121877366,20-99
3084,(E)-3-[4-[(E)-3-(3-fluorophenyl)-3-oxoprop-1-enyl]-1-methylpyrrol-2-yl]-N-hydroxyprop-2-enamide; MC1568,23,0.25145596,0.024360456,0.15607835,0.21012916,0.19381517,0.020681702,0.14381135,0.05196731,0.00026397125,0.0010881216,0.010911751,0.3814488186956521,0.015300507,0.9010196269565216,0.99472374,0.9621498864496594,0.0378501135503406,0.19618681358109677,1.1037733911857097,1.0506062017643478,-0.04155911752170978,3,0.3514004542013626,0.6485995457986373,20-99
2252,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one; PD-98059,28,0.25028077,0.023182027,0.15225646,0.15891118,0.17013457,0.021893598,0.14796485,0.07178409,4.4752047e-05,0.0005663012,0.016497666,0.3370847489285714,0.016323067,0.9196850167857143,0.9956031,0.9612414837244512,0.0387585162755488,0.9566649091449398,0.6154161117074025,0.7844846153414371,1.0955179354028117,2,0.6293716881150644,0.3706283118849356,20-99
494,"4-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,2-diol; Isoproterenol; isoprenaline",20,0.25020117,0.09717967,0.31173655,0.10536703,0.21264133,0.09565517,0.3092817,0.029855782,5.4781533e-05,0.0010643011,0.014982371,0.18251732625,0.0015499772,0.974716956,0.99970686,0.9610900832702498,0.0389099167297501,-0.029851438907921846,0.750239855649121,0.8661638734380007,-0.16242603802524275,4,0.24663133989401967,0.7533686601059804,20-99
1046,"4-N-(7-chloroquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine; Chloroquine; chloroquine",29,0.24878982,0.03170707,0.1780648,0.18931857,0.18770103,0.028353365,0.16838458,0.057254966,0.00025246988,0.0014507596,0.007087344,0.2299120210344827,0.0025299594,0.9570833386206896,0.9995603,0.9597274791824376,0.0402725208175624,0.4029878489032196,0.7836809627454224,0.8852575685897424,0.21071449605337927,4,0.43679031037093113,0.5632096896290688,20-99
776,Itraconazole; itraconazole,22,0.24348474,0.146066,0.38218582,0.117171995,0.19066115,0.11666753,0.3415663,0.047202285,0.0018206531,0.0012981319,0.010723357,0.2242211727272727,0.017608149,0.9711621168181818,0.9944306,0.9550340651021954,0.0449659348978046,0.30574862630396943,1.007863623852017,1.0039241125961749,0.15519240445144405,2,0.398334595003785,0.601665404996215,20-99
1084,E-7438; Tazemetostat,32,0.2422008,0.028264951,0.16812184,0.1871867,0.20155038,0.025094464,0.15841234,0.034657072,0.0002264337,0.001468734,0.011399225,0.3505387328125,0.006168901,0.9136045434375,0.9988275,0.9533686601059804,0.0466313398940196,0.06363670472480618,0.7327478073973468,0.8560068968164607,-0.03653813881851799,3,0.29038607115821347,0.7096139288417865,20-99
3742,SNS-314; Sns-314,20,0.24102196,0.0061715436,0.07855918,0.23536673,0.16012082,0.0059113153,0.07688508,0.07348393,0.00011877457,0.0005121663,0.014629562,0.3346458375,0.022466311,0.9224144325,0.9925253000000002,0.9507948523845572,0.0492051476154428,0.6866640328503935,1.3136051524641958,1.1461261503273519,0.354011093531555,2,0.5429220287660863,0.4570779712339137,20-99
2686,4-(4-Chloro-2-methylphenoxy)-N-hydroxybutanamide; 4-(4-chloro-2-methylphenoxy)-N-hydroxybutanamide; droxinostat,27,0.24078335,0.022051059,0.14849599,0.17367437,0.16843902,0.020534407,0.14329833,0.06686087,7.669877e-05,0.0009239584,0.010597384,0.3003633705555555,0.00273024,0.9309877125925924,0.9989741,0.9503406510219532,0.0496593489780469,0.6965437998348197,0.7034517955302918,0.8387203321312128,0.6493966826520158,3,0.5456472369417108,0.4543527630582892,20-99
1013,UNC-1999; Unc1999,22,0.23021878,0.018701086,0.1367519,0.21684474,0.18647362,0.01746604,0.13215914,0.036275316,9.323428e-05,0.0038919712,0.013382893,0.3363062509090909,0.018212829,0.9169058636363636,0.99384433,0.9362604087812264,0.0637395912187737,-0.05263084514369629,0.7971527169631881,0.8928340926304216,-0.2286875602721395,2,0.23391370174110523,0.7660862982588947,20-99
2502,"(2Z,4S,4aR,5S,5aR,6R,12aS)-2-[amino(hydroxy)methylene]-4-(dimethylamino)-5,10,11,12a-tetrahydroxy-6-methyl-4a,5,5a,6-tetrahydro-4H-tetracene-1,3,12-trione;ethanol;hydrate;hydrochloride; doxycycline",104,0.22759005,0.10521228,0.32436445,0.10243602,0.19592327,0.09334899,0.3055306,0.02568663,0.00050487864,0.0011144953,0.0115144765,0.2786884883173077,0.05166198,0.9501507921153846,0.9809468,0.9326267978803936,0.0673732021196064,-0.18321647821571557,0.9180531137592453,0.95815088256456,-0.3491847112689693,4,0.1772899318697956,0.8227100681302044,100+
24042,Fluoxetine,47,0.21972118,0.08592785,0.29313454,0.100889325,0.17565504,0.07486085,0.2736071,0.03651849,0.0005403803,0.0011453293,0.014637163,0.2186904217021276,0.005031245,0.9727691874468084,0.9985344000000002,0.9171839515518546,0.0828160484481453,0.12291376284566498,0.7769859965830043,0.8814680916420085,-0.09358806812793434,5,0.31960635881907645,0.6803936411809235,20-99
473,EPZ-5676; Pinometostat,32,0.21845573,0.018860558,0.13733374,0.16475064,0.14742137,0.017174263,0.1310506,0.067086145,0.00010596532,0.0008391678,0.0075607747,0.21427432653125,0.032943867,0.9667365446875,0.98959404,0.914004542013626,0.0859954579863739,0.3344367289336433,0.5136347763208293,0.7166831770879161,0.312536577431157,4,0.41029523088569264,0.5897047691143074,20-99
3503,Fludarabine; fludarabine,73,0.21588793,0.050967146,0.22575906,0.111113444,0.1830026,0.043907046,0.20954008,0.027610488,0.00048613554,0.0006705061,0.01028146,0.1939405634246575,0.010594493,0.9782264001369864,0.9975084,0.9087055261165784,0.0912944738834216,-0.09920733307208597,0.5695612596341566,0.7546928246870753,-0.16080844799148294,3,0.21453444360333082,0.7854655563966692,20-99
