source,n,mean_total_error,mean_signature_error,mean_compound_error,mean_categorical_error
L1000,60964,0.10233776666129192,0.06614797196196937,0.02843948133691523,0.015305399247711765
tahoe-100m,39606,0.04369768401150079,0.031457378012089074,0.00836286911959804,0.007646851095068424
novartis,4554,0.12269743469828723,0.045157295509595956,0.07422442299365394,0.006344500346425121
cmap-build02,3945,0.1000195903460076,0.04864812346920152,0.04755953179482889,0.0073840785763498095
rummageo,1832,0.33849553151692136,0.2890221871629367,0.04619083679945415,0.005842031607729858
sciplex,1274,0.2801220419301413,0.23077771615227627,0.043272128023155415,0.011673468993956044
creeds,460,0.17804935752173912,0.11692664324782609,0.05217850022326087,0.01707300984247826
deepcovermoa,339,0.1096835838318584,0.04086176131268437,0.06024630651710915,0.016858815907669616
