source,n,unique_compounds,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy
L1000,60964,4718,0.1898511477630405,0.019997835441248443,0.9777759972724887,0.9934123491221049
tahoe-100m,39606,273,0.1696996182629652,0.022237346971436648,0.9763412224463466,0.9925608673440892
novartis,4554,1601,0.10341066344088713,0.019543119773203776,0.9921487654479577,0.9934473027360562
cmap-build02,3945,841,0.18307727977439797,0.017982716631690748,0.9702544464714828,0.9941613273460076
rummageo,1832,164,0.2605254171937773,0.015418411129312228,0.9552191208078602,0.9950725327893013
sciplex,1274,105,0.43877307332810045,0.01926333885243328,0.8770738624960753,0.9936982519937206
creeds,460,153,0.3481380076956522,0.020337551146586957,0.9145838332173913,0.9934339701521738
deepcovermoa,339,339,0.35945420756342183,0.02136521449616519,0.9145212882300885,0.9928093288495575
