source,signature_id,signature_compound_query,signature_brd_primary,signature_compound_query_norm
L1000,L1000::AZ-628::XC.P932::::24H::0.12uM::ASG003::J15::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::JNJ-7706621::XC.P932::::24H::10uM::ASG003::L22::BRD-K11636097,JNJ-7706621,brd-k11636097,jnj-7706621
L1000,L1000::trametinib::XC.P932::::24H::1.11uM::ASG003::N17::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::BI-2536::XC.P932::::24H::10uM::ASG003::D04::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::vorinostat::XC.P932::::24H::10uM::ASG003::F04::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::ABT-737::XC.P932::::24H::10uM::ASG003::L01::BRD-K56301217,ABT-737,brd-k56301217,abt-737
L1000,L1000::panobinostat::XC.P932::::24H::1.11uM::ASG003::P02::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::nocodazole::XC.P932::::24H::1.11uM::ASG003::I02::BRD-K12539581,nocodazole,brd-k12539581,nocodazole
L1000,L1000::panobinostat::XC.P932::::24H::10uM::ASG003::P01::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::BI-2536::XC.P932::::24H::1.11uM::ASG003::D05::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::alvocidib::XC.P932::::24H::0.12uM::ASG003::J21::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::AZ-628::XC.P932::::24H::10uM::ASG003::J13::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::erlotinib::XC.P932::::24H::10uM::ASG003::B16::BRD-K70401845,erlotinib,brd-k70401845,erlotinib
L1000,L1000::palbociclib::XC.P932::::24H::10uM::ASG003::K16::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::vorinostat::XC.P932::::24H::1.11uM::ASG003::F05::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::lapatinib::XC.P932::::24H::10uM::ASG003::O07::BRD-K19687926,lapatinib,brd-k19687926,lapatinib
L1000,L1000::vandetanib::XC.P932::::24H::10uM::ASG003::N22::BRD-K77625799,vandetanib,brd-k77625799,vandetanib
L1000,L1000::JNJ-7706621::XC.P932::::24H::1.11uM::ASG003::L23::BRD-K11636097,JNJ-7706621,brd-k11636097,jnj-7706621
L1000,L1000::palbociclib::XC.P932::::24H::1.11uM::ASG003::K17::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::panobinostat::XC.P932::::24H::0.12uM::ASG003::P03::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::gefitinib::XC.P932::::24H::10uM::ASG003::C13::BRD-K64052750,gefitinib,brd-k64052750,gefitinib
L1000,L1000::JNJ-7706621::A549::::24H::10uM::LUNG001::H19::BRD-K11636097,JNJ-7706621,brd-k11636097,jnj-7706621
