source,signature_id,signature_compound_query,signature_brd_primary,signature_compound_query_norm
L1000,L1000::LY-2835219::HAP1.CDK4::::24H::3.33uM::MOAR017::F03::BRD-K33622447,LY-2835219,brd-k33622447,ly-2835219
L1000,L1000::palbociclib::HAP1.CDK4::::24H::3.33uM::MOAR017::K03::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::BRD-K06023321::HT29::::24H::3.33uM::PBIOA018::P02::BRD-K06023321,BRD-K06023321,brd-k06023321,brd-k06023321
L1000,L1000::trametinib::HT29::::24H::10uM::PBIOA018::A19::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::regorafenib::HT29::::24H::0.125uM::PBIOA018::G05::BRD-K16730910,regorafenib,brd-k16730910,regorafenib
L1000,L1000::vorinostat::HT29::::24H::10uM::PBIOA018::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::trametinib::HT29::::24H::3.33uM::PBIOA018::A20::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::BRD-K59037718::HT29::::24H::0.125uM::PBIOA018::L11::BRD-K59037718,BRD-K59037718,brd-k59037718,brd-k59037718
L1000,L1000::trametinib::HT29::::24H::1.11uM::PBIOA018::A21::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::fluorouracil::HT29::::24H::10uM::PBIOA018::L19::BRD-K24844714,fluorouracil,brd-k24844714,fluorouracil
L1000,L1000::trametinib::HT29::::24H::0.04uM::PBIOA018::A24::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::bexarotene::HT29::::24H::10uM::PBIOA018::M19::BRD-K92441787,bexarotene,brd-k92441787,bexarotene
L1000,L1000::BRD-K06023321::HT29::::24H::1.11uM::PBIOA018::P03::BRD-K06023321,BRD-K06023321,brd-k06023321,brd-k06023321
L1000,L1000::BRD-K90618376::HT29::::24H::10uM::PBIOA018::P07::BRD-K90618376,BRD-K90618376,brd-k90618376,brd-k90618376
L1000,L1000::GSK-J4::HT29::::24H::10uM::PBIOA018::H07::BRD-K98203492,GSK-J4,brd-k98203492,gsk-j4
L1000,L1000::trametinib::HT29::::24H::0.125uM::PBIOA018::A23::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::BRD-K06023321::HT29::::24H::10uM::PBIOA018::P01::BRD-K06023321,BRD-K06023321,brd-k06023321,brd-k06023321
L1000,L1000::BRD-K06023321::HT29::::24H::0.37uM::PBIOA018::P04::BRD-K06023321,BRD-K06023321,brd-k06023321,brd-k06023321
L1000,L1000::trametinib::HT29::::24H::0.37uM::PBIOA018::A22::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::PD-173074::HT29::::24H::10uM::PBIOA018::B07::BRD-K97764662,PD-173074,brd-k97764662,pd-173074
L1000,L1000::regorafenib::HT29::::24H::10uM::PBIOA018::G01::BRD-K16730910,regorafenib,brd-k16730910,regorafenib
L1000,L1000::BRD-K95597153::HT29::::24H::0.12uM::PBIOA018::E11::BRD-K95597153,BRD-K95597153,brd-k95597153,brd-k95597153
L1000,L1000::troglitazone::HT29::::24H::10uM::PBIOA018::K10::BRD-A13084692,troglitazone,brd-a13084692,troglitazone
L1000,L1000::BRD-K97938674::HT29::::24H::10uM::PBIOA018::A07::BRD-K97938674,BRD-K97938674,brd-k97938674,brd-k97938674
L1000,L1000::BRD-K72005960::HT29::::24H::0.04uM::PBIOA018::I18::BRD-K72005960,BRD-K72005960,brd-k72005960,brd-k72005960
L1000,L1000::BRD-K57701450::MCF7::::24H::1.11uM::PBIOA013::M09::BRD-K57701450,BRD-K57701450,brd-k57701450,brd-k57701450
L1000,L1000::BRD-K19926581::MCF7::::24H::10uM::PBIOA013::I01::BRD-K19926581,BRD-K19926581,brd-k19926581,brd-k19926581
L1000,L1000::BRD-K27398334::MCF7::::24H::3.33uM::PBIOA013::A08::BRD-K27398334,BRD-K27398334,brd-k27398334,brd-k27398334
L1000,L1000::BRD-K35558836::MCF7::::24H::10uM::PBIOA013::J07::BRD-K35558836,BRD-K35558836,brd-k35558836,brd-k35558836
L1000,L1000::BRD-K34485477::MCF7::::24H::10uM::PBIOA013::H07::BRD-K34485477,BRD-K34485477,brd-k34485477,brd-k34485477
L1000,L1000::BRD-A69127847::MCF7::::24H::1.11uM::PBIOA013::M15::BRD-A69127847,BRD-A69127847,brd-a69127847,brd-a69127847
L1000,L1000::vorinostat::MCF7::::24H::10uM::PBIOA013::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BRD-K59385073::MCF7::::24H::10uM::PBIOA013::A19::BRD-K59385073,BRD-K59385073,brd-k59385073,brd-k59385073
L1000,L1000::BRD-K64360401::MCF7::::24H::10uM::PBIOA013::P01::BRD-K64360401,BRD-K64360401,brd-k64360401,brd-k64360401
L1000,L1000::vorinostat::HEPG2::::24H::0.66uM::CRCGN012::K12::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::rotenone::HEPG2::::24H::1.25uM::CRCGN012::G06::BRD-K08316444,rotenone,brd-k08316444,rotenone
L1000,L1000::BRD-K53581917::HEPG2::::24H::40uM::CRCGN012::H01::BRD-K53581917,BRD-K53581917,brd-k53581917,brd-k53581917
L1000,L1000::vorinostat::HEPG2::::24H::1.25uM::CRCGN012::K11::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::rotenone::HEPG2::::24H::4uM::CRCGN012::G04::BRD-K08316444,rotenone,brd-k08316444,rotenone
L1000,L1000::rotenone::HEPG2::::24H::2.5uM::CRCGN012::G05::BRD-K08316444,rotenone,brd-k08316444,rotenone
L1000,L1000::BRD-K88135829::HEPG2::::24H::2.5uM::CRCGN012::J22::BRD-K88135829,BRD-K88135829,brd-k88135829,brd-k88135829
L1000,L1000::BRD-A06416737::HEPG2::::24H::40uM::CRCGN012::D01::BRD-A06416737,BRD-A06416737,brd-a06416737,brd-a06416737
L1000,L1000::BRD-A08316103::HEPG2::::24H::40uM::CRCGN012::G07::BRD-A08316103,BRD-A08316103,brd-a08316103,brd-a08316103
L1000,L1000::iq::HEPG2::::24H::20uM::CRCGN012::E01::BRD-K91692376,iq,brd-k91692376,iq
L1000,L1000::endosulfan::HEPG2::::24H::40uM::CRCGN012::G19::BRD-A63289646,endosulfan,brd-a63289646,endosulfan
L1000,L1000::BRD-K88135829::HEPG2::::24H::0.66uM::CRCGN012::J24::BRD-K88135829,BRD-K88135829,brd-k88135829,brd-k88135829
L1000,L1000::rotenone::HEPG2::::24H::10uM::CRCGN012::G03::BRD-K08316444,rotenone,brd-k08316444,rotenone
L1000,L1000::BRD-K88135829::HEPG2::::24H::10uM::CRCGN012::J20::BRD-K88135829,BRD-K88135829,brd-k88135829,brd-k88135829
L1000,L1000::BRD-K69464193::HEPG2::::24H::10uM::CRCGN012::P03::BRD-K69464193,BRD-K69464193,brd-k69464193,brd-k69464193
L1000,L1000::vorinostat::HEPG2::::24H::20uM::CRCGN012::K07::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BRD-K22300345::HEPG2::::24H::12.5uM::CRCGN012::O20::BRD-K22300345,BRD-K22300345,brd-k22300345,brd-k22300345
L1000,L1000::BRD-K88135829::HEPG2::::24H::20uM::CRCGN012::J19::BRD-K88135829,BRD-K88135829,brd-k88135829,brd-k88135829
L1000,L1000::vorinostat::HEPG2::::24H::4uM::CRCGN012::K09::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BRD-K45689979::HEPG2::::24H::40uM::CRCGN012::M13::BRD-K45689979,BRD-K45689979,brd-k45689979,brd-k45689979
L1000,L1000::hexachlorocyclopentadiene::HEPG2::::24H::20uM::CRCGN012::D08::BRD-K38101625,hexachlorocyclopentadiene,brd-k38101625,hexachlorocyclopentadiene
L1000,L1000::vorinostat::HEPG2::::24H::10uM::CRCGN012::K08::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BRD-A08316103::HEPG2::::24H::10uM::CRCGN012::G09::BRD-A08316103,BRD-A08316103,brd-a08316103,brd-a08316103
L1000,L1000::rotenone::HEPG2::::24H::20uM::CRCGN012::G02::BRD-K08316444,rotenone,brd-k08316444,rotenone
L1000,L1000::BRD-K45689979::HEPG2::::24H::20uM::CRCGN012::M14::BRD-K45689979,BRD-K45689979,brd-k45689979,brd-k45689979
L1000,L1000::vorinostat::HEPG2::::24H::2.5uM::CRCGN012::K10::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::bisphenol-a::HEPG2::::24H::1.25uM::CRCGN012::H24::BRD-K41494493,bisphenol-a,brd-k41494493,bisphenol-a
L1000,L1000::hexachlorocyclopentadiene::HEPG2::::24H::10uM::CRCGN012::D09::BRD-K38101625,hexachlorocyclopentadiene,brd-k38101625,hexachlorocyclopentadiene
L1000,L1000::rotenone::HEPG2::::24H::40uM::CRCGN012::G01::BRD-K08316444,rotenone,brd-k08316444,rotenone
L1000,L1000::BRD-K02093472::HEPG2::::24H::40uM::CRCGN012::P07::BRD-K02093472,BRD-K02093472,brd-k02093472,brd-k02093472
L1000,L1000::BRD-K88135829::HEPG2::::24H::4uM::CRCGN012::J21::BRD-K88135829,BRD-K88135829,brd-k88135829,brd-k88135829
L1000,L1000::AT-406::HA1E::::24H::10uM::PBIOA020::I01::BRD-K83030136,AT-406,brd-k83030136,at-406
L1000,L1000::BRD-K81491172::HA1E::::24H::10uM::PBIOA020::M13::BRD-K81491172,BRD-K81491172,brd-k81491172,brd-k81491172
L1000,L1000::KU-55933::HA1E::::24H::10uM::PBIOA020::B07::BRD-K25311561,KU-55933,brd-k25311561,ku-55933
L1000,L1000::vorinostat::HA1E::::24H::10uM::PBIOA020::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::NVP-TAE684::HA1E::::24H::3.33uM::PBIOA020::P02::BRD-K50140147,NVP-TAE684,brd-k50140147,nvp-tae684
L1000,L1000::BRD-K89637195::HA1E::::24H::3.33uM::PBIOA020::L02::BRD-K89637195,BRD-K89637195,brd-k89637195,brd-k89637195
L1000,L1000::NVP-TAE684::HA1E::::24H::1.11uM::PBIOA020::P03::BRD-K50140147,NVP-TAE684,brd-k50140147,nvp-tae684
L1000,L1000::CGP-60474::MCF7::::3H::1.11uM::LJP005::F03::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::LDN-193189::MCF7::::3H::10uM::LJP005::G01::BRD-K04853698,LDN-193189,brd-k04853698,ldn-193189
L1000,L1000::erlotinib::MCF7::::3H::0.37uM::LJP005::M22::BRD-K70401845,erlotinib,brd-k70401845,erlotinib
L1000,L1000::TG-101348::MCF7::::3H::10uM::LJP005::L01::BRD-K12502280,TG-101348,brd-k12502280,tg-101348
L1000,L1000::CGP-60474::MCF7::::3H::0.37uM::LJP005::F04::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::BX-912::MCF7::::3H::10uM::LJP005::L19::BRD-K49669041,BX-912,brd-k49669041,bx-912
L1000,L1000::LDN-193189::MCF7::::3H::3.33uM::LJP005::G02::BRD-K04853698,LDN-193189,brd-k04853698,ldn-193189
L1000,L1000::CGP-60474::MCF7::::3H::10uM::LJP005::F01::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::PF-02545920::MCF10A::::24H::10uM::REP.A009::K19::BRD-K31519811,PF-02545920,brd-k31519811,pf-02545920
L1000,L1000::amlexanox::MCF10A::::24H::10uM::REP.A009::E07::BRD-K29530284,amlexanox,brd-k29530284,amlexanox
L1000,L1000::KX-2391::MCF10A::::24H::1.11uM::REP.A009::F21::BRD-K29968218,KX-2391,brd-k29968218,kx-2391
L1000,L1000::KX-2391::MCF10A::::24H::3.33uM::REP.A009::F20::BRD-K29968218,KX-2391,brd-k29968218,kx-2391
L1000,L1000::bisindolylmaleimide::MCF10A::::24H::3.33uM::REP.A009::B14::BRD-K31342827,bisindolylmaleimide,brd-k31342827,bisindolylmaleimide
L1000,L1000::KX-2391::MCF10A::::24H::0.37uM::REP.A009::F22::BRD-K29968218,KX-2391,brd-k29968218,kx-2391
L1000,L1000::apafant::MCF10A::::24H::10uM::REP.A009::I01::BRD-K28115081,apafant,brd-k28115081,apafant
L1000,L1000::PF-02545920::MCF10A::::24H::0.125uM::REP.A009::K23::BRD-K31519811,PF-02545920,brd-k31519811,pf-02545920
L1000,L1000::bisindolylmaleimide::MCF10A::::24H::0.125uM::REP.A009::B17::BRD-K31342827,bisindolylmaleimide,brd-k31342827,bisindolylmaleimide
L1000,L1000::KX-2391::MCF10A::::24H::10uM::REP.A009::F19::BRD-K29968218,KX-2391,brd-k29968218,kx-2391
L1000,L1000::bisindolylmaleimide::MCF10A::::24H::10uM::REP.A009::B13::BRD-K31342827,bisindolylmaleimide,brd-k31342827,bisindolylmaleimide
L1000,L1000::CGP-60474::LNCAP::::3H::0.37uM::LJP006::G04::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::WZ-4-145::LNCAP::::3H::3.33uM::LJP006::J20::BRD-U61997977,WZ-4-145,brd-u61997977,wz-4-145
L1000,L1000::dasatinib::LNCAP::::3H::10uM::LJP006::I01::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::gefitinib::LNCAP::::3H::3.33uM::LJP006::N08::BRD-K64052750,gefitinib,brd-k64052750,gefitinib
L1000,L1000::BI-2536::LNCAP::::3H::10uM::LJP006::D13::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::alvocidib::LNCAP::::3H::0.04uM::LJP006::A18::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::alvocidib::LNCAP::::3H::0.37uM::LJP006::A16::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::imatinib::LNCAP::::3H::3.33uM::LJP006::N14::BRD-K92723993,imatinib,brd-k92723993,imatinib
L1000,L1000::palbociclib::LNCAP::::3H::1.11uM::LJP006::E15::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::AZD-7762::LNCAP::::3H::1.11uM::LJP006::L03::BRD-K46056750,AZD-7762,brd-k46056750,azd-7762
L1000,L1000::alvocidib::LNCAP::::3H::10uM::LJP006::A13::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::NVP-TAE684::LNCAP::::3H::10uM::LJP006::K13::BRD-K50140147,NVP-TAE684,brd-k50140147,nvp-tae684
L1000,L1000::BI-2536::LNCAP::::3H::3.33uM::LJP006::D14::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::alvocidib::LNCAP::::3H::3.33uM::LJP006::A14::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::PD-173074::LNCAP::::3H::10uM::LJP006::I07::BRD-K97764662,PD-173074,brd-k97764662,pd-173074
L1000,L1000::selumetinib::LNCAP::::3H::3.33uM::LJP006::M08::BRD-K57080016,selumetinib,brd-k57080016,selumetinib
L1000,L1000::saracatinib::LNCAP::::3H::0.04uM::LJP006::D12::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::PI-103::LNCAP::::3H::3.33uM::LJP006::I14::BRD-K67868012,PI-103,brd-k67868012,pi-103
L1000,L1000::CGP-60474::LNCAP::::3H::0.12uM::LJP006::G05::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::XMD-1185H::LNCAP::::3H::0.04uM::LJP006::P24::BRD-U22633929,XMD-1185H,brd-u22633929,xmd-1185h
L1000,L1000::BRD-K93425199::HCC515::::24H::3.33uM::PCL001::J02::BRD-K93425199,BRD-K93425199,brd-k93425199,brd-k93425199
L1000,L1000::BRD-K59023263::HCC515::::24H::10uM::PCL001::I01::BRD-K59023263,BRD-K59023263,brd-k59023263,brd-k59023263
L1000,L1000::BRD-K93425199::HCC515::::24H::10uM::PCL001::J01::BRD-K93425199,BRD-K93425199,brd-k93425199,brd-k93425199
L1000,L1000::BRD-K59023263::HCC515::::24H::3.33uM::PCL001::I02::BRD-K59023263,BRD-K59023263,brd-k59023263,brd-k59023263
L1000,L1000::TG-101209::HCC515::::24H::0.12uM::PCL001::A23::BRD-K39841531,TG-101209,brd-k39841531,tg-101209
L1000,L1000::BRD-K38292946::HCC515::::24H::1.11uM::PCL001::E21::BRD-K38292946,BRD-K38292946,brd-k38292946,brd-k38292946
L1000,L1000::BRD-K91583156::HCC515::::24H::10uM::PCL001::E01::BRD-K91583156,BRD-K91583156,brd-k91583156,brd-k91583156
L1000,L1000::BRD-K45962729::HCC515::::24H::10uM::PCL001::B19::BRD-K45962729,BRD-K45962729,brd-k45962729,brd-k45962729
L1000,L1000::TG-101209::HCC515::::24H::10uM::PCL001::A19::BRD-K39841531,TG-101209,brd-k39841531,tg-101209
L1000,L1000::BRD-K50817946::HCC515::::24H::10uM::PCL001::G19::BRD-K50817946,BRD-K50817946,brd-k50817946,brd-k50817946
L1000,L1000::BRD-A59468452::HCC515::::24H::10uM::PCL001::D13::BRD-A59468452,BRD-A59468452,brd-a59468452,brd-a59468452
L1000,L1000::TG-101209::HCC515::::24H::3.33uM::PCL001::A20::BRD-K39841531,TG-101209,brd-k39841531,tg-101209
L1000,L1000::BRD-K30842649::HCC515::::24H::10uM::PCL001::E07::BRD-K30842649,BRD-K30842649,brd-k30842649,brd-k30842649
L1000,L1000::BRD-K45962729::HCC515::::24H::3.33uM::PCL001::B20::BRD-K45962729,BRD-K45962729,brd-k45962729,brd-k45962729
L1000,L1000::I-BET-151::HCC515::::24H::10uM::PCL001::H19::BRD-K36363294,I-BET-151,brd-k36363294,i-bet-151
L1000,L1000::BRD-K84633118::HCC515::::24H::10uM::PCL001::F01::BRD-K84633118,BRD-K84633118,brd-k84633118,brd-k84633118
L1000,L1000::vorinostat::HCC515::::24H::10uM::PCL001::A03::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::HCC515::::24H::10uM::DOSVAL006::G14::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::HCC515::::24H::20uM::DOSVAL006::G13::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::HCC515::::24H::4uM::DOSVAL006::G15::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::zardaverine::MCF7::::24H::10uM::REP.A013::A19::BRD-K37561857,zardaverine,brd-k37561857,zardaverine
L1000,L1000::BMS-536924::A549::::24H::4uM::PBIOA021::N02::BRD-K34581968,BMS-536924,brd-k34581968,bms-536924
L1000,L1000::BRD-K41723848::A549::::24H::0.125uM::PBIOA021::C05::BRD-K41723848,BRD-K41723848,brd-k41723848,brd-k41723848
L1000,L1000::GO-6976::A549::::24H::0.125uM::PBIOA021::D23::BRD-K59304176,GO-6976,brd-k59304176,go-6976
L1000,L1000::saracatinib::A549::::24H::10uM::PBIOA021::P01::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::vorinostat::A549::::24H::10uM::PBIOA021::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::CYT-387::A549::::24H::3.33uM::PBIOA021::C08::BRD-K87737963,CYT-387,brd-k87737963,cyt-387
L1000,L1000::CYT-387::A549::::24H::10uM::PBIOA021::C07::BRD-K87737963,CYT-387,brd-k87737963,cyt-387
L1000,L1000::BMS-536924::A549::::24H::12uM::PBIOA021::N01::BRD-K34581968,BMS-536924,brd-k34581968,bms-536924
L1000,L1000::BRD-K94199083::SKMEL5::::24H::10uM::EMU001::H13::BRD-K94199083,BRD-K94199083,brd-k94199083,brd-k94199083
L1000,L1000::gefitinib::SKMEL5::::24H::10uM::EMU001::J13::BRD-K64052750,gefitinib,brd-k64052750,gefitinib
L1000,L1000::GDC-0199::SKMEL5::::24H::10uM::EMU001::N19::BRD-K62391742,GDC-0199,brd-k62391742,gdc-0199
L1000,L1000::bosutinib::SKMEL5::::24H::10uM::EMU001::J19::BRD-K99964838,bosutinib,brd-k99964838,bosutinib
L1000,L1000::dasatinib::SKMEL5::::24H::10uM::EMU001::I19::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::bosutinib::SKMEL5::::24H::2.5uM::EMU001::J20::BRD-K99964838,bosutinib,brd-k99964838,bosutinib
L1000,L1000::LCB-03-0110::SKMEL5::::24H::10uM::EMU001::O13::BRD-K11357827,LCB-03-0110,brd-k11357827,lcb-03-0110
L1000,L1000::vorinostat::SKMEL5::::24H::2.5uM::EMU001::O02::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::I-BET-762::SKMEL5::::24H::10uM::EMU001::K19::BRD-K08109215,I-BET-762,brd-k08109215,i-bet-762
L1000,L1000::I-BET-762::SKMEL5::::24H::2.5uM::EMU001::K20::BRD-K08109215,I-BET-762,brd-k08109215,i-bet-762
L1000,L1000::vorinostat::SKMEL5::::24H::0.66uM::EMU001::O03::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::SKMEL5::::24H::10uM::EMU001::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::gossypol::SKMEL5::::24H::10uM::EMU001::M01::BRD-K19295594,gossypol,brd-k19295594,gossypol
L1000,L1000::PF-06465469::SKMEL5::::24H::10uM::EMU001::N07::BRD-K77503770,PF-06465469,brd-k77503770,pf-06465469
L1000,L1000::brequinar::YAPC::::24H::0.74uM::REP.B028::K20::BRD-K96123349,brequinar,brd-k96123349,brequinar
L1000,L1000::brequinar::YAPC::::24H::2.22uM::REP.B028::K19::BRD-K96123349,brequinar,brd-k96123349,brequinar
L1000,L1000::eflornithine::YAPC::::24H::0.01uM::REP.B028::L24::BRD-A96292436,eflornithine,brd-a96292436,eflornithine
L1000,L1000::AZD-7762::HA1E::::24H::3.33uM::PBIOA016::I08::BRD-K86525559,AZD-7762,brd-k86525559,azd-7762
L1000,L1000::BRD-K87550320::HA1E::::24H::10uM::PBIOA016::G01::BRD-K87550320,BRD-K87550320,brd-k87550320,brd-k87550320
L1000,L1000::BRD-K84165644::HA1E::::24H::10uM::PBIOA016::L01::BRD-K84165644,BRD-K84165644,brd-k84165644,brd-k84165644
L1000,L1000::vorinostat::HA1E::::24H::10uM::PBIOA016::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::AZD-7762::HA1E::::24H::1.11uM::PBIOA016::I09::BRD-K86525559,AZD-7762,brd-k86525559,azd-7762
L1000,L1000::trifluoperazine::HA1E::::24H::10uM::PBIOA016::B07::BRD-K89732114,trifluoperazine,brd-k89732114,trifluoperazine
L1000,L1000::BRD-K87550320::HA1E::::24H::3.33uM::PBIOA016::G02::BRD-K87550320,BRD-K87550320,brd-k87550320,brd-k87550320
L1000,L1000::vorinostat::HT29::::24H::4uM::DOSVAL002::G15::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BRD-K77279904::HT29::::24H::20uM::DOSVAL002::B10::BRD-K77279904,BRD-K77279904,brd-k77279904,brd-k77279904
L1000,L1000::vorinostat::HT29::::24H::20uM::DOSVAL002::G13::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::HT29::::24H::10uM::DOSVAL002::G14::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::MEK-162::HT29::::24H::0.37uM::REP.A021::E16::BRD-K82244583,MEK-162,brd-k82244583,mek-162
L1000,L1000::nilotinib::HT29::::24H::10uM::REP.A021::C13::BRD-K81528515,nilotinib,brd-k81528515,nilotinib
L1000,L1000::MEK-162::HT29::::24H::0.04uM::REP.A021::E18::BRD-K82244583,MEK-162,brd-k82244583,mek-162
L1000,L1000::almorexant::HT29::::24H::0.04uM::REP.A021::K24::BRD-K84810405,almorexant,brd-k84810405,almorexant
L1000,L1000::MEK-162::HT29::::24H::10uM::REP.A021::E13::BRD-K82244583,MEK-162,brd-k82244583,mek-162
L1000,L1000::AZD-7762::HT29::::24H::10uM::REP.A021::P07::BRD-K86525559,AZD-7762,brd-k86525559,azd-7762
L1000,L1000::tetrahydrouridine::HT29::::24H::1.11uM::REP.A021::P03::BRD-A86248581,tetrahydrouridine,brd-a86248581,tetrahydrouridine
L1000,L1000::MEK-162::HT29::::24H::0.125uM::REP.A021::E17::BRD-K82244583,MEK-162,brd-k82244583,mek-162
L1000,L1000::MEK-162::HT29::::24H::1.11uM::REP.A021::E15::BRD-K82244583,MEK-162,brd-k82244583,mek-162
L1000,L1000::MEK-162::HT29::::24H::3.33uM::REP.A021::E14::BRD-K82244583,MEK-162,brd-k82244583,mek-162
L1000,L1000::tetrahydrouridine::HT29::::24H::3.33uM::REP.A021::P02::BRD-A86248581,tetrahydrouridine,brd-a86248581,tetrahydrouridine
L1000,L1000::AZD-7762::HT29::::24H::1.11uM::REP.A021::P09::BRD-K86525559,AZD-7762,brd-k86525559,azd-7762
L1000,L1000::AZD-7762::HT29::::24H::3.33uM::REP.A021::P08::BRD-K86525559,AZD-7762,brd-k86525559,azd-7762
L1000,L1000::loratadine::HT29::::24H::0.37uM::REP.A021::G10::BRD-K82795137,loratadine,brd-k82795137,loratadine
L1000,L1000::KX-2391::PC3::::24H::10uM::REP.A009::F19::BRD-K29968218,KX-2391,brd-k29968218,kx-2391
L1000,L1000::chlorambucil::PC3::::24H::0.125uM::REP.A009::D23::BRD-K29458283,chlorambucil,brd-k29458283,chlorambucil
L1000,L1000::KX-2391::PC3::::24H::1.11uM::REP.A009::F21::BRD-K29968218,KX-2391,brd-k29968218,kx-2391
L1000,L1000::temozolomide::PC3::::24H::1.11uM::REP.A009::K03::BRD-K32107296,temozolomide,brd-k32107296,temozolomide
L1000,L1000::ampalex::PC3::::24H::10uM::REP.A009::A13::BRD-K24771047,ampalex,brd-k24771047,ampalex
L1000,L1000::KX-2391::PC3::::24H::0.125uM::REP.A009::F23::BRD-K29968218,KX-2391,brd-k29968218,kx-2391
L1000,L1000::KX-2391::PC3::::24H::3.33uM::REP.A009::F20::BRD-K29968218,KX-2391,brd-k29968218,kx-2391
L1000,L1000::bisindolylmaleimide::PC3::::24H::10uM::REP.A009::B13::BRD-K31342827,bisindolylmaleimide,brd-k31342827,bisindolylmaleimide
L1000,L1000::KX-2391::PC3::::24H::0.37uM::REP.A009::F22::BRD-K29968218,KX-2391,brd-k29968218,kx-2391
L1000,L1000::vorinostat::NPC.177::::24H::10uM::CEGS001::C19::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::ruboxistaurin::NPC.177::::24H::4uM::CEGS001::P15::BRD-K27677357,ruboxistaurin,brd-k27677357,ruboxistaurin
L1000,L1000::valproic-acid::NPC.177::::24H::2500uM::CEGS001::P20::BRD-K41260949,valproic-acid,brd-k41260949,valproic-acid
L1000,L1000::I-BET-151::NPC.177::::24H::0.3uM::CEGS001::H12::BRD-K36363294,I-BET-151,brd-k36363294,i-bet-151
L1000,L1000::tacedinaline::NPC.177::::24H::10uM::CEGS001::G13::BRD-K52313696,tacedinaline,brd-k52313696,tacedinaline
L1000,L1000::ruboxistaurin::NPC.177::::24H::20uM::CEGS001::P13::BRD-K27677357,ruboxistaurin,brd-k27677357,ruboxistaurin
L1000,L1000::vorinostat::NPC.177::::24H::4uM::CEGS001::C20::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::I-BET-151::NPC.177::::24H::10uM::CEGS001::H07::BRD-K36363294,I-BET-151,brd-k36363294,i-bet-151
L1000,L1000::ruboxistaurin::NPC.177::::24H::10uM::CEGS001::P14::BRD-K27677357,ruboxistaurin,brd-k27677357,ruboxistaurin
L1000,L1000::17-AAG::NPC.177::::24H::2.5uM::CEGS001::C03::BRD-K42840900,17-AAG,brd-k42840900,17-aag
