compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score
7105,"6,2'-Dimethoxyflavone; BRD-K41557448",3,0.10846325,0.0004280859,0.020690238,0.1191172,0.052760016,0.00018032842,0.0134286415,0.0463507,0.00013790026,0.00039684866,0.018546324,0.1662507533333333,0.0037527555,0.9818086199999999,0.9986809500000001,0.2813020439061317,0.7186979560938682
7406,"1-[(3S,9S,10S)-9-[[cyclohexylmethyl(methyl)amino]methyl]-12-[(2R)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-(1-naphthalenyl)urea; BRD-K19181733",10,0.108483575,0.00048463637,0.022014456,0.11375916,0.07222116,0.00043364323,0.020824105,0.030789902,2.976915e-06,0.00055668835,0.0107223485,0.20260811099999998,0.0047232183,0.97549921,0.9979481,0.2814534443603331,0.7185465556396669
4850,sulindac,8,0.10850165,0.00035307463,0.018790279,0.11028774,0.058835544,0.00028402684,0.016853096,0.04476205,2.4480114e-05,0.00068107253,0.009535684,0.16944732875,0.009667287,0.9836510125,0.9967756,0.28160484481453446,0.7183951551854655
1725,7-hydroxystaurosporine; Ucn-01,37,0.10851256,0.00027275056,0.016515162,0.110102214,0.06443355,0.00025648487,0.016015146,0.034180634,1.3736266e-05,0.00029075102,0.01968043,0.26132924027027027,0.049665783,0.9529869905405406,0.9829986700000001,0.2817562452687358,0.7182437547312641
1524,meisoindigo,24,0.10852221,0.00054371695,0.023317738,0.10595772,0.067865826,0.00045218776,0.021264706,0.032259867,1.7424853e-05,0.00021175823,0.016708324,0.19358305458333333,0.014370541,0.9789496291666667,0.9950169,0.2819076457229372,0.7180923542770627
902,ANTIMYCIN A (A1 shown); antimycin-a,23,0.108556315,0.0014371361,0.03790958,0.10082675,0.07597631,0.0011865103,0.03444576,0.02681474,1.5401065e-05,0.00032150466,0.011401912,0.20109707886956524,0.03217116,0.97498777,0.9885680700000001,0.2820590461771385,0.7179409538228615
4191,5-chloro-7-iodoquinolin-8-ol; Clioquinol; clioquinol,13,0.10856458,0.001020416,0.03194395,0.091148674,0.06725058,0.0008315279,0.028836226,0.03831902,2.2717615e-05,0.0005856522,0.005755703,0.13099272,0.013294282,0.9873693484615385,0.99662906,0.2822104466313399,0.7177895533686601
1509,"6-(1,3-benzodioxol-5-yl)-N-methyl-N-(thiophen-2-ylmethyl)-4-quinazolinamine; BRD-K59222562",5,0.1085786,0.00019935478,0.0141193075,0.11517274,0.057921696,0.00016199221,0.012727615,0.045734894,1.6194565e-05,0.00010148231,0.009803408,0.180741696,0.013972756999999999,0.984638176,0.99457717,0.28236184708554124,0.7176381529144588
6954,"(3,4-Dimethoxyphenyl)-[1-(2-phenylethyl)-3-piperidinyl]methanone; ARG-TC-41",4,0.10863902,0.00029192292,0.017085752,0.10732678,0.06402403,0.00011669489,0.01080254,0.040353477,4.3040473e-05,0.0008772444,0.008172107,0.1679988325,0.006521387,0.9827462175,0.9975084,0.2825132475397426,0.7174867524602574
5459,Praziquantel; praziquantel,10,0.10866356,0.0007787848,0.027906716,0.10041641,0.07205437,0.0006952315,0.026367242,0.032507695,1.6152277e-05,0.0003216333,0.008074332,0.17776342299999998,0.012616842999999999,0.9776083849999999,0.99706876,0.282664647993944,0.717335352006056
546,Cilengitide; cilengitide,16,0.108665064,0.00051708467,0.022739494,0.10384597,0.05803389,0.00039747657,0.019936815,0.043699037,1.5318285e-05,0.001054887,0.013442312,0.1791462046875,0.016340148,0.9828195025,0.99428403,0.28281604844814534,0.7171839515518547
24110,"1-[(2S,3R)-2-[[cyclopropylmethyl(methyl)amino]methyl]-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-3-naphthalen-1-ylurea; BRD-K14092678",1,0.10868649,0.0,0.0,0.10868649,0.050866317,0.0,0.0,0.04240237,0.0,0.00019205333,0.030758783,0.2726562,0.0050232327,0.95131844,0.9983878,0.2829674489023467,0.7170325510976533
3717,1-(3-Hydroxy-5-(thiophen-2-yl)phenyl)-3-(naphthalen-2-yl)urea; 1-(3-hydroxy-5-thiophen-2-ylphenyl)-3-naphthalen-2-ylurea,2,0.10869467,1.8024914e-05,0.004245573,0.10869467,0.021138301,1.1147776e-05,0.0033388285,0.08407307,4.02619e-05,0.0014473401,0.006387669,0.21819787499999999,0.016777493,1.0,0.99531,0.2831188493565481,0.7168811506434519
3266,"2,2-bis(4-fluorophenyl)-2-phenylacetamide; Senicapoc; senicapoc",7,0.10870553,0.0020310364,0.045067023,0.10512195,0.058860935,0.0014442612,0.038003437,0.04317633,1.9890982e-05,0.0003354988,0.01320233,0.16057337842857144,0.013008006,0.9834999342857144,0.9960428,0.28327024981074944,0.7167297501892506
7528,"1-[(2R,3S)-2-[[(4-chlorophenyl)sulfonyl-methylamino]methyl]-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-10-yl]-3-(4-fluorophenyl)urea; BRD-K27151060",4,0.108724855,0.00020416798,0.014288734,0.106007904,0.08252977,0.00035044135,0.018720077,0.022084896,1.924971e-05,0.00048043308,0.008028191,0.16113236,0.003555631,0.989365785,0.99926716,0.2834216502649508,0.7165783497350492
3203,4-[(4-Amino-5-cyanopyrimidin-2-yl)amino]benzenesulfonamide; 4-[(4-amino-5-cyanopyrimidin-2-yl)amino]benzenesulfonamide,3,0.10873553,2.9830857e-05,0.0054617636,0.1070976,0.020633658,2.7977135e-06,0.0016726365,0.084792994,2.1497746e-05,0.00028650035,0.006503165,0.20729223,0.007052821599999999,0.9905914,0.9980946999999999,0.2835730507191522,0.7164269492808478
1201,"3-[(3,4-dichlorophenyl)methylamino]propyl-(diethoxymethyl)phosphinic acid; CGP-52432; Cgp 52432",2,0.10875876,3.9047933e-08,0.0001976055,0.10875876,0.013615796,9.024497e-09,9.499702e-05,0.092151806,1.695507e-06,0.0001301906,0.0059302477,0.026531968500000003,0.056271713,1.0,0.98358494,0.28372445117335354,0.7162755488266465
1572,"Nvp-saa164; [1-[4-(2,2-diphenylethylamino)-3-(morpholine-4-carbonyl)phenyl]sulfonylpiperidin-4-yl]-(4-methylpiperazin-1-yl)methanone",4,0.10879768,1.1102944e-05,0.0033321085,0.10958344,0.02891351,1.94427e-05,0.004409387,0.0774787,3.982609e-06,0.00030615996,0.0046884716,0.07303303075,0.04618369,1.0,0.9876887,0.2838758516275549,0.7161241483724451
3491,4-Aminopyridine; dalfampridine,1,0.10882578,0.0,0.0,0.10882578,0.046089835,0.0,0.0,0.05597384,0.0,0.00075483427,0.0132222865,0.1502426,0.0029079947,0.9919192,0.9989741,0.2840272520817562,0.7159727479182438
3735,6-[(3R)-3-hydroxypyrrolidin-1-yl]-5-pyrimidin-5-yl-N-[4-(trifluoromethoxy)phenyl]pyridine-3-carboxamide; 6-[(3~{R})-3-oxidanylpyrrolidin-1-yl]-5-pyrimidin-5-yl-~{N}-[4-(trifluoromethyloxy)phenyl]pyridine-3-carboxamide,4,0.108837985,1.9554058e-05,0.0044219955,0.10927181,0.028770965,1.3566442e-05,0.0036832655,0.07713622,5.6522717e-06,0.0007188896,0.0055740625,0.108432791,0.0076936334,0.99375,0.9979481,0.2841786525359576,0.7158213474640425
2749,1-[5-tert-butyl-2-(4-methylphenyl)pyrazol-3-yl]-3-[[5-fluoro-2-[1-(2-hydroxyethyl)indazol-5-yl]oxyphenyl]methyl]urea; Pexmetinib,4,0.10883954,5.5234264e-05,0.0074319774,0.10626419,0.045098007,3.2440228e-05,0.005695633,0.061476942,3.2238588e-06,0.0008109068,0.004204821,0.1584008425,0.02816075,0.9749503725,0.9900337,0.28433005299015895,0.7156699470098411
2683,(2R)-2-[(3R)-3-amino-3-[4-[(2-methylquinolin-4-yl)methoxy]phenyl]-2-oxopyrrolidin-1-yl]-N-hydroxy-4-methylpentanamide; Bms-561392,3,0.108851604,7.1388667e-06,0.0026718676,0.108939484,0.020990571,1.005404e-05,0.0031708102,0.084336214,2.2756838e-07,0.0016214655,0.0064010564,0.23304569666666666,0.03405016,0.9931972833333335,0.9888612,0.2844814534443603,0.7155185465556397
7596,"1-Tert-butyl-5-[(4-fluoro-2,6-dimethylphenyl)methyl]-4-pyrazolo[3,4-d]pyrimidinone; BRD-K04676863",3,0.10886884,0.00012433514,0.011150566,0.1138409,0.054500684,0.00013402307,0.011576834,0.04551673,1.45732865e-05,0.00041356767,0.01753742,0.23216216999999997,0.02219336,0.96493661,0.9925253,0.2846328538985617,0.7153671461014384
11,1-propan-2-yl-4-(4-propan-2-ylphenyl)-6-prop-2-ynoxyquinazolin-2-one; Calcium-Sensing Receptor Antagonists I,4,0.108893976,5.6328077e-05,0.007505202,0.10764149,0.027609736,7.705327e-05,0.008777999,0.07872671,5.777741e-07,0.00012857775,0.005063629,0.12820386050000002,0.028449673,0.974896475,0.9897406,0.28478425435276306,0.715215745647237
4687,trimethadione,4,0.10896832,0.00033891472,0.018409638,0.10178982,0.051931597,0.0003565658,0.018882953,0.05514726,5.443258e-06,0.00062701345,0.0035281214,0.1887852475,0.015997441,0.968272585,0.99472374,0.2849356548069644,0.7150643451930356
24060,Telapristone acetate,1,0.10900444,0.0,0.0,0.10900444,0.073453665,0.0,0.0,0.032217745,0.0,0.00041984615,0.0064981207,0.39316967,0.036310744,0.89862543,0.9869559,0.2850870552611658,0.7149129447388343
2368,(4-amino-2-methylsulfanylpyrimidin-5-yl)methanol; Methioprim,1,0.109004825,0.0,0.0,0.109004825,0.019579826,0.0,0.0,0.08508637,0.0,5.270405e-05,0.0086561665,0.006205869,0.011476884,1.0,0.9967756,0.28523845571536716,0.7147615442846329
8418,BRD-A39415247,11,0.10900793,0.0001689565,0.012998329,0.11069751,0.07130824,0.00015668031,0.012517201,0.027819311,1.3125881e-05,0.00028972726,0.019644875,0.21153509090909092,0.009749129,0.9701652790909091,0.99780154,0.2853898561695685,0.7146101438304315
5255,NPI-2358; Plinabulin,18,0.10901995,0.00048584238,0.022041833,0.10795303,0.0747873,0.00044920266,0.0211944,0.029359072,3.2368338e-05,0.0004648815,0.009561189,0.22283425833333334,0.015799899,0.9690647461111112,0.9954565,0.2855412566237699,0.7144587433762302
2114,"3,5-Dihydroxy-4'-Methoxystilbene-3Beta-D-Glucopyranoside; piceid",1,0.10906036,0.0,0.0,0.10906036,0.0443409,0.0,0.0,0.060903326,0.0,0.00031054945,0.007508059,0.19042091,0.003599516,0.98585856,0.9989741,0.28569265707797126,0.7143073429220288
3025,1-[3-[3-(4-chlorophenyl)propoxy]propyl]piperidine; Pitolisant,5,0.1090819,0.0003713362,0.019270085,0.10012895,0.034539886,0.000246035,0.015685502,0.07132821,9.440415e-06,0.0014864026,0.0058330405,0.144640763,0.0020046886,0.992107642,0.9988275,0.2858440575321726,0.7141559424678274
7700,"6-methyl-N,4-diphenylquinazolin-2-amine; BRD-K88708949",1,0.10909564,0.0,0.0,0.10909564,0.040177293,0.0,0.0,0.061890766,0.0,0.0010855601,0.013620944,0.14544322,0.003950842,0.9939271,0.9983878,0.28599545798637394,0.7140045420136261
4251,(+-)-Tetramisole; tetramisole,5,0.10910698,9.494662e-05,0.0097440565,0.10689895,0.05497116,3.379197e-05,0.005813085,0.05123235,7.778534e-06,0.00038403127,0.005653332,0.211017602,0.023100069,0.95989942,0.99149936,0.2861468584405753,0.7138531415594247
533,(2S)-2-[[(2S)-2-azaniumyl-3-methylbutanoyl]amino]-3-phenylpropanoate; CID 6993119,1,0.109152235,0.0,0.0,0.109152235,0.029204372,0.0,0.0,0.07778673,0.0,0.00030620515,0.0041997926,0.21818872,0.00356587,1.0,0.99824125,0.28629825889477667,0.7137017411052233
977,"(1-methylpiperidin-4-yl) 2,2-diphenyl-2-propoxyacetate; Propiverine",4,0.10915956,0.00019046362,0.013800858,0.10324849,0.0284953,0.00013762132,0.011731211,0.07734902,6.6466787e-06,0.0002504236,0.006530304,0.115130955,0.010101119,1.0,0.9964825,0.28644965934897804,0.713550340651022
7728,"(15R)-10,10-Dimethyl-13-[(2-methylphenyl)methyl]-8,11,13-triazatetracyclo[7.7.0.02,7.011,15]hexadeca-1(9),2,4,6-tetraene-12,14-dione; PSH-012",1,0.10915988,0.0,0.0,0.10915988,0.06317167,0.0,0.0,0.04003978,0.0,0.0011025862,0.01145583,0.18707213,0.02662033,0.97759676,0.99061996,0.2866010598031794,0.7133989401968206
2079,"BRD-K68336408; N-(3-Chlorophenyl)-6,7-dimethoxy-4-quinazolinamine",33,0.109185256,0.00048110425,0.021934088,0.109268755,0.06946508,0.0003260143,0.018055864,0.029418997,4.4089764e-05,0.00058731844,0.020367429,0.18786593515151515,0.0012529639,0.97778106,0.99970686,0.28675246025738077,0.7132475397426192
3546,5-Aza-2'-deoxycytidine; Decitabine,287,0.10919062,0.053823646,0.23199922,0.051823158,0.09171318,0.046313006,0.21520457,0.011860904,0.0003391707,0.0006546646,0.010971187,0.19195888241114983,0.018648729,0.9711560543902438,0.9938443300000002,0.28690386071158214,0.7130961392884179
6397,Totaralolal; totaralolal,1,0.10919556,0.0,0.0,0.10919556,0.03783612,0.0,0.0,0.06504253,0.0,0.0003870074,0.012479013,0.26022467,0.027612709,0.9531568,0.99164593,0.2870552611657835,0.7129447388342165
2451,"(4R)-4-[(3R,5S,7S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid; Ursodeoxycholic Acid",4,0.1091995,0.002007725,0.044807643,0.09168497,0.072831884,0.0011210515,0.033482112,0.031012837,7.124227e-05,0.00051100267,0.010505172,0.2328367475,0.0033484013,0.9546262075,0.9995603,0.28720666161998487,0.7127933383800151
1740,4-(Methylamino)-2-(methylthio)pyrimidine-5-carbaldehyde; 4-(methylamino)-2-methylsulfanylpyrimidine-5-carbaldehyde,1,0.10925527,0.0,0.0,0.10925527,0.01741522,0.0,0.0,0.08647768,0.0,0.00073275797,0.010431634,0.06977464,0.01292039,1.0,0.9963359,0.28735806207418624,0.7126419379258138
901,"(1R,2R)-1-[(3S)-3-hydroxyoctyl]-5-methyl-2,3,3a,4,9,9a-hexahydro-1H-cyclopenta[b]naphthalen-2-ol; treprostinil",7,0.10927756,0.00336803,0.058034725,0.11725235,0.070646524,0.002871136,0.05358298,0.033704706,4.0229952e-05,0.00035532942,0.009710546,0.1796410252857143,0.02913828,0.9831084657142857,0.9909131,0.2875094625283876,0.7124905374716124
7983,"4-Morpholineacetic acid, (5-nitrofurfurylidene)hydrazide; BRD-K67470788",2,0.10928258,0.00014334454,0.01197266,0.10928258,0.06122088,5.465232e-05,0.0073927203,0.03960972,2.772633e-05,0.0008990453,0.016544342,0.192629925,0.0041482984,0.9728038999999999,0.9988275,0.28766086298258897,0.712339137017411
7891,"(2S,3S,4S)-3-[4-[2-(2-fluorophenyl)ethynyl]phenyl]-4-(hydroxymethyl)-2-azetidinecarbonitrile; BRD-K80648041",2,0.10928484,0.00077234843,0.027791157,0.10928484,0.06191241,0.00046221117,0.021499097,0.03782182,5.2698193e-05,0.00014393794,0.019043658,0.18127194000000002,0.021475349,0.977871165,0.9920856,0.2878122634367903,0.7121877365632097
3302,"5-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]imidazole-4-carboxamide; Acadesine",7,0.109296545,0.0013002212,0.036058586,0.10074513,0.03892597,0.0010430663,0.03229654,0.06598396,7.0246074e-06,0.00041413726,0.008607559,0.105895482,0.012479634,0.9933798857142857,0.9967756,0.28796366389099165,0.7120363361090083
3907,"(4-fluorophenyl)-[2-(phenoxymethyl)-6,7-dihydro-4H-[1,3]oxazolo[5,4-c]pyridin-5-yl]methanone; VU0409551",2,0.10934885,6.5484332e-06,0.0025589934,0.10934885,0.028133499,1.4509891e-06,0.00120457,0.07799967,1.4186764e-07,0.00052933797,0.006219645,0.036655285499999996,0.020414826,1.0,0.9925253,0.288115064345193,0.7118849356548069
