compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score,mean_source_normalized_error_z,variance_source_normalized_error_z,std_source_normalized_error_z,median_source_normalized_error_z,n_sources,source_normalized_error_percentile,source_normalized_predictability_score,profile_count_bin
1350,JTC-801; N-(4-amino-2-methylquinolin-6-yl)-2-(4-ethylphenoxymethyl)benzamide; N-(4-amino-2-methylquinolin-6-yl)-2-[(4-ethylphenoxy)methyl]benzamide,25,0.15137093,0.0008654175,0.02941798,0.143879,0.06886597,0.0006735143,0.025952155,0.0753434,4.652439e-05,0.00032492887,0.014193122,0.18176137,0.010755244,0.9799126764,0.9963359,0.6267978803936411,0.3732021196063588,1.1365644521479938,0.46497983366007706,0.6818942980111192,0.9629053100612801,1,0.6828160484481454,0.31718395155185464,20-99
12935,griseofulvin,23,0.15073441,0.0008837968,0.029728716,0.14650625,0.07904754,0.0006746028,0.025973117,0.06322649,4.0567775e-05,0.00069189776,0.016644,0.1696853839130434,0.028417246,0.9832799269565216,0.9907665,0.6221044663133989,0.3778955336866011,1.1274938040671343,0.5420573434391133,0.7362454369563952,1.0238036698964763,3,0.6803936411809235,0.3196063588190765,20-99
1700,(3S)-N-methyl-3-naphthalen-1-yloxy-3-thiophen-2-ylpropan-1-amine; Duloxetine; duloxetine,24,0.15232258,0.00089731166,0.029955149,0.15638715,0.059960727,0.00044666923,0.021134553,0.08342079,6.980077e-05,0.0004920995,0.017685264,0.1656912849583333,0.010156599,0.98235724,0.9967756,0.6334595003785012,0.3665404996214988,1.1270989376450322,0.5704503295288579,0.7552816226606192,1.2528380608739589,2,0.6800908402725209,0.31990915972747913,20-99
4023,"14,15-diazatetracyclo[7.6.1.02,7.013,16]hexadeca-1(15),2,4,6,9(16),10,12-heptaen-8-one; anthra(1,9-cd)pyrazol-6(2H)-one; pyrazolanthrone",20,0.14989121,0.0006009753,0.024514798,0.14495035,0.081617385,0.00045702513,0.021378145,0.06166347,5.5877306e-05,0.00064781326,0.012961592,0.19902131,0.024372054,0.977102674,0.9909131,0.6175624526873581,0.3824375473126419,1.1022654145648085,0.3228977645323146,0.5682409388035278,0.9877385590165138,1,0.6734292202876608,0.32657077971233917,20-99
2092,Adapalene; adapalene,22,0.14719564,0.0005215478,0.02283742,0.14362021,0.06738686,0.00038975407,0.01974219,0.07247771,6.437696e-05,0.0005169423,0.014455366,0.2066836306363636,0.013555684,0.9733102040909092,0.9950169,0.5981831945495837,0.4018168054504163,1.039783506142964,0.2802221921360905,0.5293601724120266,0.9569066854379096,1,0.6554125662376987,0.3445874337623013,20-99
5271,Rimantadine; rimantadine,30,0.1470396,0.00074031553,0.027208738,0.1434046,0.08556446,0.00067822577,0.026042767,0.051533204,2.8225535e-05,0.00041973632,0.019716002,0.232973594,0.010641907,0.9658589926666666,0.9969222,0.59666919000757,0.40333080999243,1.0361666260888247,0.39776371509993624,0.630685115648004,0.9519088360304049,1,0.653898561695685,0.34610143830431495,20-99
5242,"3-(Acetoxyimino)-5-chloro-1-(2,5-dichlorobenzyl)indolin-2-one; LDN-57444",31,0.14618176,0.0007615474,0.027596146,0.14075668,0.08198837,0.0005771883,0.024024742,0.054214828,4.6820885e-05,0.0001497533,0.019897226,0.2428246254838709,0.022578107,0.9617170016129032,0.99223214,0.5913701741105223,0.4086298258894777,1.0162822929816893,0.4091714139550134,0.6396650795181908,0.8905314716825073,1,0.647993943981832,0.35200605601816803,20-99
5138,Sivelestat (sodium tetrahydrate); Sivelestat Sodium,140,0.055870887,9.851478e-05,0.009925461,0.055296287,0.034021318,9.674427e-05,0.009835868,0.016174892,4.2296865e-06,0.00025682076,0.01124662,0.1418507200642857,0.02521142,0.9824066037142856,0.9923787,0.0414837244511733,0.9585162755488268,1.0134086867966783,0.6827488496417117,0.8262861790213556,0.9655736445786743,1,0.646782740348221,0.35321725965177897,100+
5511,Lactate (calcium),140,0.055808358,0.00012659752,0.011251556,0.054748535,0.03389334,0.000113560694,0.010656485,0.018236196,2.981037e-06,0.0003218676,0.0072289007,0.1789103057285714,0.008320081,0.974043765357143,0.9980947,0.0413323239969719,0.958667676003028,1.0082033144277696,0.8773740295489165,0.9366824592939256,0.9199739240311358,1,0.6452687358062075,0.35473126419379253,100+
1837,Mibefradil; mibefradil,32,0.14580503,0.0009788688,0.03128688,0.14937979,0.09492314,0.0005885131,0.024259286,0.045069832,0.00010928417,0.00053008564,0.011412091,0.1811166535625,0.047988117,0.9809165265625,0.98549026,0.5892505677517033,0.4107494322482967,1.0075498047935623,0.5259360358740008,0.7252144757752708,1.0904111423122829,1,0.6451173353520061,0.3548826646479939,20-99
2252,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one; PD-98059,28,0.25028077,0.023182027,0.15225646,0.15891118,0.17013457,0.021893598,0.14796485,0.07178409,4.4752047e-05,0.0005663012,0.016497666,0.3370847489285714,0.016323067,0.9196850167857143,0.9956031,0.9612414837244512,0.0387585162755488,0.9566649091449398,0.6154161117074025,0.7844846153414371,1.0955179354028117,2,0.6293716881150644,0.3706283118849356,20-99
1335,CCT-018159; Cct-018159,22,0.14292262,0.00067985174,0.02607397,0.14123103,0.07383109,0.0004731024,0.02175092,0.062035933,5.4477205e-05,0.00052875053,0.013899719,0.2127068931818181,0.02006319,0.9703207886363636,0.99311155,0.5648750946252838,0.4351249053747161,0.9407371407306194,0.3652773719832855,0.6043818097720063,0.9015267867380312,1,0.6248296744890235,0.3751703255109765,20-99
2632,Ellipticine; ellipticine,27,0.14271896,0.0013983828,0.037394952,0.14423166,0.07630908,0.0009557824,0.03091573,0.060176317,8.9495705e-05,0.00043048736,0.012294922,0.2363250525925926,0.008381563,0.9606588325925928,0.9969222,0.5635124905374717,0.4364875094625283,0.9400048524168504,0.7415828972867383,0.8611520755863846,0.9710797950092221,2,0.6246782740348221,0.3753217259651779,20-99
110,Rociletinib; rociletinib,24,0.14264432,0.0012279437,0.035042025,0.14366372,0.08040368,0.00077554496,0.027848609,0.05279724,8.756641e-05,0.0007773613,0.018575853,0.1687263125,0.008514399,0.9875239220833332,0.9975084,0.5627554882664648,0.4372445117335352,0.9342859880352439,0.6597612767280475,0.8122569031581373,0.9579152257886293,1,0.6234670704012112,0.3765329295987888,20-99
5201,Noradrenaline hydrochloride; Norepinephrine (hydrochloride),144,0.054711405,0.00014383707,0.011993209,0.053574014,0.038076807,0.00013529307,0.011631553,0.014506315,3.6639801e-06,0.00018382784,0.0041830335,0.1667447867152777,0.0033111186,0.9768938553472224,0.9985344,0.040121120363361,0.9598788796366388,0.9168828219035391,0.9968512867374009,0.9984244021143518,0.8221960936753984,1,0.6172596517789554,0.38274034822104464,100+
