compound_embedding_row_index,compound_name,n_profiles,source_normalized_inverted_score
5157,Lidocaine (hydrochloride); Lidocaine Hydrochloride,144,0.8302608540003444
4096,Daidzin,139,0.829783808724514
5528,"Benzo(g)-1,3-benzodioxolo(5,6-a)quinolizinium, 5,6-dihydro-9,10-dimethoxy-, chloride, monohydrate; Berberine (chloride hydrate)",143,0.8295599693734903
5530,S-Adenosyl-L-methionine (disulfate tosylate),144,0.8292304861724615
3760,Larotrectinib,144,0.8264183048412858
4076,"5-Fluorouracil; 5-fluoro-1H-pyrimidine-2,4-dione",140,0.8237664684336884
1838,2-[(E)-[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine; Fluvoxamine,149,0.8830746239288929
5146,"2-Pyridinamine, 3-((1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy)-5-(1-(4-piperidinyl)-1H-pyrazol-4-yl)-, hydrochloride (1:1); Crizotinib (hydrochloride)",143,0.8234210930354176
5526,2-chloro-10-(4-methoxybenzoyl)-10H-phenothiazine; Tubulin inhibitor 6,138,0.8206123267716365
4,Quinestrol,144,0.8194200984351298
5532,"2-((3,4-Bis((4-fluorobenzyl)oxy)benzyl)amino)ethanol hydrochloride; XRK3F2",142,0.8181305187528762
5533,L-Thyroxine (sodium salt pentahydrate); Levothyroxine sodium pentahydrate,142,0.8179826096760778
5216,Larotrectinib Sulfate; Larotrectinib sulfate,138,0.8174871348866299
5139,Ralimetinib Mesylate; Ralimetinib dimesylate,142,0.817480076304851
1834,Artemether,139,0.8171311224957775
5151,Pravastatin (sodium); Pravastatin Sodium,140,0.8157990282465267
721,Methylprednisolone Succinate; Methylprednisolone succinate,137,0.8157656710755613
635,Voriconazole,140,0.8284960736263347
2900,Radotinib,141,0.8143096599157319
5527,(+)-Isocorydine; Isocorydine,146,0.8262110069199559
847,Orlistat,149,0.8676744024138334
322,Finasteride,150,0.8853915010800768
5148,Tofacitinib (citrate); Tofacitinib Citrate,141,0.8118347578203711
5173,Pralsetinib,144,0.8115751293265666
2736,AZD-7648; Azd-7648,140,0.8112554796639062
767,Posaconazole,137,0.8095602259225821
732,Elimusertib; Elimusertib hydrochloride,144,0.8077422719169107
