feature_index,feature_name
284,parsed_cell_line_C-33 A
285,parsed_cell_line_C32
286,parsed_cell_line_CD34
287,parsed_cell_line_CFPAC-1
288,parsed_cell_line_CHP-212
289,parsed_cell_line_CL34
290,parsed_cell_line_COLO 205
291,parsed_cell_line_CORL23
292,parsed_cell_line_COV644
293,parsed_cell_line_DV90
294,parsed_cell_line_EFO27
295,parsed_cell_line_FIBRNPC
296,parsed_cell_line_H1299
297,parsed_cell_line_H4
298,parsed_cell_line_HA1E
299,parsed_cell_line_HAP1
300,parsed_cell_line_HAP1.BRD4
301,parsed_cell_line_HAP1.CDK4
302,parsed_cell_line_HAP1.HDAC5
303,parsed_cell_line_HAP1.ITGA4
304,parsed_cell_line_HAP1.MAPK8
305,parsed_cell_line_HAP1.PIK3CA
306,parsed_cell_line_HAP1.PRKACA
307,parsed_cell_line_HAP1.PRKCQ
308,parsed_cell_line_HAP1.RELA
309,parsed_cell_line_HAP1.SRC
310,parsed_cell_line_HAP1.TP53
311,parsed_cell_line_HBL1
312,parsed_cell_line_HCC15
313,parsed_cell_line_HCC515
314,parsed_cell_line_HCT116
315,parsed_cell_line_HCT116.TP53.HR
316,parsed_cell_line_HCT116.TP53.M
317,parsed_cell_line_HCT116.WT
318,parsed_cell_line_HCT15
319,parsed_cell_line_HEC-1-A
320,parsed_cell_line_HEC108
321,parsed_cell_line_HEK293
322,parsed_cell_line_HEK293T
323,parsed_cell_line_HELA
324,parsed_cell_line_HEPG2
325,parsed_cell_line_HFL1
326,parsed_cell_line_HIMG001
327,parsed_cell_line_HIMG002
328,parsed_cell_line_HL60
329,parsed_cell_line_HME1
330,parsed_cell_line_HMELZ
331,parsed_cell_line_HOP62
332,parsed_cell_line_HPTEC
333,parsed_cell_line_HS-578T
334,parsed_cell_line_HS578T
335,parsed_cell_line_HT-29
336,parsed_cell_line_HT115
337,parsed_cell_line_HT29
338,parsed_cell_line_HUES3
339,parsed_cell_line_HUH7
340,parsed_cell_line_HUVEC
341,parsed_cell_line_HUVEC.A
342,parsed_cell_line_HepG2/C3A
343,parsed_cell_line_Hs 766T
344,parsed_cell_line_IMR90
345,parsed_cell_line_J82
346,parsed_cell_line_JHUEM2
347,parsed_cell_line_JURKAT
348,parsed_cell_line_K562
349,parsed_cell_line_KATO III
350,parsed_cell_line_KMS34
351,parsed_cell_line_LNCAP
352,parsed_cell_line_LOVO
353,parsed_cell_line_LOX-IMVI
354,parsed_cell_line_LS 180
355,parsed_cell_line_LoVo
356,parsed_cell_line_MCF10A
357,parsed_cell_line_MCF10A.BRCA1.HD
358,parsed_cell_line_MCF10A.EGFR.HL
359,parsed_cell_line_MCF10A.KRAS.HG
360,parsed_cell_line_MCF10A.PIK3CA.HH
361,parsed_cell_line_MCF10A.TP53.M
362,parsed_cell_line_MCF10A.TP53.M.KRAS.HG
363,parsed_cell_line_MCF10A.WT
364,parsed_cell_line_MCF10A.WT.HP
365,parsed_cell_line_MCF10A.WTLP
366,parsed_cell_line_MCF7
367,parsed_cell_line_MDAMB231
368,parsed_cell_line_MDST8
369,parsed_cell_line_MIA PaCa-2
370,parsed_cell_line_MINO
371,parsed_cell_line_MNEU.E
372,parsed_cell_line_NALM6
373,parsed_cell_line_NCI-H1573
374,parsed_cell_line_NCI-H1792
375,parsed_cell_line_NCI-H2030
376,parsed_cell_line_NCI-H2122
377,parsed_cell_line_NCI-H23
378,parsed_cell_line_NCI-H2347
379,parsed_cell_line_NCI-H460
380,parsed_cell_line_NCI-H661
381,parsed_cell_line_NCIH1694
382,parsed_cell_line_NCIH1836
383,parsed_cell_line_NCIH2073
384,parsed_cell_line_NCIH508
385,parsed_cell_line_NCIH596
386,parsed_cell_line_NEU
387,parsed_cell_line_NKDBA
388,parsed_cell_line_NL20
389,parsed_cell_line_NOMO1
390,parsed_cell_line_NPC
391,parsed_cell_line_NPC.170
392,parsed_cell_line_NPC.177
393,parsed_cell_line_NPC.179
394,parsed_cell_line_NPC.215
395,parsed_cell_line_NPC.8330
396,parsed_cell_line_NPC.CAS9
397,parsed_cell_line_NPC.TAK
398,parsed_cell_line_OCILY10
399,parsed_cell_line_OCILY19
400,parsed_cell_line_OCILY3
401,parsed_cell_line_OV7
402,parsed_cell_line_P1A82
403,parsed_cell_line_PANC-1
404,parsed_cell_line_PC3
405,parsed_cell_line_PHH
406,parsed_cell_line_PHH.MGH
407,parsed_cell_line_PL21
408,parsed_cell_line_Panc 03.27
409,parsed_cell_line_RKO
410,parsed_cell_line_RMGI
411,parsed_cell_line_RMUGS
412,parsed_cell_line_RPMI-7951
413,parsed_cell_line_SHP-77
414,parsed_cell_line_SHSY5Y
415,parsed_cell_line_SK-MEL-2
416,parsed_cell_line_SKB
417,parsed_cell_line_SKBR3
418,parsed_cell_line_SKL
419,parsed_cell_line_SKL.C
420,parsed_cell_line_SKLU1
421,parsed_cell_line_SKM1
422,parsed_cell_line_SKMEL1
423,parsed_cell_line_SKMEL28
424,parsed_cell_line_SKMEL5
425,parsed_cell_line_SKNSH
426,parsed_cell_line_SNGM
427,parsed_cell_line_SNU-1
428,parsed_cell_line_SNU-423
429,parsed_cell_line_SNU1040
430,parsed_cell_line_SNUC4
431,parsed_cell_line_SNUC5
432,parsed_cell_line_SW 1088
433,parsed_cell_line_SW 1271
434,parsed_cell_line_SW 900
435,parsed_cell_line_SW1417
436,parsed_cell_line_SW48
437,parsed_cell_line_SW480
438,parsed_cell_line_SW620
439,parsed_cell_line_SW948
440,parsed_cell_line_T3M10
441,parsed_cell_line_THP1
442,parsed_cell_line_TMD8
443,parsed_cell_line_TYKNU
444,parsed_cell_line_U2OS
445,parsed_cell_line_U937
446,parsed_cell_line_VCAP
447,parsed_cell_line_WA09.AST
448,parsed_cell_line_WI38
449,parsed_cell_line_WSUDLCL2
450,parsed_cell_line_XC.L10
451,parsed_cell_line_XC.P026
452,parsed_cell_line_XC.P031
453,parsed_cell_line_XC.P033
454,parsed_cell_line_XC.P091
455,parsed_cell_line_XC.P092
456,parsed_cell_line_XC.P901
457,parsed_cell_line_XC.P904
458,parsed_cell_line_XC.P905
459,parsed_cell_line_XC.P906
460,parsed_cell_line_XC.P907
461,parsed_cell_line_XC.P908
462,parsed_cell_line_XC.P909
463,parsed_cell_line_XC.P910
464,parsed_cell_line_XC.P911
465,parsed_cell_line_XC.P912
466,parsed_cell_line_XC.P914
467,parsed_cell_line_XC.P915
468,parsed_cell_line_XC.P922
469,parsed_cell_line_XC.P930
470,parsed_cell_line_XC.P931
471,parsed_cell_line_XC.P932
472,parsed_cell_line_XC.P933
473,parsed_cell_line_XC.P934
474,parsed_cell_line_XC.P935
475,parsed_cell_line_XC.P936
476,parsed_cell_line_XC.R10
477,parsed_cell_line_YAPC
478,parsed_cell_line_hTERT-HPNE
479,parsed_cell_line_homo sapiens
480,parsed_cell_line_human
481,parsed_cell_line_mouse
482,parsed_cell_line_mus musculus
483,parsed_cell_line_ssMCF7
484,parsed_time_12H
485,parsed_time_12h
486,parsed_time_24H
487,parsed_time_24h
488,parsed_time_2H
489,parsed_time_3H
490,parsed_time_48H
491,parsed_time_4H
492,parsed_time_6H
493,parsed_time_6h
494,parsed_time_72H
495,parsed_time_72h
496,parsed_time_unknown
497,parsed_dose_0.001uM
498,parsed_dose_0.002uM
499,parsed_dose_0.004uM
500,parsed_dose_0.01uM
501,parsed_dose_0.025uM
502,parsed_dose_0.02uM
503,parsed_dose_0.03uM
504,parsed_dose_0.04uM
505,parsed_dose_0.05uM
506,parsed_dose_0.06uM
507,parsed_dose_0.08uM
508,parsed_dose_0.125uM
509,parsed_dose_0.12uM
510,parsed_dose_0.1uM
511,parsed_dose_0.22uM
512,parsed_dose_0.25uM
513,parsed_dose_0.2uM
514,parsed_dose_0.37uM
515,parsed_dose_0.3uM
516,parsed_dose_0.5uM
517,parsed_dose_0.66uM
518,parsed_dose_0.74uM
519,parsed_dose_1.11uM
520,parsed_dose_1.25uM
521,parsed_dose_1.67uM
522,parsed_dose_10.2uM
523,parsed_dose_10.4uM
524,parsed_dose_10.5uM
525,parsed_dose_10.6uM
526,parsed_dose_10.8uM
527,parsed_dose_100000uM
528,parsed_dose_10000uM
529,parsed_dose_1000uM
530,parsed_dose_100nM
531,parsed_dose_100uM
532,parsed_dose_10mM
533,parsed_dose_10nM
534,parsed_dose_10uM
535,parsed_dose_10µM
536,parsed_dose_11.2uM
537,parsed_dose_11.4uM
538,parsed_dose_11.5uM
539,parsed_dose_11.6uM
540,parsed_dose_11.8uM
541,parsed_dose_11uM
542,parsed_dose_12.2uM
543,parsed_dose_12.4uM
544,parsed_dose_12.5uM
545,parsed_dose_12.6uM
546,parsed_dose_12.8uM
547,parsed_dose_125uM
548,parsed_dose_12uM
549,parsed_dose_13.2uM
550,parsed_dose_13.4uM
551,parsed_dose_13.6uM
552,parsed_dose_13.8uM
553,parsed_dose_13uM
554,parsed_dose_14.2uM
555,parsed_dose_14.4uM
556,parsed_dose_14.6uM
557,parsed_dose_14.8uM
558,parsed_dose_14uM
559,parsed_dose_15.2uM
560,parsed_dose_15.4uM
561,parsed_dose_15.6uM
562,parsed_dose_15.8uM
563,parsed_dose_150uM
564,parsed_dose_15uM
565,parsed_dose_16.2uM
566,parsed_dose_16.4uM
567,parsed_dose_16.6uM
568,parsed_dose_16.8uM
569,parsed_dose_16uM
570,parsed_dose_17.2uM
571,parsed_dose_17.4uM
572,parsed_dose_17.6uM
573,parsed_dose_17.8uM
574,parsed_dose_17uM
575,parsed_dose_18.2uM
576,parsed_dose_18.4uM
577,parsed_dose_18.6uM
578,parsed_dose_18.8uM
579,parsed_dose_18uM
580,parsed_dose_19.2uM
581,parsed_dose_19.4uM
582,parsed_dose_19.6uM
583,parsed_dose_19.8uM
584,parsed_dose_19uM
585,parsed_dose_1mM
586,parsed_dose_1uM
587,parsed_dose_1µM
588,parsed_dose_2.22uM
589,parsed_dose_2.4uM
590,parsed_dose_2.5uM
591,parsed_dose_2.6uM
592,parsed_dose_2.8uM
593,parsed_dose_20.2uM
594,parsed_dose_20.4uM
595,parsed_dose_20.6uM
596,parsed_dose_20.8uM
597,parsed_dose_200uM
598,parsed_dose_20uM
599,parsed_dose_21.2uM
600,parsed_dose_21.4uM
601,parsed_dose_21.8uM
602,parsed_dose_21uM
603,parsed_dose_22.2uM
604,parsed_dose_22.4uM
605,parsed_dose_22.6uM
606,parsed_dose_22.8uM
607,parsed_dose_22.9uM
608,parsed_dose_22uM
609,parsed_dose_23.2uM
610,parsed_dose_23.4uM
611,parsed_dose_23.6uM
612,parsed_dose_23.8uM
613,parsed_dose_23uM
614,parsed_dose_24.2uM
615,parsed_dose_24.4uM
616,parsed_dose_24.6uM
617,parsed_dose_24uM
618,parsed_dose_25.2uM
619,parsed_dose_25.8uM
620,parsed_dose_2500uM
621,parsed_dose_25uM
622,parsed_dose_27uM
623,parsed_dose_28.2uM
624,parsed_dose_28.4uM
625,parsed_dose_28uM
626,parsed_dose_29.2uM
627,parsed_dose_2uM
628,parsed_dose_3.2uM
629,parsed_dose_3.33uM
630,parsed_dose_3.4uM
631,parsed_dose_3.6uM
632,parsed_dose_30.4uM
633,parsed_dose_30uM
634,parsed_dose_31uM
635,parsed_dose_32.4uM
636,parsed_dose_320000uM
637,parsed_dose_3200uM
638,parsed_dose_320uM
639,parsed_dose_39.2uM
640,parsed_dose_3uM
641,parsed_dose_4.2uM
642,parsed_dose_4.4uM
643,parsed_dose_4.6uM
644,parsed_dose_4.8uM
645,parsed_dose_40uM
646,parsed_dose_4uM
647,parsed_dose_5.0uM
648,parsed_dose_5.2uM
649,parsed_dose_5.4uM
650,parsed_dose_5.6uM
651,parsed_dose_5.8uM
652,parsed_dose_5000uM
653,parsed_dose_500nM
654,parsed_dose_50uM
655,parsed_dose_5uM
656,parsed_dose_6.2uM
657,parsed_dose_6.4uM
658,parsed_dose_6.66uM
659,parsed_dose_6.6uM
660,parsed_dose_6.8uM
661,parsed_dose_60uM
662,parsed_dose_6uM
663,parsed_dose_7.2uM
664,parsed_dose_7.4uM
665,parsed_dose_7.6uM
666,parsed_dose_7.8uM
667,parsed_dose_70uM
668,parsed_dose_7uM
669,parsed_dose_8.2uM
670,parsed_dose_8.4uM
671,parsed_dose_8.6uM
672,parsed_dose_8.8uM
673,parsed_dose_80uM
674,parsed_dose_8uM
675,parsed_dose_9.2uM
676,parsed_dose_9.4uM
677,parsed_dose_9.6uM
678,parsed_dose_9.8uM
679,parsed_dose_90uM
680,parsed_dose_9uM
681,parsed_dose_unknown
