source,n_profiles,mean_total_error,median_total_error,mean_signature_error,mean_source_normalized_error,std_total_error
rummageo,1832,0.33849553151692136,0.232274195,0.2890221871629367,1.2629392922045994e-16,0.3405761954583538
sciplex,1274,0.2801220419301413,0.25574164,0.23077771615227627,1.742893288265552e-17,0.12311575017127085
creeds,460,0.17804935752173912,0.12422567500000001,0.11692664324782609,1.3696773184234268e-17,0.911994757761894
novartis,4554,0.12269743469828723,0.10878623800000001,0.045157295509595956,-1.0522008287839648e-16,0.0721649831590515
deepcovermoa,339,0.1096835838318584,0.10654586,0.04086176131268437,1.0226169304991301e-16,0.04942154515264581
L1000,60964,0.10233776666129192,0.093242188,0.06614797196196937,-2.460878427089917e-16,0.04314155598130866
cmap-build02,3945,0.1000195903460076,0.09724959,0.04864812346920152,3.9343264598883877e-17,0.03929933539975642
tahoe-100m,39606,0.04369768401150079,0.0424657285,0.031457378012089074,-3.533394239610185e-16,0.012012135017997756
