compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score,mean_source_normalized_error_z,variance_source_normalized_error_z,std_source_normalized_error_z,median_source_normalized_error_z,n_sources,source_normalized_error_percentile,source_normalized_predictability_score,profile_count_bin,raw_error_inverted_score,source_normalized_inverted_score
1911,"(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-(2-oxopropyl)-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone; FK-1706",2,0.030199103,1.1943988e-06,0.0010928849,0.030199103,0.0152408285,1.7618942e-06,0.0013273637,0.012122251,9.07824e-07,0.00012174152,0.005623349,0.049115539,0.02402925,1.0,0.9956031,0.0001514004542013,0.9998485995457986,-1.2817619938249143,0.0002293482643308,0.0151442485561638,-1.2817619938249143,1,0.0001514004542013,0.9998485995457986,2-4,1.0,1.0
2536,"Emate; [(8R,9S,13S,14S)-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl] sulfamate",2,0.03296748,1.8259527e-05,0.0042731175,0.03296748,0.017885571,4.588207e-05,0.00677363,0.012870694,3.201538e-06,0.00046111035,0.0042379824,0.0521286834999999,0.011984442,1.0,0.9960428,0.0003028009084027,0.9996971990915972,-1.2434002028452298,0.0035061988016139,0.0592131640905462,-1.2434002028452298,1,0.0003028009084027,0.9996971990915972,2-4,1.0,1.0
3116,"5-[(5-chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)methyl]-N-[[6-(trifluoromethyl)pyridin-3-yl]methyl]pyridin-2-amine; Pexidartinib",1,0.03308677,0.0,0.0,0.03308677,0.018454915,0.0,0.0,0.0070081875,0.0,0.00011248403,0.015202343,0.038353767,0.017385561,1.0,0.9932581,0.000454201362604,0.999545798637396,-1.2417471850687678,0.0,0.0,-1.2417471850687678,1,0.000454201362604,0.999545798637396,1,1.0,1.0
761,"Halobetasol Propionate; [(6S,8S,9R,10S,11S,13S,14S,16S,17R)-17-(2-chloroacetyl)-6,9-difluoro-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate",4,0.034145623,2.616186e-05,0.0051148664,0.033607755,0.016936142,1.7239752e-05,0.004152078,0.012826294,4.7378717e-07,0.00017356196,0.008696952,0.1853606925,0.020621253,0.99271845,0.99369776,0.0006056018168054,0.9993943981831944,-1.227074507910841,0.005023605471857,0.0708773974681427,-1.2345278249692615,1,0.0006056018168054,0.9993943981831944,2-4,1.0,1.0
5185,Doxorubicin (hydrochloride); Doxorubicin Hydrochloride; Epirubicin (hydrochloride); Epirubicin Hydrochloride,280,0.035060328,0.00010290772,0.010144345,0.03337767,0.026342776,9.6453114e-05,0.009821054,0.0038626266,4.873465e-07,8.637833e-05,0.0096753,0.1832299974142857,0.0057315817,0.9738846024642858,0.99868095,0.0007570022710068,0.9992429977289932,-0.7190525267622662,0.7131939388849619,0.8445081046887365,-0.8591322438549295,1,0.0252838758516275,0.9747161241483724,100+,1.0,0.9692649107618267
5134,Idarubicin (hydrochloride); Idarubicin Hydrochloride,142,0.035563786,8.005203e-05,0.008947181,0.034379695,0.027919438,7.611443e-05,0.00872436,0.0046255193,5.647963e-07,0.00010598657,0.005995262,0.1312535630070422,0.008396865,0.987940145,0.9975084,0.0009084027252081,0.9990915972747918,-0.677140165072951,0.5547943309348838,0.7448451724586015,-0.7757146416968894,1,0.0327024981074943,0.9672975018925056,100+,1.0,0.9608134329099811
5547,"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-15,30-diethyl-33-[(E,1R,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,19,25,28-octamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone; Cyclosporin V",4,0.036086474,0.000106541695,0.010321904,0.031326596,0.015834281,8.855498e-05,0.0094103655,0.014510722,6.2300563e-07,0.00050071604,0.011282653,0.058382802,0.010504993,0.99780701,0.99824125,0.0010598031794095,0.9989401968205904,-1.2001798678092508,0.0204581593622525,0.1430320221567622,-1.2661381559101326,1,0.0007570022710068,0.9992429977289932,2-4,1.0,1.0
5150,Doxycycline (monohydrate); Invertin,139,0.03643017,9.426315e-05,0.0097089205,0.03616372,0.024623841,8.051736e-05,0.008973149,0.0061192396,1.7158272e-06,0.00019946301,0.011294396,0.1640526409352518,0.039728098,0.9765747777697844,0.9853437,0.0012112036336109,0.9987887963663892,-0.6050142261773588,0.6532832223501548,0.8082593781393166,-0.6271960813138265,1,0.0464799394398183,0.9535200605601816,100+,1.0,0.946269495261269
5137,Docetaxel (Trihydrate); Docetaxel Trihydrate,136,0.036664996,0.000105826664,0.01028721,0.034693435,0.026756767,9.740533e-05,0.009869412,0.0051512364,7.297209e-07,0.00014802568,0.009454779,0.1669813834191176,0.009997434,0.9790762863235294,0.99721533,0.0013626040878122,0.9986373959121876,-0.5854650429184047,0.7334234866043531,0.8564014751297158,-0.7495962206560065,1,0.050113550340651,0.949886449659349,100+,1.0,0.942327472366939
3111,Temuterkib,143,0.036769375,0.000120321645,0.010969122,0.035419535,0.028988315,0.0001262751,0.011237216,0.0053253025,1.2137752e-06,0.0004312057,0.0047390363,0.1300000077272727,0.0743816,0.9859007486713288,0.9765499,0.0015140045420136,0.9984859954579864,-0.5767756715928808,0.8338795254392574,0.9131700419085468,-0.6891488481521105,1,0.051778955336866,0.948221044663134,100+,1.0,0.9405752917132096
611,Silodosin,135,0.036897227,0.00016414441,0.012811885,0.034347214,0.02429092,0.00013250268,0.011510981,0.0062726676,9.803953e-07,0.00026854288,0.012559865,0.1819202504148148,0.03961927,0.9728280708148148,0.9863696,0.0016654049962149,0.998334595003785,-0.586386060817777,1.0944336358254785,1.0461518225503783,-0.7942163484848177,2,0.0495079485238455,0.9504920514761545,100+,1.0,0.9425131923326951
2020,Erdafitinib,138,0.037073098,9.6505144e-05,0.009823703,0.03636059,0.026791297,0.00010494712,0.01024437,0.005714767,1.3832687e-06,0.00043374393,0.008960573,0.1420642913840579,0.0053257374,0.9847994442028986,0.9991206,0.0018168054504163,0.9981831945495836,-0.5514911350349709,0.6688212049330317,0.8178148964973869,-0.6108068632684893,1,0.0584405753217259,0.941559424678274,100+,1.0,0.9354767553363432
6017,4-Aminobenzamide; 4-aminobenzamide,4,0.037383668,1.1114687e-05,0.0033338699,0.035899203,0.010677181,5.7214565e-06,0.0023919565,0.02357199,1.3201039e-06,0.0005382741,0.0060536824,0.11787381075,0.0015780899,0.9871794875,0.9994137,0.0019682059046177,0.9980317940953825,-1.182204480811086,0.0021342450683264,0.0461978903016844,-1.2027749040969646,1,0.0009084027252081,0.9990915972747918,2-4,1.0,1.0
5198,Mitoxantrone (dihydrochloride); Mitoxantrone Hydrochloride,144,0.03780337,8.6014275e-05,0.009274385,0.03677765,0.027325295,8.359486e-05,0.009143024,0.00780433,1.6483361e-06,0.00031291915,0.0052223294,0.1488339297013888,0.006506887,0.9830414186805556,0.9980947,0.002119606358819,0.997880393641181,-0.4906963824640126,0.5961147351845623,0.7720846684040309,-0.5760870154333522,1,0.0708554125662377,0.9291445874337624,100+,1.0,0.9232177108885359
