name,pubchem_cid,smiles,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
sid-7969543,2149494,"CCOC(=O)[C@@H](C)Oc1cccc2c1ccn(CC(=O)Nc1ccc3OCCOc3c1)c2=O |&1:5,r|",True,4.0,3.0,1.0,True,4+ rings
sep-227900,,,False,,,,,Invalid/missing SMILES
donitriptan,197706,NCCc1c[nH]c2ccc(OCC(=O)N3CCN(CC3)c3ccc(cc3)C#N)cc12,True,4.0,3.0,1.0,True,4+ rings
albuterol,182176,CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1 |&1:6|,True,1.0,1.0,0.0,True,1 ring
madecassoside,24825675,[H][C@]12CC=C3[C@]4([H])[C@@H](C)[C@H](C)CC[C@@]4(CC[C@@]3(C)[C@]1(C)C[C@@H](O)[C@@]1([H])[C@](C)(CO)[C@@H](O)[C@H](O)C[C@]21C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O |t:3|,True,8.0,0.0,8.0,True,4+ rings
cefamandole-nafate,5284527,Cn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](OC=O)c1ccccc1)C2=O)C(O)=O |t:9|,True,4.0,2.0,2.0,True,4+ rings
cefonicid,43594,O[C@@H](C(=O)N[C@H]1[C@H]2SCC(CSc3nnnn3CS(O)(=O)=O)=C(N2C1=O)C(O)=O)c1ccccc1 |c:22|,True,4.0,2.0,2.0,True,4+ rings
imirestat,65673,Fc1ccc2-c3ccc(F)cc3C3(NC(=O)NC3=O)c2c1,True,4.0,2.0,2.0,True,4+ rings
a-769662,54708532,Oc1ccccc1-c1ccc(cc1)-c1csc2[nH]c(=O)c(C#N)c(O)c12,True,4.0,4.0,0.0,True,4+ rings
cholecalciferol,5280795,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,True,3.0,0.0,3.0,True,3 rings
