epoch,train_loss,val_loss,val_nonzero_mse,val_zero_mse,val_nonzero_sign_accuracy,elapsed_min,latent_dim,batch_size,lr
1,0.5864639110063649,0.465995377412407,0.4519632134622021,0.1494306791125086,0.859580890375144,2.585446015993754,128,128,0.001
2,0.4214702879300652,0.3969743827100955,0.3812519217333519,0.1665581014716093,0.891144753207487,2.6876802325248716,128,128,0.001
3,0.341074124160787,0.3483891933965033,0.3335985834148653,0.1533902276272308,0.9103116256057636,2.609563620885213,128,128,0.0003
4,0.3075327621693566,0.3279229471134153,0.3131051871862628,0.1517985237995074,0.9185744993519872,2.6496671199798585,128,128,0.0003
5,0.2857879370187104,0.3149409789430308,0.3002587914619679,0.1507724171285689,0.9246461220903492,2.6872671643892923,128,128,0.0003
6,0.2680236668791013,0.3090122030153698,0.2947182910254616,0.1481600696124136,0.9282467881583006,2.82292575041453,128,128,0.0003
7,0.2537017555307608,0.3005421979626989,0.2853800830628988,0.1557798867184689,0.9315469799995376,2.5826671640078227,128,128,0.0003
8,0.2422530850058562,0.2959106362420245,0.2812325210130972,0.1506484617843143,0.9333017561830864,2.922777700424194,128,128,0.0003
9,0.2330885730641998,0.2934658732997278,0.2784461010472611,0.1540874630933107,0.9347006194726728,3.0791293183962503,128,128,0.0003
10,0.2246010668791487,0.2923405807137091,0.2775946278630785,0.1519345626913389,0.9360708422423216,3.1224055846532184,128,128,0.0003
11,0.2176705917066785,0.2887666420874729,0.273510385432257,0.1565375302966783,0.93638689289216,3.122884249687195,128,128,0.0003
12,0.2115098783531938,0.2867857022576978,0.2717217175415187,0.1543198172911044,0.9372926702712407,3.1418575008710223,128,128,0.0003
13,0.2060010776976213,0.2870654928831218,0.2718114955876431,0.1565492658023573,0.9379246040824968,3.301634685198466,128,128,0.0003
14,0.2006982484142397,0.2877340076547216,0.2723309884029761,0.1576896167010151,0.937759125522857,3.342008384068807,128,128,0.0003
15,0.1962757857891742,0.2866919517915168,0.2711858435735405,0.1592912591942164,0.9384654241928984,3.448756229877472,128,128,0.0003
16,0.1926664518157587,0.2876694727274681,0.272072262954999,0.1600523219188313,0.9385061238791256,4.322002629439036,128,128,0.0003
17,0.1887136690149749,0.2869796577775016,0.271571035700607,0.1582607611267412,0.9389600174991902,3.210819653669993,128,128,0.0003
18,0.1846948850488791,0.2861289122770355,0.2706273882736562,0.1590844223358284,0.9393382063531038,3.373387285073598,128,128,0.0003
19,0.1815215781501751,0.2880230739295498,0.2724072636765601,0.160354184916056,0.9390340473811344,3.4311556816101074,128,128,0.0003
20,0.1790440438069361,0.2864402861375292,0.2709289461046548,0.1592895278286948,0.9391983535218292,3.3975102504094443,128,128,0.0003
21,0.1765412890687759,0.2888320663380739,0.2734909023090079,0.1576903178664278,0.939036894684286,3.807278549671173,128,128,0.0003
22,0.1740327746548505,0.2883527873645183,0.2729183621161835,0.1586685498424971,0.9392305112986014,5.625969231128693,128,128,0.0003
23,0.1718778599111365,0.2895944869720381,0.2738973590865483,0.1612219660914428,0.9390419193369066,4.421734881401062,128,128,0.0003
24,0.1694465668815286,0.2904229615253989,0.2748301519880478,0.1603802497019623,0.9391462646229952,4.354247951507569,128,128,0.0003
25,0.1675953238615672,0.2903510965512156,0.2746606530520598,0.1611803115888641,0.9389044113435218,4.727543568611145,128,128,0.0003
26,0.1661237767585899,0.2910383433340877,0.2754573890903193,0.1603695983397103,0.9385868532978972,4.076385080814362,128,128,0.0003
27,0.1646785915125903,0.290988315615469,0.2751820554643767,0.1621122856060345,0.9385240451401392,4.418498412768046,128,128,0.0003
28,0.16303059882537194,0.2925356955538058,0.2767741459249879,0.1618226953000322,0.9382791770690934,2.607888154188792,128,128,0.0003
29,0.16116275651936043,0.29259809006494514,0.27683015788023807,0.16179153941802746,0.9381255901873224,2.6402220487594605,128,128,0.0003
30,0.15993488992280214,0.29382005118019255,0.2780265517129606,0.16205442924739039,0.9380922599916055,2.660745918750763,128,128,0.0003
31,0.1587974614186668,0.29325200567170767,0.27770682809439673,0.15956003324281218,0.9376587999588648,2.6539662798245747,128,128,0.0003
32,0.15756383725011552,0.2942250087118504,0.2786050205706138,0.1601405391796011,0.9377405343081606,2.6241544167200725,128,128,0.0003
33,0.15642872123629767,0.29542429112481666,0.2796645176445492,0.16194874998728032,0.9375407206222798,2.9472047328948974,128,128,0.0003
34,0.15527889347099286,0.2968717131246003,0.28086123058851076,0.1641464970267725,0.9373221482332819,3.0942688663800557,128,128,0.0003
35,0.15430598031353782,0.2973470625398461,0.281447790249111,0.16332935973431068,0.9372645322165652,3.013034963607788,128,128,0.0003
36,0.15315033899171487,0.29651963825615335,0.28072320246506943,0.16200161942297311,0.9370124621434297,3.1136120359102883,128,128,0.0003
37,0.1526375333227775,0.2989087305367835,0.283149700773562,0.16226800462299554,0.9367992493838938,3.102475881576538,128,128,0.0003
38,0.15168007387638635,0.29934377220765257,0.2833276611460529,0.1643919372676673,0.9368138208764937,3.1095520496368407,128,128,0.0003
39,0.15072647331197825,0.29923473832511116,0.28339560583346257,0.16288811492310282,0.9366124997948266,3.4902403195699057,128,128,0.0003
40,0.14987908707195877,0.3009440579743242,0.28506411599370796,0.1630731266276771,0.9363436808796224,3.5079144716262816,128,128,0.0003
41,0.14927238410967886,0.30132199994188147,0.2852646755264622,0.16484119217300527,0.9362795328144988,3.5103338678677876,128,128,0.0003
42,0.14841269233759163,0.3016739975217985,0.28557663612215234,0.1650659118277045,0.9359683393288605,5.503276789188385,128,128,0.0003
43,0.1475598371535968,0.3015304358153119,0.2856818567969397,0.16272476624921753,0.9358755507437994,5.333413632710775,128,128,0.0003
44,0.1468205771584875,0.30307540943620753,0.28717277329274027,0.1633158830907699,0.9355864657296917,5.14528823296229,128,128,0.0003
45,0.1463200119868534,0.30337391056899327,0.2874980986138742,0.16277201864145982,0.9353829672985559,5.1860349655151365,128,128,0.0003
46,0.1458957160388168,0.3039650651794946,0.2879143282753366,0.16459820088057636,0.9351360893664616,5.590520016352335,128,128,0.0003
47,0.1451724085336942,0.3027346501796251,0.28731100619694594,0.1584492072225719,0.9350717738129174,5.130421586831411,128,128,0.0003
48,0.14447150131955772,0.30617297490335754,0.2899533774521561,0.16645572291714106,0.9350158326804077,4.117087467511495,128,128,0.0003
49,0.14408188429684082,0.30550677447768554,0.2895282246160935,0.16391852474634555,0.934534638447771,4.760938918590545,128,128,0.0003
50,0.14323534589613587,0.3078022522207339,0.2917977457107995,0.16434142120695275,0.9344177315301306,4.0521177530288695,128,128,0.0003
