minimum_profiles,n_compounds,mean_r2,std_r2,mean_spearman,std_spearman,mean_mae,std_mae
5,2624,0.1698110955873888,0.01734867913352834,0.44355266021695006,0.032597744468877296,0.11002918232494682,0.0034616660028189933
10,1463,0.15728205823899277,0.02523893759900321,0.41487228652508285,0.04236946579688198,0.08676592557939061,0.003218063984662155
20,801,0.1278088267123272,0.030799175850712346,0.3713896267894833,0.05524786327923579,0.0636024129038169,0.0019631748890805737
25,700,0.1164125469083026,0.0571089095839514,0.36318680380231694,0.0642078076033444,0.05930262301010745,0.003784563314543326
50,478,0.17616153066223847,0.08307851480401776,0.4153818009058115,0.09552658108581322,0.052792926976074545,0.0024220591707785825
75,398,0.1649279387243581,0.07999171024990331,0.4043965636634662,0.07010338276086103,0.05480237692748151,0.003820831049352304
100,349,0.21917581540043746,0.09091015936594644,0.4489025549579178,0.0945911506834006,0.05504935026569478,0.0032538138798675013
