latent_dim,best_val_loss,final_test_loss,final_test_bitwise_accuracy
32,0.04798086603164673,0.047875335003137585,0.9829273516048659
64,0.03809524695754051,0.03801631362199783,0.9867276242122234
128,0.03608315913677215,0.036024750094413756,0.9874944569837315
256,0.03508501499295235,0.0388954859995842,0.9865594665103327
