latent_dim,dropout,weight_decay,epoch,train_loss,val_loss,val_nonzero_sign_accuracy,elapsed_min
64,0.1,0.0,1,0.9587588406562805,0.9115107526779175,0.6129702888269835,0.30485608577728274
64,0.1,0.0,2,0.8586100368499756,0.8345942077636719,0.6700055922040533,0.3088858326276143
64,0.1,0.0,3,0.7787068766593933,0.7659150633811951,0.7096947070824229,0.3025902509689331
64,0.1,0.0,4,0.7007861362457275,0.734183340549469,0.7297955738740511,0.2830930511156718
64,0.1,0.0,5,0.6470292550086975,0.7072943553924561,0.7423340202769176,0.2958037455876668
64,0.2,0.0,1,0.9632380608558655,0.926947163105011,0.5979101726334103,0.2887628674507141
64,0.2,0.0,2,0.8772657772064208,0.8388658304214478,0.6643564305168647,0.2930529157320658
64,0.2,0.0,3,0.7996350380897522,0.7892971558570862,0.6966798877416815,0.2812988519668579
64,0.2,0.0,4,0.7457721477508545,0.7617573404312133,0.711457804749231,0.2707562764485677
64,0.2,0.0,5,0.7005808959960937,0.7330529422760009,0.7283069084431926,0.2899871826171875
64,0.1,1e-05,1,0.9565440154075623,0.9104825325012207,0.614446009341052,0.284220818678538
64,0.1,1e-05,2,0.859156205368042,0.8317127451896668,0.6717894017377256,0.28459788163503014
64,0.1,1e-05,3,0.772064775466919,0.7748454585075378,0.7061270880150783,0.27693583170572916
64,0.1,1e-05,4,0.7038808745384216,0.7356476249694824,0.729073247517165,0.2633251667022705
64,0.1,1e-05,5,0.6480514740943909,0.7024376616477966,0.7462045503971501,0.2959855159123739
64,0.2,1e-05,1,0.9623101549148559,0.9169539165496826,0.6039606267410913,0.2596554358800252
64,0.2,1e-05,2,0.8681129934310913,0.8387253737449646,0.6650192102565164,0.27450085083643594
64,0.2,1e-05,3,0.7961071382522583,0.7859639172554016,0.698486998125576,0.29752456744511924
64,0.2,1e-05,4,0.7380843701362609,0.7485548529624939,0.720788500771517,0.2807376503944397
64,0.2,1e-05,5,0.6886269542694092,0.7245551104545593,0.7351211126414879,0.25755300124486286
128,0.1,0.0,1,0.9608926086425781,0.9152456927299499,0.6083644874330748,0.27265090147654214
128,0.1,0.0,2,0.8657592018127441,0.8303611536026001,0.6748107453165291,0.26047698259353635
128,0.1,0.0,3,0.7689153049468994,0.7616305198669434,0.7144092457773682,0.27735304832458496
128,0.1,0.0,4,0.7039322155952453,0.722404887676239,0.7345826041030208,0.24339533646901448
128,0.1,0.0,5,0.6445075800895691,0.6976574926376343,0.7500621356005923,0.27773244778315226
