latent_dim,dropout,weight_decay,epoch,train_loss,val_loss,val_nonzero_sign_accuracy,elapsed_min
64,0.0,0.0,1,0.9514148338317872,0.8979498519897461,0.6225909509853671,0.3770788510640462
64,0.0,0.0,2,0.8336849714279175,0.8065748572349548,0.6924443109679691,0.29481480121612547
64,0.0,0.0,3,0.7260038301467896,0.7406334967613221,0.7277295651543552,0.29701671600341795
64,0.0,0.0,4,0.6412071145057678,0.6945316133499145,0.7497695804811366,0.29135429859161377
64,0.0,0.0,5,0.5693950904846191,0.6670251741409302,0.7646303449561426,0.29925487041473386
128,0.0,0.0,1,0.9486107453346252,0.9000097661018371,0.6264588921222415,0.28920993010203044
128,0.0,0.0,2,0.8301333610534668,0.8006314597129822,0.6918954464960699,0.2891032179196676
128,0.0,0.0,3,0.7299439618110657,0.7427667093276977,0.7240920435363442,0.29703019857406615
128,0.0,0.0,4,0.651878740978241,0.7022383122444152,0.7464116690657913,0.30460981925328573
128,0.0,0.0,5,0.5796773851394653,0.6776723418235778,0.7603999461491462,0.2988221128781637
256,0.0,0.0,1,0.9472768037796021,0.8926704630851746,0.6299333077886975,0.29091641505559285
256,0.0,0.0,2,0.835044415473938,0.8133877782821656,0.6832741319138801,0.2912585814793905
256,0.0,0.0,3,0.748265960597992,0.7579092545509338,0.7177335004090594,0.30107935269673664
256,0.0,0.0,4,0.6600196999549865,0.7062439641952515,0.7461009910628295,0.2999218622843424
256,0.0,0.0,5,0.5891927968025208,0.6801538934707642,0.7597734121765065,0.29485353231430056
