feature_set,minimum_profiles,n_compounds,mean_r2,std_r2,mean_spearman,std_spearman,mean_mae,std_mae
128D_embedding_only,5,2624,0.17044984233430327,0.018871161527134972,0.4455350821453591,0.03903094346657311,0.10988596407003325,0.003756266074133979
130D_embedding_plus_step1_QC,5,2624,0.16968631816784235,0.017173480974224088,0.4451355246766186,0.036127832884109166,0.10991154074778348,0.0037134248743582615
128D_embedding_only,10,1463,0.15792068541525228,0.025024865415057246,0.42226665124543267,0.044725735724353274,0.08643201818834113,0.0032265103614485557
130D_embedding_plus_step1_QC,10,1463,0.1568825489902877,0.02176583997641559,0.4197350245842267,0.03933905345638334,0.08662156703446376,0.0032566008684745467
128D_embedding_only,20,801,0.1251898586801642,0.030427235639505713,0.37091771060949824,0.05365203166866041,0.06351486550077469,0.0020629264198002064
130D_embedding_plus_step1_QC,20,801,0.12665261911582043,0.03149285958264189,0.3702165695104106,0.05489657720528526,0.06354459697195364,0.002163028533407973
128D_embedding_only,25,700,0.11801766945520689,0.04905097215318356,0.35877404318066125,0.052036447636910045,0.05915707128846337,0.003617660759560429
130D_embedding_plus_step1_QC,25,700,0.11852693895005358,0.053195239443693115,0.36231358213886455,0.06511384156792278,0.05911046539335083,0.0037152703620691244
128D_embedding_only,50,478,0.18299147796516307,0.07354562671676192,0.41472959813363725,0.0857644079703677,0.052670069313244285,0.002321626997135673
130D_embedding_plus_step1_QC,50,478,0.18096776613658416,0.0798335453682556,0.4144914906663262,0.09236217784568317,0.052749086359027315,0.0022571672860328303
128D_embedding_only,75,398,0.1760502485518626,0.0794490289009974,0.41585851228971105,0.08023979833229106,0.05447802741720793,0.004082267855208476
130D_embedding_plus_step1_QC,75,398,0.17251777867291385,0.07983018185081053,0.40591056978218687,0.0753743880117997,0.05484381395099005,0.003928469922921205
128D_embedding_only,100,349,0.21777953506344183,0.08579263090688062,0.4423971588847356,0.10053078236554623,0.055206244402038994,0.0030770393725301957
130D_embedding_plus_step1_QC,100,349,0.21981266353982318,0.08607679435325374,0.4515926851284402,0.09744406115123075,0.0550599108263324,0.0030954624524194606
