latent_dim,epoch,train_loss,val_loss,val_bitwise_accuracy,elapsed_min,train_rows,val_rows,batch_size,lr,final_test_loss,final_test_bitwise_accuracy,best_val_loss
32,1,0.11310164903640747,0.07925910650491715,0.9712782910743075,4.748051182428996,400000,50000,512,0.001,0.047875335003137585,0.9829273516048659,0.04798086603164673
32,2,0.06907170874118805,0.06241729567289352,0.9775377868972592,4.966754472255706,400000,50000,512,0.001,0.047875335003137585,0.9829273516048659,0.04798086603164673
32,3,0.05837875160932541,0.056511141444444656,0.9797246577751723,4.9634276866912845,400000,50000,512,0.001,0.047875335003137585,0.9829273516048659,0.04798086603164673
32,4,0.05387055495977402,0.053897932500839234,0.9806492745126777,5.162353670597076,400000,50000,512,0.001,0.047875335003137585,0.9829273516048659,0.04798086603164673
32,5,0.05135608348965645,0.05207758699893952,0.9813423362157409,4.76931281487147,400000,50000,512,0.001,0.047875335003137585,0.9829273516048659,0.04798086603164673
32,6,0.049607531074285505,0.05092435599923134,0.9817718657482046,5.157042781511943,400000,50000,512,0.001,0.047875335003137585,0.9829273516048659,0.04798086603164673
32,7,0.04831593582391739,0.05000858831167221,0.9821151868679466,4.876737952232361,400000,50000,512,0.001,0.047875335003137585,0.9829273516048659,0.04798086603164673
32,8,0.04724703867673874,0.04925370196461677,0.9824088436171772,5.118285469214121,400000,50000,512,0.001,0.047875335003137585,0.9829273516048659,0.04798086603164673
32,9,0.046383291029930114,0.04870089583396912,0.9826197508427378,5.0675227801005045,400000,50000,512,0.001,0.047875335003137585,0.9829273516048659,0.04798086603164673
32,10,0.04562874737381935,0.04798086603164673,0.9828971625384728,5.263400745391846,400000,50000,512,0.001,0.047875335003137585,0.9829273516048659,0.04798086603164673
64,1,0.11443126148462296,0.07951191258907318,0.9711008471346915,4.8545398831367494,400000,50000,512,0.001,0.03801631362199783,0.9867276242122234,0.03809524695754051
64,2,0.06730652323842048,0.06022934680700302,0.9783349816796131,4.86438908179601,400000,50000,512,0.001,0.03801631362199783,0.9867276242122234,0.03809524695754051
64,3,0.05436918964028358,0.05147202513694763,0.9817372651326396,5.091553914546966,400000,50000,512,0.001,0.03801631362199783,0.9867276242122234,0.03809524695754051
64,4,0.04797079052329063,0.047262452811002734,0.9832756089696615,4.689149069786072,400000,50000,512,0.001,0.03801631362199783,0.9867276242122234,0.03809524695754051
64,5,0.044205468450784685,0.04403240458607674,0.9844967199179246,4.747368848323822,400000,50000,512,0.001,0.03801631362199783,0.9867276242122234,0.03809524695754051
64,6,0.04140645356059074,0.04223388018846512,0.9851539557379452,4.543435883522034,400000,50000,512,0.001,0.03801631362199783,0.9867276242122234,0.03809524695754051
64,7,0.0395783209168911,0.04107030617594719,0.9855575230836875,4.53065736691157,400000,50000,512,0.001,0.03801631362199783,0.9867276242122234,0.03809524695754051
64,8,0.03813679237127304,0.03989920203924179,0.9860165440422102,5.011570413907369,400000,50000,512,0.001,0.03801631362199783,0.9867276242122234,0.03809524695754051
64,9,0.03697799510717392,0.038825549874305726,0.986436004690019,4.651493167877197,400000,50000,512,0.001,0.03801631362199783,0.9867276242122234,0.03809524695754051
64,10,0.036093276506662365,0.03809524695754051,0.9867053114465778,4.73117329676946,400000,50000,512,0.001,0.03801631362199783,0.9867276242122234,0.03809524695754051
128,1,0.11799140369892121,0.08302891418933868,0.9698517162538473,4.711669850349426,400000,50000,512,0.001,0.036024750094413756,0.9874944569837315,0.03608315913677215
128,2,0.06991186120152473,0.0606280823469162,0.9783088905173677,4.581434317429861,400000,50000,512,0.001,0.036024750094413756,0.9874944569837315,0.03608315913677215
128,3,0.0550537781059742,0.05169818694829941,0.981623130587718,4.499685064951579,400000,50000,512,0.001,0.036024750094413756,0.9874944569837315,0.03608315913677215
128,4,0.047942271900177004,0.04681861941218376,0.9834468826029605,4.412680534521739,400000,50000,512,0.001,0.036024750094413756,0.9874944569837315,0.03608315913677215
128,5,0.04342319941401482,0.04360758953809738,0.9846320211050857,4.446684332688649,400000,50000,512,0.001,0.036024750094413756,0.9874944569837315,0.03608315913677215
128,6,0.04025753239274025,0.040640883493423464,0.9857833709511945,4.443300302823385,400000,50000,512,0.001,0.036024750094413756,0.9874944569837315,0.03608315913677215
128,7,0.037873715727329255,0.03829607893705368,0.9866962479847574,4.6299468040466305,400000,50000,512,0.001,0.036024750094413756,0.9874944569837315,0.03608315913677215
128,8,0.035998165434598925,0.037184023953676225,0.9870787805950462,5.240688784917196,400000,50000,512,0.001,0.036024750094413756,0.9874944569837315,0.03608315913677215
128,9,0.03951186523079872,0.036903951941728595,0.9872480697640335,5.066368552049001,400000,50000,512,0.001,0.036024750094413756,0.9874944569837315,0.03608315913677215
128,10,0.03439581375002861,0.03608315913677215,0.987471341052323,4.763049685955048,400000,50000,512,0.001,0.036024750094413756,0.9874944569837315,0.03608315913677215
256,1,0.12217514053344726,0.08590577130556107,0.9686806653964531,5.224335833390554,400000,50000,512,0.001,0.0388954859995842,0.9865594665103327,0.03508501499295235
256,2,0.07260406284689903,0.06274968220472336,0.9774340935072549,4.950499169031779,400000,50000,512,0.001,0.0388954859995842,0.9865594665103327,0.03508501499295235
256,3,0.05654598614931106,0.05249396223306656,0.9813521618056573,4.5159903844197595,400000,50000,512,0.001,0.0388954859995842,0.9865594665103327,0.03508501499295235
256,4,0.0488461566901207,0.04716504359126091,0.9833468913967462,4.536296447118123,400000,50000,512,0.001,0.0388954859995842,0.9865594665103327,0.03508501499295235
256,5,0.04381216949224472,0.0432199652004242,0.9848072314231276,4.716254580020904,400000,50000,512,0.001,0.0388954859995842,0.9865594665103327,0.03508501499295235
256,6,0.04021990026116371,0.040463723586797715,0.9858617558258831,4.69617695013682,400000,50000,512,0.001,0.0388954859995842,0.9865594665103327,0.03508501499295235
256,7,0.03751096804022789,0.03809449684381485,0.9867663198006742,4.712124367554982,400000,50000,512,0.001,0.0388954859995842,0.9865594665103327,0.03508501499295235
256,8,0.03544367380023002,0.03625184686303139,0.9874316986662758,4.774191852410635,400000,50000,512,0.001,0.0388954859995842,0.9865594665103327,0.03508501499295235
256,9,0.03366216513514519,0.03508501499295235,0.9878827436611461,4.546953618526459,400000,50000,512,0.001,0.0388954859995842,0.9865594665103327,0.03508501499295235
256,10,0.048220219777822496,0.03898001073598862,0.9865293859006302,4.5459298650423685,400000,50000,512,0.001,0.0388954859995842,0.9865594665103327,0.03508501499295235
