minimum_profiles,n_compounds,mean_r2_128D_embedding_only,mean_r2_130D_embedding_plus_step1_QC,mean_spearman_128D_embedding_only,mean_spearman_130D_embedding_plus_step1_QC,mean_mae_128D_embedding_only,mean_mae_130D_embedding_plus_step1_QC,delta_r2_130_minus_128,delta_spearman_130_minus_128
5,2624,0.17044984233430327,0.16968631816784235,0.4455350821453591,0.4451355246766186,0.10988596407003325,0.10991154074778348,-0.000763524166460916,-0.0003995574687404857
10,1463,0.15792068541525228,0.1568825489902877,0.42226665124543267,0.4197350245842267,0.08643201818834113,0.08662156703446376,-0.0010381364249645864,-0.002531626661205988
20,801,0.1251898586801642,0.12665261911582043,0.37091771060949824,0.3702165695104106,0.06351486550077469,0.06354459697195364,0.0014627604356562407,-0.0007011410990876432
25,700,0.11801766945520689,0.11852693895005358,0.35877404318066125,0.36231358213886455,0.05915707128846337,0.05911046539335083,0.0005092694948466842,0.0035395389582033032
50,478,0.18299147796516307,0.18096776613658416,0.41472959813363725,0.4144914906663262,0.052670069313244285,0.052749086359027315,-0.0020237118285789113,-0.00023810746731106613
75,398,0.1760502485518626,0.17251777867291385,0.41585851228971105,0.40591056978218687,0.05447802741720793,0.05484381395099005,-0.0035324698789487574,-0.009947942507524177
100,349,0.21777953506344183,0.21981266353982318,0.4423971588847356,0.4515926851284402,0.055206244402038994,0.0550599108263324,0.002033128476381346,0.009195526243704621
