latent_dim,epoch,train_loss,val_loss,train_compound_mse,train_signature_mse,train_numeric_mse,train_categorical_bce,val_compound_mse,val_signature_mse,val_numeric_mse,val_categorical_bce,elapsed_min,best_val_loss_so_far,best_epoch_so_far,batch_size,lr
256,1,3.1743394658498016,2.130449042274667,2.1593285653544156,0.9045160297243672,0.3866144599555601,0.0663439472044488,1.3166162072873575,0.7933493277743224,0.0467636190116525,0.0222615585250787,0.0634623209635416,2.130449042274667,1,256,0.0003
256,2,1.7843555079246196,1.5167232480449264,1.0710539626366098,0.6949777806019714,0.0397596118925752,0.0207436920624428,0.8865426251545828,0.6155102351867476,0.0241817644941585,0.0196680540121563,0.0626131494839986,1.5167232480449264,2,256,0.0003
256,3,1.347201764426061,1.218527770008653,0.7717214419500755,0.5606731888122023,0.0268182957725838,0.018886963551461,0.6836380735136438,0.5232811715573892,0.0120876798230157,0.0183819813855413,0.0627305666605631,1.218527770008653,3,256,0.0003
256,4,1.1230235435241491,1.0464761665744482,0.6197613457597756,0.4897525050461596,0.0230486584069983,0.017799910845002,0.5656594987195849,0.4650513671103776,0.0350344461813933,0.0175168067992883,0.0619195302327474,1.0464761665744482,4,256,0.0003
256,5,0.971951956548082,0.9142746995770916,0.5202562244313707,0.4395325048425575,0.0181465585278571,0.0170678249631251,0.4803476791539131,0.4226824637640047,0.0137687613246712,0.0169816074637212,0.0625362197558085,0.9142746995770916,5,256,0.0003
256,6,0.8601552853499149,0.819187641467393,0.4463036876434733,0.4020928348060129,0.0174768628690863,0.0165267781305153,0.4206869830477973,0.3885021515513316,0.0087178398411077,0.0165098743612371,0.0610387682914733,0.819187641467393,6,256,0.0003
256,7,0.7739850394151256,0.7451042031209134,0.3919101760916861,0.3709296737276964,0.0154929799765146,0.0160931857464763,0.3743105133843509,0.3611987421796241,0.0074983710423881,0.0161905483518903,0.0625793814659118,0.7451042031209134,7,256,0.0003
256,8,0.7095541096522331,0.6906701749715869,0.3535710147086626,0.3452911891586898,0.0141315919430805,0.0157311722254229,0.3379815987504866,0.3362213559250869,0.0426598635425108,0.0158704925765081,0.0623909950256347,0.6906701749715869,8,256,0.0003
256,9,0.6557213668057105,0.6395604186464366,0.3222189925285885,0.3235227921130533,0.0113263785105926,0.015428615426771,0.3096653026383896,0.3183487401434343,0.0186251032350952,0.0156427070141897,0.0628610173861185,0.6395604186464366,9,256,0.0003
256,10,0.6096416348146636,0.5915201497826429,0.2951396485809383,0.3045840619441158,0.0116123947609409,0.0151908922310621,0.2827405510546114,0.3002491210640412,0.0040826691195263,0.0154278807563644,0.061077864964803,0.5915201497826429,10,256,0.0003
256,11,0.5702742027860436,0.5571700404121703,0.2723513116938269,0.2882439333681853,0.0109699404729683,0.0149699350131296,0.2631282890706843,0.283699766967424,0.0134897695062467,0.0152880574751214,0.0611443320910135,0.5571700404121703,11,256,0.0003
256,12,0.5352161963270203,0.5231108339128592,0.2514464020313767,0.2745246617508469,0.0093099943199679,0.0147662657610166,0.2428228449198201,0.2720031146701809,0.0036126480617363,0.0151246923532974,0.0613689462343851,0.5231108339128592,12,256,0.0003
256,13,0.5058045623886017,0.4949917161210037,0.2330716424899751,0.26339773874735,0.0102079183416857,0.0145871976276222,0.2253177463093826,0.2614520540678359,0.0037856683583546,0.0149295572584977,0.0613387982050577,0.4949917161210037,13,256,0.0003
256,14,0.4802320200003381,0.4774564489920981,0.2175232766091577,0.253597380314332,0.009497949322028,0.0144235492865298,0.2151130340420959,0.2519834666483999,0.0147423543098416,0.0148229496578821,0.0608162641525268,0.4774564489920981,14,256,0.0003
256,15,0.4572138932009293,0.4520727959276301,0.2043755397757769,0.2441125464684199,0.0079402410315085,0.0142755178809607,0.1993078191928538,0.2440088978451623,0.0068995159484949,0.0147523459486305,0.0619902332623799,0.4520727959276301,15,256,0.0003
256,16,0.4356036780444484,0.4293777135641674,0.1919082720062306,0.2353322140933623,0.0064641887653785,0.0141407070719656,0.1879191275760329,0.232641014511971,0.0075978735500521,0.0145959963711636,0.0626931985219319,0.4293777135641674,16,256,0.0003
256,17,0.4182434767310179,0.4134292511616126,0.1823507953179437,0.2272694231344387,0.0080744124738832,0.0140167512470562,0.1782857987448919,0.2252764076638162,0.0128970495536729,0.0145752672503925,0.0601321697235107,0.4134292511616126,17,256,0.0003
256,18,0.4005573142675436,0.3984641537473008,0.1726220558363896,0.2196424744352537,0.0066933540193714,0.0139082266500455,0.1710204631002231,0.2192763118412986,0.0045982129205971,0.0144954738520973,0.0612038135528564,0.3984641537473008,18,256,0.0003
256,19,0.386069394092115,0.3811032713641386,0.1651898921817359,0.212629572460374,0.0067145633192741,0.0138140291116798,0.1620527454486467,0.2108293073114447,0.0051475249975106,0.0143834221700335,0.0615077495574951,0.3811032713641386,19,256,0.0003
256,20,0.37036339606572,0.3701796609234334,0.1564042618334579,0.2057541141591064,0.0067352087003488,0.0137159531715281,0.1573648109221337,0.2045195785053333,0.0058593194140676,0.0142468093555549,0.0624722003936767,0.3701796609234334,20,256,0.0003
256,21,0.3564275709658013,0.3562337904447481,0.1490580920730679,0.1993162830892393,0.0061850158933645,0.0136323873022029,0.1475188000331898,0.1986335373805543,0.0147881538768867,0.0142476395904449,0.0622281869252522,0.3562337904447481,21,256,0.0003
256,22,0.3428515547508007,0.3397624606466006,0.1415080003737815,0.1933022341474087,0.0063534347486043,0.0135412636749191,0.1399982329275537,0.192325677325674,0.001911095614914,0.0141126660985796,0.0621426343917846,0.3397624606466006,22,256,0.0003
256,23,0.3313475728956014,0.3269542452472449,0.135410655287109,0.1879769831830255,0.0061319418968969,0.0134670914743584,0.1323971190099295,0.1867325534354018,0.0038526940852962,0.0141080684108475,0.061565081278483,0.3269542452472449,23,256,0.0003
